"d_username","field","value"
"NastiLisa","d_age","18"
"NastiLisa","d_city","Sunshine"
"NastiLisa","d_city","Australia"
"NastiLisa","d_orientation","Pansexual"
"NastiLisa","d_gender","Woman"
"NastiLisa","d_relationship","Single"
"NastiLisa","d_bodytype","Thin"
"NastiLisa","d_ethnicity","Asian"
"NastiLisa","d_languages","English"
"NastiLisa","d_education_phase","Working on"
"NastiLisa","d_education_type","High school"
"NastiLisa","d_smokes","Never"
"NastiLisa","d_drinks","Socially"
"NastiLisa","d_drugs","Sometimes"
"NastiLisa","d_offspring_current","No kids"
"NastiLisa","d_offspring_desires","Doesn't want kids"
"NastiLisa","lf_min_age","30"
"NastiLisa","lf_max_age","99"
"NastiLisa","lf_for","short & long term dating and new friends"
"NastiLisa","p_sexdrive","90"
"NastiLisa","p_sexperienced","86"
"NastiLisa","p_rational","44"
"NastiLisa","p_sprit","-34"
"NastiLisa","p_polit","-40"
"NastiLisa","p_oldfash","-58"
"NastiLisa","p_conservative","-84"
"NastiLisa","p_giving","-92"
"NastiLisa","q17","Yes"
"NastiLisa","q35355","Very open. I'll try anything once."
"NastiLisa","q17","Yes"
"NastiLisa","q87","Yes"
"NastiLisa","q44639","No"
"NastiLisa","q358077","Yes"
"NastiLisa","q553","Yes"
"NastiLisa","q1440","Yes"
"NastiLisa","q16053","Totally willing!"
"NastiLisa","q17","Yes"
"NastiLisa","q358084","Yes"
