"d_username","field","value"
"Stajini","d_age","27"
"Stajini","d_city","Melbourne"
"Stajini","d_city","Australia"
"Stajini","d_orientation","Heteroflexible"
"Stajini","d_gender","Woman"
"Stajini","d_relationship","Single"
"Stajini","d_bodytype","Curvy"
"Stajini","d_languages","English"
"Stajini","d_education_phase","Working on"
"Stajini","d_education_type","University"
"Stajini","d_smokes","Never"
"Stajini","d_drugs","Sometimes"
"Stajini","d_offspring_current","has kid(s)"
"Stajini","d_offspring_desires","might want kids"
"Stajini","lf_single","single"
"Stajini","lf_location","near me"
"Stajini","lf_min_age","22"
"Stajini","lf_max_age","36"
"Stajini","lf_for","short & long term dating and new friends"
"Stajini","p_trusting","84"
"Stajini","p_sprit","68"
"Stajini","p_opti","40"
"Stajini","p_polit","36"
"Stajini","p_conf","34"
"Stajini","p_comp","26"
"Stajini","p_roman","24"
"Stajini","p_adven","-26"
"Stajini","p_aggressive","-46"
"Stajini","p_polite","-66"
"Stajini","q87","Yes"
"Stajini","q44639","No"
"Stajini","q76","Yes"
"Stajini","q358077","Yes"
"Stajini","q50755","Yes."
"Stajini","q358084","Yes"
