"d_username","field","value"
"Abichka","d_age","28"
"Abichka","d_city","Los Angeles"
"Abichka","d_city","United States"
"Abichka","d_orientation","Bisexual"
"Abichka","d_gender","Woman"
"Abichka","d_relationship","Single"
"Abichka","d_bodytype","Curvy"
"Abichka","d_ethnicity","White"
"Abichka","d_languages","English"
"Abichka","d_education_phase","Attended"
"Abichka","d_education_type","Post grad"
"Abichka","d_smokes","Never"
"Abichka","d_drinks","Socially"
"Abichka","d_drugs","No"
"Abichka","d_offspring_current","No kids"
"Abichka","d_offspring_desires","Doesn't want kids"
"Abichka","lf_location","near me"
"Abichka","lf_min_age","24"
"Abichka","lf_max_age","39"
"Abichka","lf_for","short & long term dating and new friends"
"Abichka","p_aggressive","82"
"Abichka","p_sexdrive","82"
"Abichka","p_lit","64"
"Abichka","p_exp","62"
"Abichka","p_spon","62"
"Abichka","p_comp","52"
"Abichka","p_kinky","52"
"Abichka","p_sloppy","32"
"Abichka","p_thrift","26"
"Abichka","p_polite","16"
"Abichka","p_sprit","-16"
"Abichka","p_friendly","-20"
"Abichka","p_conf","-22"
"Abichka","p_conservative","-38"
"Abichka","p_law-abiding","-66"
"Abichka","p_roman","-96"
"Abichka","q40570","Tactful"
"Abichka","q53965","Ignore it."
"Abichka","q85835","Starving children."
"Abichka","q594","Yes, anything can be funny in the right light."
"Abichka","q34113","No problem"
"Abichka","q65","Yes"
"Abichka","q18125","No"
"Abichka","q39185","book burning"
"Abichka","q226","the right to bear arms"
"Abichka","q612","No, creationism has no place in schools"
"Abichka","q9447","This question upsets me"
"Abichka","q455","No"
"Abichka","q1497","Peace on Earth"
"Abichka","q27921","Less safe"
"Abichka","q154","No, it wouldn't."
"Abichka","q395","Yes"
"Abichka","q39373","Rarely."
"Abichka","q46563","No."
"Abichka","q70","No"
"Abichka","q71","No"
"Abichka","q175","No"
"Abichka","q1446","Yes, solidarity is important"
"Abichka","q29829","Whenever possible"
"Abichka","q36790","Yes, unless I am otherwise in a hurry."
"Abichka","q46927","No."
"Abichka","q174","Good"
"Abichka","q838","Yes"
"Abichka","q13054","I support the laws"
"Abichka","q20298","A sign of strength"
"Abichka","q24125","No"
"Abichka","q37708","Acceptable."
"Abichka","q47764","Yes."
"Abichka","q14","No"
"Abichka","q168","False"
"Abichka","q341","Yes"
"Abichka","q486","Welfare is mostly good"
"Abichka","q26684","No"
"Abichka","q171","Your world"
"Abichka","q15751","Yes"
"Abichka","q19681","No"
"Abichka","q13","No"
"Abichka","q20889","It's hokey and overly sentimental."
"Abichka","q38320","No."
"Abichka","q7077","Sex"
"Abichka","q82263","Yes."
"Abichka","q16317","I don't know"
"Abichka","q1597","Yes"
"Abichka","q12964","Yes"
"Abichka","q20976","That seems like an average number."
"Abichka","q60852","Yes"
"Abichka","q1387","Yes"
"Abichka","q18530","Yes"
"Abichka","q21527","No"
"Abichka","q35203","Yes"
"Abichka","q86366","Yes."
"Abichka","q56606","Somewhat interested."
"Abichka","q26525","Yes"
"Abichka","q20","Yes"
"Abichka","q1401","Yes, and I enjoyed myself."
"Abichka","q24125","No"
"Abichka","q395","Yes"
"Abichka","q19681","No"
"Abichka","q13","No"
"Abichka","q14","No"
"Abichka","q63068","Zero."
"Abichka","q411","Yes"
"Abichka","q60100","No"
"Abichka","q156918","No"
"Abichka","q156914","No"
"Abichka","q612","No, creationism has no place in schools"
"Abichka","q47764","Yes."
"Abichka","q1588","No, I dislike cats."
"Abichka","q179268","Yes"
"Abichka","q6867","No"
"Abichka","q69912","Scientist"
"Abichka","q221106","Rarely"
"Abichka","q403","Yes"
"Abichka","q9688","Yes, but only soft stuff like marijuana"
"Abichka","q358077","Yes"
"Abichka","q38223","No, I do not like to go clubbing."
"Abichka","q212814","Very important"
"Abichka","q501","No"
"Abichka","q997","Dogs"
"Abichka","q1119","Yes"
"Abichka","q20418","Sometimes"
"Abichka","q82528","Yes, always."
"Abichka","q79","I smoke occasionally."
"Abichka","q325","Yes"
"Abichka","q18834","Expression"
"Abichka","q30830","Yes, but nothing too crazy."
"Abichka","q27164","No"
"Abichka","q48328","No."
"Abichka","q67641","Somewhat important."
"Abichka","q88","I'm average"
"Abichka","q318","Not important at all"
"Abichka","q1112","Yes"
"Abichka","q12970","Twice or more a day"
"Abichka","q42918","Somewhere in the middle."
"Abichka","q17457","No."
"Abichka","q32973","Yes, all the time."
"Abichka","q46403","Yes."
"Abichka","q46780","Rarely or never - That would be wasteful."
"Abichka","q1375","Yes"
"Abichka","q17168","Yes"
"Abichka","q33602","Yes, almost always"
"Abichka","q212813","Liberal / Left-wing"
"Abichka","q73","Big city"
"Abichka","q77","Sometimes"
"Abichka","q21411","Sometimes."
"Abichka","q32657","Maybe, but only if it seemed cool"
"Abichka","q86544","Emotion, Intuition, Instinct."
"Abichka","q158","Yes"
"Abichka","q220","No"
"Abichka","q1730","Some"
"Abichka","q21175","Yes"
"Abichka","q38173","Yes, on occasion."
"Abichka","q40441","Maybe a little bit."
"Abichka","q41099","Clean-ish but could use a quick touch-up."
"Abichka","q44639","Yes"
"Abichka","q54695","Somewhat clear."
"Abichka","q24282","Very inclined"
"Abichka","q21488","Yeah, when I have the time."
"Abichka","q38051","Never."
"Abichka","q26052","Yes"
"Abichka","q28831","It varies"
"Abichka","q74","Food"
"Abichka","q8054","No"
"Abichka","q60145","No - I've never been in love with a partner."
"Abichka","q48557","Yes."
"Abichka","q60843","No."
"Abichka","q149","Passion"
"Abichka","q186","No"
"Abichka","q36045","No way."
"Abichka","q496","Go your separate ways"
"Abichka","q80041","No"
"Abichka","q9522","Yes"
"Abichka","q80041","No"
"Abichka","q23543","No, it's not necessary"
"Abichka","q49107","Philosophical beliefs."
"Abichka","q123","No"
"Abichka","q1440","No"
"Abichka","q6258","Yes"
"Abichka","q9522","Yes"
"Abichka","q24333","No"
"Abichka","q358014","Yes"
"Abichka","q20021","Someone to go out with"
"Abichka","q527","No"
"Abichka","q24345","A lot!"
"Abichka","q27239","Scary"
"Abichka","q170849","No. Why spoil the mystery?"
"Abichka","q165644","Nothing to talk about"
"Abichka","q358080","Discovering your shared interests"
"Abichka","q66506","Very important."
"Abichka","q546","Yes"
"Abichka","q499","Yes"
"Abichka","q403","Yes"
"Abichka","q325","Yes"
"Abichka","q16317","I don't know"
"Abichka","q12964","Yes"
"Abichka","q32657","Maybe, but only if it seemed cool"
"Abichka","q35203","Yes"
"Abichka","q71","No"
"Abichka","q318","Not important at all"
"Abichka","q46403","Yes."
"Abichka","q25561","Well, a little"
"Abichka","q1290","No"
"Abichka","q57","Yes"
"Abichka","q18594","Yes"
"Abichka","q26841","About average"
"Abichka","q445141","Flight"
"Abichka","q134","No"
"Abichka","q8672","Why"
"Abichka","q18547","Okay."
"Abichka","q128","I have no tattoos"
"Abichka","q1201","Don't know / don't care"
"Abichka","q50483","No."
"Abichka","q52728","Someone who is good with language(s)."
"Abichka","q6111","No"
"Abichka","q6350","Voluptuous"
"Abichka","q18504","Occasionally"
"Abichka","q28903","An important interview"
"Abichka","q416236","Yay!"
"Abichka","q20725","All the time"
"Abichka","q15704","I like it or love it."
"Abichka","q20930","Average"
"Abichka","q30416","The grammar"
"Abichka","q255","89547"
"Abichka","q15907","No"
"Abichka","q20530","Yes"
"Abichka","q26299","I have no preference"
"Abichka","q48981","Racial or cultural stereotyping."
"Abichka","q54052","Somewhat content."
"Abichka","q358084","Yes"
"Abichka","q60308","A bad temper."
"Abichka","q477","A mile"
"Abichka","q45428","Always."
"Abichka","q59457","Yes."
"Abichka","q178","The Sun"
"Abichka","q36790","Yes, unless I am otherwise in a hurry."
