"d_username","field","value"
"BohemianRhapsodi","d_age","29"
"BohemianRhapsodi","d_city","Toronto"
"BohemianRhapsodi","d_city","Canada"
"BohemianRhapsodi","d_orientation","Bisexual"
"BohemianRhapsodi","d_orientation","Queer"
"BohemianRhapsodi","d_gender","Woman"
"BohemianRhapsodi","d_relationship","Single"
"BohemianRhapsodi","d_ethnicity","White"
"BohemianRhapsodi","d_languages","English"
"BohemianRhapsodi","d_education_phase","Attended"
"BohemianRhapsodi","d_education_type","University"
"BohemianRhapsodi","d_smokes","Never"
"BohemianRhapsodi","d_drugs","No"
"BohemianRhapsodi","d_offspring_current","No kids"
"BohemianRhapsodi","lf_single","single"
"BohemianRhapsodi","lf_location","near me"
"BohemianRhapsodi","lf_min_age","26"
"BohemianRhapsodi","lf_max_age","34"
"BohemianRhapsodi","lf_for","short & long term dating and new friends"
"BohemianRhapsodi","p_good-natured","22"
"BohemianRhapsodi","q27921","Less safe"
"BohemianRhapsodi","q70","No"
"BohemianRhapsodi","q13054","I support the laws"
"BohemianRhapsodi","q154","No, it wouldn't."
"BohemianRhapsodi","q46927","No."
"BohemianRhapsodi","q24125","No"
"BohemianRhapsodi","q24375","6 or more dates"
"BohemianRhapsodi","q35","Love"
"BohemianRhapsodi","q24125","No"
"BohemianRhapsodi","q179268","Yes"
"BohemianRhapsodi","q44639","No"
"BohemianRhapsodi","q79","Never."
"BohemianRhapsodi","q325","No"
"BohemianRhapsodi","q501","No"
"BohemianRhapsodi","q441","Yes"
"BohemianRhapsodi","q358077","No"
"BohemianRhapsodi","q80","I never do drugs."
"BohemianRhapsodi","q553","Yes"
"BohemianRhapsodi","q12584","Yes"
"BohemianRhapsodi","q12796","Yes"
"BohemianRhapsodi","q46780","Rarely or never - That would be wasteful."
"BohemianRhapsodi","q77","Sometimes"
"BohemianRhapsodi","q436","Yes"
"BohemianRhapsodi","q33602","Yes, almost always"
"BohemianRhapsodi","q62455","No."
"BohemianRhapsodi","q1454","Yes"
"BohemianRhapsodi","q16713","Yes"
"BohemianRhapsodi","q426","Yes"
"BohemianRhapsodi","q21175","Yes"
"BohemianRhapsodi","q1766","Yes"
"BohemianRhapsodi","q1815","No"
"BohemianRhapsodi","q20021","Someone to go out with"
"BohemianRhapsodi","q16053","Totally willing!"
"BohemianRhapsodi","q23543","Yes, unless otherwise specified"
"BohemianRhapsodi","q123","No"
"BohemianRhapsodi","q24345","A lot!"
"BohemianRhapsodi","q325","No"
"BohemianRhapsodi","q416236","Yay!"
"BohemianRhapsodi","q255","89547"
"BohemianRhapsodi","q4018","Yes"
"BohemianRhapsodi","q1201","46"
"BohemianRhapsodi","q358084","Yes"
"BohemianRhapsodi","q178","The Sun"
