"d_username","field","value"
"BrooklynUnicorn","d_age","30"
"BrooklynUnicorn","d_city","Brooklyn"
"BrooklynUnicorn","d_city","United States"
"BrooklynUnicorn","d_orientation","Bisexual"
"BrooklynUnicorn","d_gender","Woman"
"BrooklynUnicorn","d_relationship","Single"
"BrooklynUnicorn","d_bodytype","Fit"
"BrooklynUnicorn","d_ethnicity","White"
"BrooklynUnicorn","d_languages","English"
"BrooklynUnicorn","d_education_phase","Attended"
"BrooklynUnicorn","d_education_type","Post grad"
"BrooklynUnicorn","d_religion_type","Jewish"
"BrooklynUnicorn","d_smokes","Never"
"BrooklynUnicorn","d_drinks","Socially"
"BrooklynUnicorn","d_drugs","Sometimes"
"BrooklynUnicorn","d_offspring_current","No kids"
"BrooklynUnicorn","d_offspring_desires","wants kids"
"BrooklynUnicorn","lf_location","near me"
"BrooklynUnicorn","lf_min_age","27"
"BrooklynUnicorn","lf_max_age","44"
"BrooklynUnicorn","lf_for","casual sex and new friends"
"BrooklynUnicorn","p_sexdrive","84"
"BrooklynUnicorn","p_outgoing","74"
"BrooklynUnicorn","p_friendly","50"
"BrooklynUnicorn","p_playful","48"
"BrooklynUnicorn","p_roman","22"
"BrooklynUnicorn","p_conservative","-48"
"BrooklynUnicorn","q455","Yes"
"BrooklynUnicorn","q359387","Universal"
"BrooklynUnicorn","q612","No, creationism has no place in schools"
"BrooklynUnicorn","q838","Yes"
"BrooklynUnicorn","q29829","Whenever possible"
"BrooklynUnicorn","q27921","Less safe"
"BrooklynUnicorn","q70","No"
"BrooklynUnicorn","q175","No"
"BrooklynUnicorn","q46927","No."
"BrooklynUnicorn","q154","No, it wouldn't."
"BrooklynUnicorn","q24125","No"
"BrooklynUnicorn","q18530","No"
"BrooklynUnicorn","q35","Sex"
"BrooklynUnicorn","q12605","About every other day"
"BrooklynUnicorn","q1597","Yes"
"BrooklynUnicorn","q12964","Yes"
"BrooklynUnicorn","q24375","1-2 dates"
"BrooklynUnicorn","q35355","Very open. I'll try anything once."
"BrooklynUnicorn","q1401","Yes, and I enjoyed myself."
"BrooklynUnicorn","q24125","No"
"BrooklynUnicorn","q41","Not very important"
"BrooklynUnicorn","q60100","No"
"BrooklynUnicorn","q612","No, creationism has no place in schools"
"BrooklynUnicorn","q997","Cats"
"BrooklynUnicorn","q44639","No"
"BrooklynUnicorn","q158","No"
"BrooklynUnicorn","q325","Yes"
"BrooklynUnicorn","q20418","Sometimes"
"BrooklynUnicorn","q79","I smoke occasionally."
"BrooklynUnicorn","q1112","No"
"BrooklynUnicorn","q23834","No"
"BrooklynUnicorn","q49","Intense"
"BrooklynUnicorn","q501","No"
"BrooklynUnicorn","q23834","No"
"BrooklynUnicorn","q212814","Somewhat important"
"BrooklynUnicorn","q9688","Yes, but only soft stuff like marijuana"
"BrooklynUnicorn","q221105","I'm a very active user."
"BrooklynUnicorn","q358077","No"
"BrooklynUnicorn","q43261","I consider their opinion but go my own way."
"BrooklynUnicorn","q40441","Maybe a little bit."
"BrooklynUnicorn","q87","No"
"BrooklynUnicorn","q80","I never do drugs."
"BrooklynUnicorn","q403","No"
"BrooklynUnicorn","q553","Yes"
"BrooklynUnicorn","q19011","No"
"BrooklynUnicorn","q212813","Liberal / Left-wing"
"BrooklynUnicorn","q76","No"
"BrooklynUnicorn","q77","Sometimes"
"BrooklynUnicorn","q442","Bad"
"BrooklynUnicorn","q1062","At least once a day."
"BrooklynUnicorn","q12970","Twice or more a day"
"BrooklynUnicorn","q48","Weird"
"BrooklynUnicorn","q179268","No"
"BrooklynUnicorn","q20021","Someone for tonight"
"BrooklynUnicorn","q41953","One night"
"BrooklynUnicorn","q123","Yes"
"BrooklynUnicorn","q1815","No"
"BrooklynUnicorn","q358014","No"
"BrooklynUnicorn","q149","Passion"
"BrooklynUnicorn","q20135","I love it and want it very much"
"BrooklynUnicorn","q16053","Totally willing!"
"BrooklynUnicorn","q23543","Yes, unless otherwise specified"
"BrooklynUnicorn","q1440","No"
"BrooklynUnicorn","q19874","12+ months"
"BrooklynUnicorn","q24345","A lot!"
"BrooklynUnicorn","q48753","Yes."
"BrooklynUnicorn","q358080","Discovering your shared interests"
"BrooklynUnicorn","q325","Yes"
"BrooklynUnicorn","q12964","Yes"
"BrooklynUnicorn","q403","No"
"BrooklynUnicorn","q50755","No."
"BrooklynUnicorn","q35660","Always"
"BrooklynUnicorn","q416236","Okay"
"BrooklynUnicorn","q8672","Why"
"BrooklynUnicorn","q20930","Higher than average"
"BrooklynUnicorn","q445141","Flight"
"BrooklynUnicorn","q46","Interesting"
"BrooklynUnicorn","q28903","An important interview"
"BrooklynUnicorn","q178","The Sun"
"BrooklynUnicorn","q20725","Sometimes"
"BrooklynUnicorn","q1201","46"
"BrooklynUnicorn","q255","89547"
"BrooklynUnicorn","q14835","On my right hand"
"BrooklynUnicorn","q4018","Yes"
"BrooklynUnicorn","q358084","Yes"
