"d_username","field","value"
"CandyCoatedMona","d_age","45"
"CandyCoatedMona","d_city","Minneapolis"
"CandyCoatedMona","d_city","United States"
"CandyCoatedMona","d_orientation","Bisexual"
"CandyCoatedMona","d_gender","Woman"
"CandyCoatedMona","d_relationship","Single"
"CandyCoatedMona","d_bodytype","Full figured"
"CandyCoatedMona","d_languages","English"
"CandyCoatedMona","d_smokes","Regularly"
"CandyCoatedMona","d_drugs","No"
"CandyCoatedMona","d_offspring_current","No kids"
"CandyCoatedMona","d_offspring_desires","Doesn't want kids"
"CandyCoatedMona","lf_location","near me"
"CandyCoatedMona","lf_min_age","40"
"CandyCoatedMona","lf_max_age","65"
"CandyCoatedMona","lf_for","short & long term datin"
"CandyCoatedMona","p_polite","64"
"CandyCoatedMona","q136","No"
"CandyCoatedMona","q31877","Admirable and desirable. Chivalry's not dead."
"CandyCoatedMona","q36790","Yes.  Always."
"CandyCoatedMona","q70","No"
"CandyCoatedMona","q24125","No"
"CandyCoatedMona","q17808","Depends on how 'well' we are talking!"
"CandyCoatedMona","q35276","A lot! It's all about the talk."
"CandyCoatedMona","q35","Sex"
"CandyCoatedMona","q28","Yes"
"CandyCoatedMona","q54127","No, never."
"CandyCoatedMona","q30","No"
"CandyCoatedMona","q24375","1-2 dates"
"CandyCoatedMona","q72086","No."
"CandyCoatedMona","q83480","It doesn't matter."
"CandyCoatedMona","q17768","Masturbation"
"CandyCoatedMona","q48347","No"
"CandyCoatedMona","q12964","Yes"
"CandyCoatedMona","q1040","I like it / I think I might like it"
"CandyCoatedMona","q1401","Yes, and I enjoyed myself."
"CandyCoatedMona","q1618","No"
"CandyCoatedMona","q38508","Indifferently."
"CandyCoatedMona","q14913","No"
"CandyCoatedMona","q22706","Yes"
"CandyCoatedMona","q35435","Yes.  Occasionally."
"CandyCoatedMona","q68738","Yes."
"CandyCoatedMona","q24125","No"
"CandyCoatedMona","q60100","No"
"CandyCoatedMona","q77","Never"
"CandyCoatedMona","q9688","No"
"CandyCoatedMona","q18759","Rarely"
"CandyCoatedMona","q44639","No"
"CandyCoatedMona","q80","I've done drugs in the past, but no longer."
"CandyCoatedMona","q501","Yes"
"CandyCoatedMona","q76","Yes"
"CandyCoatedMona","q13006","Yes, but only an occasional/social smoker"
"CandyCoatedMona","q325","Yes"
"CandyCoatedMona","q358077","No"
"CandyCoatedMona","q553","Yes"
"CandyCoatedMona","q87","No"
"CandyCoatedMona","q997","Both"
"CandyCoatedMona","q1062","At least once a day."
"CandyCoatedMona","q49","Carefree"
"CandyCoatedMona","q5417","Yes"
"CandyCoatedMona","q12970","Twice or more a day"
"CandyCoatedMona","q1375","Yes"
"CandyCoatedMona","q48","Weird"
"CandyCoatedMona","q21175","Yes"
"CandyCoatedMona","q179268","No"
"CandyCoatedMona","q30607","No, that's just rude."
"CandyCoatedMona","q358014","No"
"CandyCoatedMona","q9522","No"
"CandyCoatedMona","q149","Passion"
"CandyCoatedMona","q16295","Romantic"
"CandyCoatedMona","q979","None"
"CandyCoatedMona","q1440","No"
"CandyCoatedMona","q491","Not enough affection"
"CandyCoatedMona","q16053","Totally willing!"
"CandyCoatedMona","q64","Total openness"
"CandyCoatedMona","q34177","It depends"
"CandyCoatedMona","q27239","Scary"
"CandyCoatedMona","q48753","Yes."
"CandyCoatedMona","q18","No"
"CandyCoatedMona","q23293","Crazy and colorful"
"CandyCoatedMona","q60843","I would want them to make their own decision."
"CandyCoatedMona","q80041","No"
"CandyCoatedMona","q24345","A lot!"
"CandyCoatedMona","q123","No"
"CandyCoatedMona","q48557","No."
"CandyCoatedMona","q26723","Give them a friendly hug"
"CandyCoatedMona","q165644","Nothing to talk about"
"CandyCoatedMona","q358080","Discovering your shared interests"
"CandyCoatedMona","q136","No"
"CandyCoatedMona","q13006","Yes, but only an occasional/social smoker"
"CandyCoatedMona","q325","Yes"
"CandyCoatedMona","q12964","Yes"
"CandyCoatedMona","q1618","No"
"CandyCoatedMona","q14835","On my left hand"
"CandyCoatedMona","q255","89754"
"CandyCoatedMona","q30723","That you are intelligent"
"CandyCoatedMona","q128","I have no tattoos"
"CandyCoatedMona","q20930","Higher than average"
"CandyCoatedMona","q46071","Perhaps occasionally."
"CandyCoatedMona","q8672","Why"
"CandyCoatedMona","q6024","No"
"CandyCoatedMona","q15182","Someone who is always sad"
"CandyCoatedMona","q265","Einstein"
"CandyCoatedMona","q19649","Depends on where the hair is"
"CandyCoatedMona","q32855","I shave consistently."
"CandyCoatedMona","q19832","Depends on the circumstances. Distance, time, etc"
"CandyCoatedMona","q105","No"
"CandyCoatedMona","q4018","Yes"
"CandyCoatedMona","q18569","Yes"
"CandyCoatedMona","q36790","Yes.  Always."
