"d_username","field","value"
"Cetta07","d_age","27"
"Cetta07","d_city","New Orleans"
"Cetta07","d_city","United States"
"Cetta07","d_orientation","Bisexual"
"Cetta07","d_gender","Woman"
"Cetta07","d_relationship","Single"
"Cetta07","d_bodytype","A little"
"Cetta07","d_ethnicity","White"
"Cetta07","d_ethnicity","Other ethnicity"
"Cetta07","d_languages","English"
"Cetta07","d_education_phase","Working on"
"Cetta07","d_education_type","University"
"Cetta07","d_religion_seriosity","laughing about it"
"Cetta07","d_smokes","Sometimes"
"Cetta07","d_drinks","Socially"
"Cetta07","d_offspring_current","No kids"
"Cetta07","d_offspring_desires","might want kids"
"Cetta07","lf_single","single"
"Cetta07","lf_location","near me"
"Cetta07","lf_min_age","18"
"Cetta07","lf_max_age","80"
"Cetta07","lf_for","short & long term dating and new friends"
"Cetta07","p_aggressive","72"
"Cetta07","p_kinky","72"
"Cetta07","p_giving","64"
"Cetta07","p_exp","26"
"Cetta07","p_outgoing","24"
"Cetta07","p_oldfash","16"
"Cetta07","p_adven","10"
"Cetta07","p_conf","-26"
"Cetta07","p_trusting","-30"
"Cetta07","p_friendly","-36"
"Cetta07","p_suave","-40"
"Cetta07","p_thrift","-50"
"Cetta07","p_lit","-54"
"Cetta07","p_playful","-68"
"Cetta07","p_polit","-70"
"Cetta07","p_good-natured","-76"
"Cetta07","p_opti","-78"
"Cetta07","q154","Yes, it would."
"Cetta07","q213","Yes"
"Cetta07","q455","Yes"
"Cetta07","q65","No"
"Cetta07","q18763","Sometimes, it depends on the situation."
"Cetta07","q594","Yes, anything can be funny in the right light."
"Cetta07","q17017","Rarely"
"Cetta07","q136","Yes"
"Cetta07","q66548","It's ok as long as it isn't every other word."
"Cetta07","q31821","Yes"
"Cetta07","q612","Yes, students should hear both sides"
"Cetta07","q838","Yes"
"Cetta07","q29829","Whenever possible"
"Cetta07","q17","No"
"Cetta07","q288","Greed"
"Cetta07","q39185","book burning"
"Cetta07","q85835","Neither, they are equally bad."
"Cetta07","q19290","Almost never, but sometimes"
"Cetta07","q40279","Call the police immediately."
"Cetta07","q53312","Weapons."
"Cetta07","q70","No"
"Cetta07","q218","Yes, only if it were regulated"
"Cetta07","q44384","It's all fine by me."
"Cetta07","q24125","No"
"Cetta07","q35203","I'm Not Sure / Depends how serious it was"
"Cetta07","q963","No"
"Cetta07","q23993","Slightly experienced"
"Cetta07","q86184","No, I am an open book."
"Cetta07","q1028","Rough"
"Cetta07","q1401","No, but I would like to."
"Cetta07","q20889","It's hokey and overly sentimental."
"Cetta07","q86366","Maybe, depending upon the circumstances."
"Cetta07","q18530","Not possible"
"Cetta07","q54127","Yes, sometimes."
"Cetta07","q58812","Yes"
"Cetta07","q1597","No"
"Cetta07","q12560","No"
"Cetta07","q21","No"
"Cetta07","q65937","The cheating."
"Cetta07","q321556","Once a day or more"
"Cetta07","q37","18 or Over"
"Cetta07","q79920","Yes, but only if there is no other way."
"Cetta07","q12605","Every day"
"Cetta07","q24375","3-5 dates"
"Cetta07","q29384","Yes."
"Cetta07","q35355","Very open. I'll try anything once."
"Cetta07","q309","Yes"
"Cetta07","q20976","That seems like an average number."
"Cetta07","q358","Yes"
"Cetta07","q18433","Sort of negative"
"Cetta07","q70135","The altar."
"Cetta07","q64334","Extremely disappointed."
"Cetta07","q35","Love"
"Cetta07","q323","Confident"
"Cetta07","q18905","Yes"
"Cetta07","q28545","Yes, and hard!"
"Cetta07","q36085","Yes."
"Cetta07","q63114","My sex drive is higher than average."
"Cetta07","q72086","No."
"Cetta07","q29","be tied up during sex"
"Cetta07","q12964","Yes"
"Cetta07","q27341","Flattered"
