"d_username","field","value"
"HistoryofC","d_age","31"
"HistoryofC","d_city","Willesden"
"HistoryofC","d_city","United Kingdom"
"HistoryofC","d_orientation","Bisexual"
"HistoryofC","d_gender","Woman"
"HistoryofC","d_relationship","Single"
"HistoryofC","d_bodytype","Average build"
"HistoryofC","d_ethnicity","White"
"HistoryofC","d_languages","English"
"HistoryofC","d_education_phase","Attended"
"HistoryofC","d_education_type","Two-year college"
"HistoryofC","d_smokes","Regularly"
"HistoryofC","d_drinks","Socially"
"HistoryofC","d_drugs","Sometimes"
"HistoryofC","d_offspring_current","No kids"
"HistoryofC","d_offspring_desires","Doesn't want kids"
"HistoryofC","lf_single","single"
"HistoryofC","lf_location","near me"
"HistoryofC","lf_min_age","30"
"HistoryofC","lf_max_age","45"
"HistoryofC","lf_for","long-term dating and new friends"
"HistoryofC","p_aggressive","80"
"HistoryofC","p_sexperienced","76"
"HistoryofC","p_dominant","70"
"HistoryofC","p_kinky","64"
"HistoryofC","p_conf","64"
"HistoryofC","p_ambi","62"
"HistoryofC","p_drug","60"
"HistoryofC","p_energetic","58"
"HistoryofC","p_exp","56"
"HistoryofC","p_adven","54"
"HistoryofC","p_sloppy","48"
"HistoryofC","p_sexdrive","46"
"HistoryofC","p_artsy","42"
"HistoryofC","p_spon","42"
"HistoryofC","p_inde","34"
"HistoryofC","p_indie","30"
"HistoryofC","p_scien","24"
"HistoryofC","p_outgoing","20"
"HistoryofC","p_playful","-20"
"HistoryofC","p_oldfash","-24"
"HistoryofC","p_thrift","-30"
"HistoryofC","p_sprit","-44"
"HistoryofC","p_suave","-46"
"HistoryofC","p_roman","-58"
"HistoryofC","p_law-abiding","-60"
"HistoryofC","p_wholesome","-84"
"HistoryofC","p_conservative","-90"
"HistoryofC","q763","No"
"HistoryofC","q13032","No"
"HistoryofC","q156917","Yes"
"HistoryofC","q6347","No"
"HistoryofC","q6542","No"
"HistoryofC","q41","Not at all important"
"HistoryofC","q986","No"
"HistoryofC","q210","No"
"HistoryofC","q156913","No"
"HistoryofC","q48372","No"
"HistoryofC","q15889","Science"
"HistoryofC","q193","No"
"HistoryofC","q61786","No"
"HistoryofC","q18708","A method one can follow to make predictions."
"HistoryofC","q156918","No"
"HistoryofC","q63068","Zero."
