"d_username","field","value"
"Itismec","d_age","28"
"Itismec","d_city","New York"
"Itismec","d_city","United States"
"Itismec","d_orientation","Heteroflexible"
"Itismec","d_orientation","Sapiosexual"
"Itismec","d_gender","Woman"
"Itismec","d_relationship","Single"
"Itismec","d_bodytype","Average build"
"Itismec","d_ethnicity","White"
"Itismec","d_languages","English"
"Itismec","d_education_phase","Attended"
"Itismec","d_education_type","University"
"Itismec","d_smokes","Never"
"Itismec","d_drinks","Socially"
"Itismec","d_drugs","No"
"Itismec","d_offspring_current","No kids"
"Itismec","lf_single","single"
"Itismec","lf_min_age","21"
"Itismec","lf_max_age","35"
"Itismec","lf_for","short-term datin"
"Itismec","p_math","58"
"Itismec","p_scien","36"
"Itismec","p_progressive","18"
"Itismec","p_aggressive","-24"
"Itismec","p_sexdrive","-42"
"Itismec","q39373","Never."
"Itismec","q594","Yes, anything can be funny in the right light."
"Itismec","q1446","It depends on the kind of suffering"
"Itismec","q29829","Always"
"Itismec","q15752","Very important"
"Itismec","q66548","It doesn't bother me at all."
"Itismec","q175","No"
"Itismec","q46927","No."
"Itismec","q70","No"
"Itismec","q31877","Unnecessary but appreciated."
"Itismec","q154","No, it wouldn't."
"Itismec","q455","No"
"Itismec","q17017","Never"
"Itismec","q226","the right to bear arms"
"Itismec","q18797","No, I'd trust them and that would be invasive."
"Itismec","q37708","Acceptable."
"Itismec","q85835","Neither, they are equally bad."
"Itismec","q213","No"
"Itismec","q24125","No"
"Itismec","q46563","No."
"Itismec","q341","Yes"
"Itismec","q17808","No"
"Itismec","q20889","It refers to a very specific kind of sex."
"Itismec","q35203","Yes"
"Itismec","q48347","No"
"Itismec","q6040","Yes"
"Itismec","q24125","No"
"Itismec","q48372","Yes"
"Itismec","q41","Not at all important"
"Itismec","q210","No"
"Itismec","q61786","No"
"Itismec","q156913","No"
"Itismec","q15889","Science"
"Itismec","q60100","No"
"Itismec","q44","False"
"Itismec","q411","Yes"
"Itismec","q32973","On rare occasions/I don't know."
"Itismec","q212813","Centrist"
"Itismec","q35778","Maybe."
"Itismec","q221105","I rarely use it."
"Itismec","q87","Yes"
"Itismec","q5417","No"
"Itismec","q9688","No"
"Itismec","q15030","Movies"
"Itismec","q83646","Yes."
"Itismec","q501","No"
"Itismec","q21488","Always."
"Itismec","q27164","No"
"Itismec","q212814","Somewhat important"
"Itismec","q318","Somewhat important"
"Itismec","q37693","Yes, I'd be playing with them."
"Itismec","q80","I never do drugs."
"Itismec","q18834","Knowledge"
"Itismec","q31055","Yes"
"Itismec","q43261","I consider their opinion but go my own way."
"Itismec","q403","No"
"Itismec","q997","Both"
"Itismec","q46403","Yes."
"Itismec","q553","Yes"
"Itismec","q22021","No, it's not very important."
"Itismec","q78","Yes"
"Itismec","q44639","Yes"
"Itismec","q8155","Seldom or never."
"Itismec","q12970","Twice or more a day"
"Itismec","q33602","Sometimes"
"Itismec","q77","Sometimes"
"Itismec","q234","A little"
"Itismec","q179268","No"
"Itismec","q16713","Yes"
"Itismec","q21175","Yes"
"Itismec","q1766","Yes"
"Itismec","q15744","Yes"
"Itismec","q74","Food"
"Itismec","q1454","Yes"
"Itismec","q1588","Yes, I would love (or do own) a cat."
"Itismec","q64193","No."
"Itismec","q17017","Never"
"Itismec","q1815","No"
"Itismec","q48753","Sometimes - It depends."
"Itismec","q15280","Yes"
"Itismec","q9474","Only if they were willing to give it up"
"Itismec","q1128","No, it's wrong."
"Itismec","q18875","Important-ish"
"Itismec","q19378","Actions: Do something nice (like a date or errand)"
"Itismec","q23543","No, it's not necessary"
"Itismec","q358014","Yes"
"Itismec","q16053","Hesitant, but I'd certainly consider it."
"Itismec","q40194","Extremely important."
"Itismec","q28754","At least 1 year"
"Itismec","q31581","Not thrilled, but go ahead."
"Itismec","q1440","No"
"Itismec","q22122","A few days"
"Itismec","q41393","I'm neutral / it depends on their other traits."
"Itismec","q122","A little"
"Itismec","q1185","Some"
"Itismec","q979","1-2"
"Itismec","q20135","I like to just let it happen"
"Itismec","q68580","No."
"Itismec","q30607","Friend, yes. Date, no."
"Itismec","q54016","No."
"Itismec","q123","No"
"Itismec","q527","No"
"Itismec","q60843","I would want them to make their own decision."
"Itismec","q26557","Doesn't faze you one bit"
"Itismec","q66506","Very important."
"Itismec","q318","Somewhat important"
"Itismec","q22021","No, it's not very important."
"Itismec","q46403","Yes."
"Itismec","q403","No"
"Itismec","q35203","Yes"
"Itismec","q29032","Logical / Mathematical"
"Itismec","q1290","No"
"Itismec","q23527","Sarcastic"
"Itismec","q313640","No"
"Itismec","q445141","Invisibility"
"Itismec","q1052","Rarely"
"Itismec","q63010","No."
"Itismec","q28820","Have great love"
"Itismec","q128","I have no tattoos"
"Itismec","q61281","Never."
"Itismec","q57","No"
"Itismec","q274","College"
"Itismec","q301","No"
"Itismec","q18594","Sometimes"
"Itismec","q23696","Never"
"Itismec","q416236","Yay!"
"Itismec","q614","something fun?"
"Itismec","q15704","I like it or love it."
"Itismec","q178","The Sun"
"Itismec","q20725","Sometimes"
"Itismec","q38767","Yes"
"Itismec","q256","Not touching anything else at the same time"
"Itismec","q265","Einstein"
"Itismec","q1201","46"
"Itismec","q19265","Nice, but not mandatory"
"Itismec","q27243","Rarely / never"
"Itismec","q19898","I'm an information sponge"
"Itismec","q255","89547"
"Itismec","q26529","No"
"Itismec","q358084","Yes"
"Itismec","q14835","On my right hand"
"Itismec","q23389","Cool, what language are they speaking?"
"Itismec","q34255","I Like It"
"Itismec","q45428","Always."
"Itismec","q416235","Yes"
"Itismec","q18900","No"
