"d_username","field","value"
"KatWantsIt","d_age","23"
"KatWantsIt","d_city","Chicago"
"KatWantsIt","d_city","United States"
"KatWantsIt","d_orientation","Bisexual"
"KatWantsIt","d_gender","Woman"
"KatWantsIt","d_relationship","Single"
"KatWantsIt","d_bodytype","Curvy"
"KatWantsIt","d_languages","English"
"KatWantsIt","d_education_phase","Working on"
"KatWantsIt","d_education_type","University"
"KatWantsIt","d_smokes","Sometimes"
"KatWantsIt","d_drinks","Socially"
"KatWantsIt","d_drugs","No"
"KatWantsIt","lf_single","single"
"KatWantsIt","lf_min_age","18"
"KatWantsIt","lf_max_age","38"
"KatWantsIt","lf_for","casual sex and new friends"
"KatWantsIt","q35","Sex"
"KatWantsIt","q1597","Yes"
"KatWantsIt","q24375","3-5 dates"
"KatWantsIt","q26525","Yes"
"KatWantsIt","q9688","No"
"KatWantsIt","q501","Yes"
"KatWantsIt","q325","Yes"
"KatWantsIt","q358077","No"
"KatWantsIt","q553","Yes"
"KatWantsIt","q997","Both"
"KatWantsIt","q44639","Yes"
"KatWantsIt","q48","Weird"
"KatWantsIt","q358080","Discovering their body"
"KatWantsIt","q149","Passion"
"KatWantsIt","q16053","Hesitant, but I'd certainly consider it."
"KatWantsIt","q325","Yes"
