"d_username","field","value"
"Maniah_Cull","d_age","24"
"Maniah_Cull","d_city","Elk River"
"Maniah_Cull","d_city","United States"
"Maniah_Cull","d_orientation","Bisexual"
"Maniah_Cull","d_orientation","Queer"
"Maniah_Cull","d_gender","Woman"
"Maniah_Cull","d_relationship","Single"
"Maniah_Cull","d_ethnicity","White"
"Maniah_Cull","d_languages","English"
"Maniah_Cull","d_education_phase","Attended"
"Maniah_Cull","d_education_type","University"
"Maniah_Cull","d_smokes","Sometimes"
"Maniah_Cull","d_drinks","Often"
"Maniah_Cull","lf_min_age","20"
"Maniah_Cull","lf_max_age","32"
"Maniah_Cull","lf_for","short & long term dating and new friends"
"Maniah_Cull","p_adven","78"
"Maniah_Cull","p_trusting","54"
"Maniah_Cull","p_wholesome","-68"
"Maniah_Cull","q39185","flag burning"
"Maniah_Cull","q85835","Neither, they are equally bad."
"Maniah_Cull","q612","No, creationism has no place in schools"
"Maniah_Cull","q29829","Whenever possible"
"Maniah_Cull","q70","No"
"Maniah_Cull","q46927","No."
"Maniah_Cull","q455","No"
"Maniah_Cull","q24125","No"
"Maniah_Cull","q18797","No, I'd trust them and that would be invasive."
"Maniah_Cull","q35355","Very open. I'll try anything once."
"Maniah_Cull","q1401","Yes, and I enjoyed myself."
"Maniah_Cull","q24125","No"
"Maniah_Cull","q156913","No"
"Maniah_Cull","q612","No, creationism has no place in schools"
"Maniah_Cull","q44639","No"
"Maniah_Cull","q221106","Rarely"
"Maniah_Cull","q325","No"
"Maniah_Cull","q358077","Yes"
"Maniah_Cull","q20418","Sometimes"
"Maniah_Cull","q18834","Expression"
"Maniah_Cull","q56","Yes"
"Maniah_Cull","q13006","Yes"
"Maniah_Cull","q23834","Yes"
"Maniah_Cull","q221105","I'm a very active user."
"Maniah_Cull","q53611","Never."
"Maniah_Cull","q212814","Somewhat important"
"Maniah_Cull","q76","No"
"Maniah_Cull","q43261","I consider their opinion but go my own way."
"Maniah_Cull","q77","Sometimes"
"Maniah_Cull","q87","No"
"Maniah_Cull","q40441","Maybe a little bit."
"Maniah_Cull","q442","Bad"
"Maniah_Cull","q12970","Twice or more a day"
"Maniah_Cull","q997","Both"
"Maniah_Cull","q16713","Yes"
"Maniah_Cull","q179268","No"
"Maniah_Cull","q31581","Sure, no problem."
"Maniah_Cull","q149","Dedication"
"Maniah_Cull","q18875","Important-ish"
"Maniah_Cull","q123","No"
"Maniah_Cull","q52682","No."
"Maniah_Cull","q24345","A lot!"
"Maniah_Cull","q358080","Discovering your shared interests"
"Maniah_Cull","q23543","Yes, unless otherwise specified"
"Maniah_Cull","q48753","Yes."
"Maniah_Cull","q80041","No"
"Maniah_Cull","q170849","No. Why spoil the mystery?"
"Maniah_Cull","q20135","I like to just let it happen"
"Maniah_Cull","q325","No"
"Maniah_Cull","q13006","Yes"
"Maniah_Cull","q15698","I'm indifferent."
"Maniah_Cull","q8672","Who cares / wtf?"
"Maniah_Cull","q445141","Flight"
"Maniah_Cull","q134","No"
"Maniah_Cull","q358084","Yes"
"Maniah_Cull","q28903","An important interview"
"Maniah_Cull","q14835","On my right hand"
"Maniah_Cull","q20725","All the time"
"Maniah_Cull","q35660","Usually"
"Maniah_Cull","q255","89547"
"Maniah_Cull","q1099","Yes"
"Maniah_Cull","q1201","46"
"Maniah_Cull","q178","The Sun"
