"d_username","field","value"
"Mikilao","d_age","29"
"Mikilao","d_city","San Francisco"
"Mikilao","d_city","United States"
"Mikilao","d_orientation","Bisexual"
"Mikilao","d_gender","Woman"
"Mikilao","d_relationship","Single"
"Mikilao","d_bodytype","Average build"
"Mikilao","d_ethnicity","Black"
"Mikilao","d_ethnicity","Other ethnicity"
"Mikilao","d_languages","English and some Spanish"
"Mikilao","d_education_phase","Attended"
"Mikilao","d_education_type","University"
"Mikilao","d_smokes","Never"
"Mikilao","d_drinks","Socially"
"Mikilao","d_drugs","No"
"Mikilao","d_offspring_current","No kids"
"Mikilao","d_offspring_desires","Doesn't want kids"
"Mikilao","lf_single","single"
"Mikilao","lf_location","near me"
"Mikilao","lf_min_age","24"
"Mikilao","lf_max_age","36"
"Mikilao","lf_for","long-term dating and new friends"
"Mikilao","p_rational","72"
"Mikilao","p_indie","18"
"Mikilao","p_sprit","-16"
"Mikilao","p_friendly","-50"
"Mikilao","p_adven","-78"
"Mikilao","q368","Yes"
"Mikilao","q455","Yes"
"Mikilao","q612","No, creationism has no place in schools"
"Mikilao","q70","No"
"Mikilao","q24125","No"
"Mikilao","q46927","No."
"Mikilao","q86217","Yes."
"Mikilao","q65937","The spilled wine."
"Mikilao","q30","No"
"Mikilao","q24375","3-5 dates"
"Mikilao","q18691","Yes"
"Mikilao","q1401","Yes, and I enjoyed myself."
"Mikilao","q14913","No"
"Mikilao","q65043","Yes."
"Mikilao","q24125","No"
"Mikilao","q60100","Yes"
"Mikilao","q156917","Yes"
"Mikilao","q210","No"
"Mikilao","q156913","No"
"Mikilao","q41","Not at all important"
"Mikilao","q47960","The novel."
"Mikilao","q612","No, creationism has no place in schools"
"Mikilao","q86515","No."
"Mikilao","q1454","No"
"Mikilao","q87","Yes"
"Mikilao","q66122","Yes."
"Mikilao","q9688","No"
"Mikilao","q221105","I rarely use it."
"Mikilao","q135","Rich"
"Mikilao","q13006","No"
"Mikilao","q501","No"
"Mikilao","q37693","No."
"Mikilao","q1112","No"
"Mikilao","q79","Never."
"Mikilao","q49","Intense"
"Mikilao","q358077","Yes"
"Mikilao","q997","Both"
"Mikilao","q19897","I enjoy playing them"
"Mikilao","q23618","Very - I need some me time to be happy"
"Mikilao","q80","I never do drugs."
"Mikilao","q17705","Italian"
"Mikilao","q553","Yes"
"Mikilao","q85572","It's okay, but I'm really not that into it."
"Mikilao","q212813","Other"
"Mikilao","q23305","Between 2 and 5 countries."
"Mikilao","q77","Sometimes"
"Mikilao","q158","Yes"
"Mikilao","q7535","Yes"
"Mikilao","q403","No"
"Mikilao","q34662","50+"
"Mikilao","q35778","Yes."
"Mikilao","q44639","Yes"
"Mikilao","q48","Weird"
"Mikilao","q44068","Sometimes / Maybe"
"Mikilao","q15744","Yes"
"Mikilao","q61461","I don't care for it."
"Mikilao","q111","Yes"
"Mikilao","q69943","Yes."
"Mikilao","q179268","No"
"Mikilao","q20135","I try to avoid it"
"Mikilao","q82681","Someone attractive and smart."
"Mikilao","q1815","No"
"Mikilao","q85706","Continue current relationship, ignore attraction."
"Mikilao","q149","Passion"
"Mikilao","q16053","Hesitant, but I'd certainly consider it."
"Mikilao","q22534","No"
"Mikilao","q80041","No"
"Mikilao","q123","No"
"Mikilao","q24345","A lot!"
"Mikilao","q1440","No"
"Mikilao","q358014","Yes"
"Mikilao","q8054","Yes"
"Mikilao","q13006","No"
"Mikilao","q23618","Very - I need some me time to be happy"
"Mikilao","q403","No"
"Mikilao","q18691","Yes"
"Mikilao","q15698","How revolting."
"Mikilao","q86909","No."
"Mikilao","q9683","Not at all"
"Mikilao","q35660","Rarely"
"Mikilao","q20196","1700-1900 (Elizabethan, Romantic, Victorian, etc.)"
"Mikilao","q63930","Invest for the future."
"Mikilao","q6024","Yes"
"Mikilao","q34255","I Don't Mind"
"Mikilao","q46","Good"
"Mikilao","q445141","Flight"
"Mikilao","q28903","An important interview"
"Mikilao","q358084","Yes"
"Mikilao","q255","89547"
"Mikilao","q8672","Where"
"Mikilao","q178","The Sun"
"Mikilao","q20930","Average"
"Mikilao","q265","Einstein"
