"d_username","field","value"
"MizMelodia","d_age","38"
"MizMelodia","d_city","Portland"
"MizMelodia","d_city","United States"
"MizMelodia","d_orientation","Queer"
"MizMelodia","d_gender","Woman"
"MizMelodia","d_relationship","Single"
"MizMelodia","d_bodytype","Curvy"
"MizMelodia","d_ethnicity","White"
"MizMelodia","d_languages","English and some Spanish"
"MizMelodia","d_education_phase","Attended"
"MizMelodia","d_education_type","University"
"MizMelodia","d_religion_type","Other religion"
"MizMelodia","d_smokes","Never"
"MizMelodia","d_offspring_current","No kids"
"MizMelodia","d_offspring_desires","Doesn't want kids"
"MizMelodia","lf_location","near me"
"MizMelodia","lf_min_age","28"
"MizMelodia","lf_max_age","55"
"MizMelodia","lf_for","short & long term datin"
"MizMelodia","p_inde","98"
"MizMelodia","p_indie","94"
"MizMelodia","p_exp","94"
"MizMelodia","p_adven","90"
"MizMelodia","p_kinky","90"
"MizMelodia","p_sexdrive","84"
"MizMelodia","p_sloppy","82"
"MizMelodia","p_comp","80"
"MizMelodia","p_sexperienced","68"
"MizMelodia","p_roman","64"
"MizMelodia","p_lit","50"
"MizMelodia","p_artsy","48"
"MizMelodia","p_conf","48"
"MizMelodia","p_sprit","44"
"MizMelodia","p_trusting","14"
"MizMelodia","p_oldfash","-24"
"MizMelodia","p_conservative","-88"
"MizMelodia","q53965","Ignore it."
"MizMelodia","q136","No"
"MizMelodia","q34113","No problem"
"MizMelodia","q65","Yes"
"MizMelodia","q838","Yes"
"MizMelodia","q612","No, creationism has no place in schools"
"MizMelodia","q175","No"
"MizMelodia","q29829","Whenever possible"
"MizMelodia","q70","No"
"MizMelodia","q169","Yes"
"MizMelodia","q218","Yes, absolutely"
"MizMelodia","q41060","Yes."
"MizMelodia","q66548","It doesn't bother me at all."
"MizMelodia","q19776","Before 10"
"MizMelodia","q85835","Neither, they are equally bad."
"MizMelodia","q395","Yes"
"MizMelodia","q26684","No"
"MizMelodia","q40288","Not at all."
"MizMelodia","q18763","Yes, I always try to do the right thing."
"MizMelodia","q19215","Yes"
"MizMelodia","q81866","It wouldn't matter to me at all."
"MizMelodia","q1446","Yes, solidarity is important"
"MizMelodia","q44384","It's all fine by me."
"MizMelodia","q71","No"
"MizMelodia","q341","Yes"
"MizMelodia","q19748","I have no problem with them. You go girls!"
"MizMelodia","q214","No"
"MizMelodia","q18797","No, I'd trust them and that would be invasive."
"MizMelodia","q24125","No"
"MizMelodia","q37708","Acceptable."
"MizMelodia","q13","No"
"MizMelodia","q171","Your world"
"MizMelodia","q19681","No"
"MizMelodia","q44350","My country's flag."
"MizMelodia","q30115","I have."
"MizMelodia","q14913","Yes"
"MizMelodia","q65937","Actually, this would not bother me."
"MizMelodia","q1132","Yes"
"MizMelodia","q45006","Yes."
"MizMelodia","q69186","No."
"MizMelodia","q24684","Always"
"MizMelodia","q20976","No, that's nothing."
"MizMelodia","q81807","Yes."
"MizMelodia","q19891","Arousal"
"MizMelodia","q1597","Yes"
"MizMelodia","q12605","About every other day"
"MizMelodia","q12","Yes"
"MizMelodia","q26387","Always"
"MizMelodia","q82263","No."
"MizMelodia","q58812","Yes"
"MizMelodia","q11","Aroused"
"MizMelodia","q309","Yes"
"MizMelodia","q17768","Oral sex"
"MizMelodia","q18048","Sure, I'd be okay with that."
"MizMelodia","q40775","Regularly"
"MizMelodia","q63114","My sex drive is higher than average."
"MizMelodia","q70135","Neither would bother me at all."
"MizMelodia","q72735","I'd pretend I didn't see it."
"MizMelodia","q83480","It doesn't matter."
"MizMelodia","q665","Bring out the toys!"
"MizMelodia","q26525","Yes"
"MizMelodia","q28545","Yes, and hard!"
"MizMelodia","q29384","Allow? I enjoy it."
"MizMelodia","q35355","Very open. I'll try anything once."
"MizMelodia","q39714","No."
"MizMelodia","q1028","I enjoy both equally"
"MizMelodia","q1401","Yes, and I enjoyed myself."
"MizMelodia","q17732","Yes"
"MizMelodia","q30169","Love it!"
"MizMelodia","q50564","Yes."
"MizMelodia","q204","the ability to reproduce"
"MizMelodia","q65115","Yes."
"MizMelodia","q30","Yes, some"
"MizMelodia","q9628","Yes"
"MizMelodia","q395","Yes"
"MizMelodia","q13","No"
"MizMelodia","q19681","No"
"MizMelodia","q24125","No"
"MizMelodia","q41","Somewhat important"
"MizMelodia","q24740","Yes"
"MizMelodia","q6640","Yes"
"MizMelodia","q20408","Yes, and I practice one/some of these."
"MizMelodia","q45","Yes"
"MizMelodia","q156913","No"
"MizMelodia","q21729","Sure"
"MizMelodia","q656","Worse"
"MizMelodia","q612","No, creationism has no place in schools"
"MizMelodia","q70135","Neither would bother me at all."
"MizMelodia","q65115","Yes."
"MizMelodia","q1062","A couple times a week."
"MizMelodia","q9688","Yes"
"MizMelodia","q26582","Yes"
"MizMelodia","q1667","I prefer to go without"
"MizMelodia","q179268","Yes"
"MizMelodia","q6867","No"
"MizMelodia","q542","Fifty or more"
"MizMelodia","q19815","No, I don't mind."
"MizMelodia","q997","Cats"
"MizMelodia","q87","Yes"
"MizMelodia","q354","Yes"
"MizMelodia","q221105","I rarely use it."
"MizMelodia","q18538","It wasn't a 'phase'!"
"MizMelodia","q24153","Never"
"MizMelodia","q23305","More than 10 countries."
"MizMelodia","q334","No"
"MizMelodia","q53611","Frequently."
"MizMelodia","q86397","Yes."
"MizMelodia","q13006","Yes, but only an occasional/social smoker"
"MizMelodia","q36355","Yes."
"MizMelodia","q37695","Yes - Every chance I get."
"MizMelodia","q2717","No"
"MizMelodia","q37693","No."
"MizMelodia","q325","Yes"
"MizMelodia","q501","No"
"MizMelodia","q44255","No."
"MizMelodia","q410","Yes"
"MizMelodia","q15030","Books"
"MizMelodia","q33602","Yes, almost always"
"MizMelodia","q36524","Yes, all the time"
"MizMelodia","q358077","Yes"
"MizMelodia","q18609","Yes, I'm a culinary genius."
"MizMelodia","q23618","Very - I need some me time to be happy"
"MizMelodia","q23954","Rarely"
"MizMelodia","q31898","Those poor, locked-up animals!"
"MizMelodia","q8155","Seldom or never."
"MizMelodia","q18834","Love"
"MizMelodia","q27164","No"
"MizMelodia","q44354","I love long camping trips."
"MizMelodia","q113","Yes"
"MizMelodia","q15513","Run outside to dance and play!"
"MizMelodia","q21754","They can be fun every once and a while."
"MizMelodia","q27672","Critically important."
"MizMelodia","q33949","Yes, as much as possible"
"MizMelodia","q83547","Very important."
"MizMelodia","q9662","Yes"
"MizMelodia","q43261","I consider their opinion but go my own way."
"MizMelodia","q46403","Yes."
"MizMelodia","q1122","Often"
"MizMelodia","q82528","Yes, always."
"MizMelodia","q212813","Other"
"MizMelodia","q57570","Yes."
"MizMelodia","q221106","Never"
"MizMelodia","q48","Weird"
"MizMelodia","q77","Sometimes"
"MizMelodia","q35606","Heck yeah! I'll bring the hot cocoa/coffee/tea."
"MizMelodia","q38051","Never."
"MizMelodia","q12970","Twice or more a day"
"MizMelodia","q82566","Yes, but I can do without it."
"MizMelodia","q347","No"
"MizMelodia","q513","Yes"
"MizMelodia","q1588","Yes, I would love (or do own) a cat."
"MizMelodia","q24282","Very inclined"
"MizMelodia","q548","Yes"
"MizMelodia","q6640","Yes"
"MizMelodia","q41242","It sounds sexy - Hopefully they'll hook up."
"MizMelodia","q31581","Sure, no problem."
"MizMelodia","q16053","Hesitant, but I'd certainly consider it."
"MizMelodia","q52827","Yes to both"
"MizMelodia","q149","Passion"
"MizMelodia","q1128","Yes, but only if everybody knew."
"MizMelodia","q75677","Jealousy."
"MizMelodia","q784","Yes"
"MizMelodia","q30207","No, it's underrated."
"MizMelodia","q39337","Clean and natural."
"MizMelodia","q82778","Androgeny."
"MizMelodia","q16295","Foolish"
"MizMelodia","q40194","Extremely important."
"MizMelodia","q67821","No."
"MizMelodia","q979","None"
"MizMelodia","q16371","Accept / Are open to non-monogamous relationships."
"MizMelodia","q80041","No"
"MizMelodia","q20519","Sure. I'm interested in sharing our beliefs."
"MizMelodia","q23543","No, it's not necessary"
"MizMelodia","q146","Kissing in a tent, in the woods"
"MizMelodia","q31840","Embracing / cuddling my partner"
"MizMelodia","q6499","flattered / proud"
"MizMelodia","q19378","Touch: Give them a hug, massage or kiss"
"MizMelodia","q15372","No"
"MizMelodia","q24345","A lot!"
"MizMelodia","q40650","Sometimes, but not too much."
"MizMelodia","q123","No"
"MizMelodia","q527","No"
"MizMelodia","q13086","Yes"
"MizMelodia","q546","Yes"
"MizMelodia","q6258","Yes"
"MizMelodia","q48753","Yes."
"MizMelodia","q18564","Yes"
"MizMelodia","q66506","Very important."
"MizMelodia","q114","Yes"
"MizMelodia","q19690","Yes"
"MizMelodia","q60843","I would want them to make their own decision."
"MizMelodia","q8054","Yes"
"MizMelodia","q136","No"
"MizMelodia","q13006","Yes, but only an occasional/social smoker"
"MizMelodia","q325","Yes"
"MizMelodia","q23618","Very - I need some me time to be happy"
"MizMelodia","q46403","Yes."
"MizMelodia","q44384","It's all fine by me."
"MizMelodia","q71","No"
"MizMelodia","q32855","I let it grow, wild & free!"
"MizMelodia","q19649","Yes"
"MizMelodia","q128","I have 1 or more big tattoos"
"MizMelodia","q23696","Used to, but not any more"
"MizMelodia","q7239","No sense of humor"
"MizMelodia","q20930","Higher than average"
"MizMelodia","q134","No"
"MizMelodia","q19392","Yes"
"MizMelodia","q51615","Almost every time I see them."
"MizMelodia","q34255","I Like It"
"MizMelodia","q55169","No."
"MizMelodia","q8672","Why"
"MizMelodia","q18504","Yes"
"MizMelodia","q445141","Flight"
"MizMelodia","q35660","Usually"
"MizMelodia","q38767","Yes"
"MizMelodia","q19898","I'm an information sponge"
"MizMelodia","q6109","Nervous"
"MizMelodia","q19088","No"
"MizMelodia","q26841","Way more than average"
"MizMelodia","q30416","The grammar"
"MizMelodia","q4018","Yes"
"MizMelodia","q45428","Always."
"MizMelodia","q59457","Yes."
"MizMelodia","q178","The Sun"
"MizMelodia","q1201","46"
"MizMelodia","q23389","Cool, what language are they speaking?"
"MizMelodia","q255","89547"
