"d_username","field","value"
"NaturalSavage","d_age","23"
"NaturalSavage","d_city","Daytona Beach"
"NaturalSavage","d_city","United States"
"NaturalSavage","d_orientation","Bisexual"
"NaturalSavage","d_gender","Woman"
"NaturalSavage","d_relationship","Single"
"NaturalSavage","d_bodytype","Full figured"
"NaturalSavage","d_ethnicity","Black"
"NaturalSavage","d_languages","English and some Japanese"
"NaturalSavage","d_education_phase","Attended"
"NaturalSavage","d_education_type","space camp"
"NaturalSavage","d_smokes","Never"
"NaturalSavage","d_drinks","Socially"
"NaturalSavage","d_drinks","Often"
"NaturalSavage","d_offspring_current","No kids"
"NaturalSavage","d_offspring_desires","might want kids"
"NaturalSavage","lf_single","single"
"NaturalSavage","lf_location","near me"
"NaturalSavage","lf_min_age","18"
"NaturalSavage","lf_max_age","35"
"NaturalSavage","lf_for","short & long term dating and new friends"
"NaturalSavage","p_kinky","78"
"NaturalSavage","p_sexdrive","74"
"NaturalSavage","p_indie","58"
"NaturalSavage","p_drug","56"
"NaturalSavage","p_playful","52"
"NaturalSavage","p_organized","32"
"NaturalSavage","p_lit","30"
"NaturalSavage","p_aggressive","26"
"NaturalSavage","p_sprit","-24"
"NaturalSavage","p_opti","-46"
"NaturalSavage","p_conservative","-54"
"NaturalSavage","p_outgoing","-68"
"NaturalSavage","p_conf","-74"
"NaturalSavage","p_polit","-80"
"NaturalSavage","q8218","I'm Not Sure"
"NaturalSavage","q455","Yes"
"NaturalSavage","q359387","Universal"
"NaturalSavage","q18797","Only if I suspected them of something."
"NaturalSavage","q39373","Sometimes."
"NaturalSavage","q17","Yes"
"NaturalSavage","q136","Yes"
"NaturalSavage","q594","No, some subjects should not be joked about."
"NaturalSavage","q29829","Always"
"NaturalSavage","q65","Yes"
"NaturalSavage","q612","No, creationism has no place in schools"
"NaturalSavage","q393","No"
"NaturalSavage","q18763","Sometimes, it depends on the situation."
"NaturalSavage","q838","Yes"
"NaturalSavage","q39185","book burning"
"NaturalSavage","q175","No"
"NaturalSavage","q395","Yes"
"NaturalSavage","q44384","It's all fine by me."
"NaturalSavage","q70","No"
"NaturalSavage","q85835","Neither, they are equally bad."
"NaturalSavage","q37708","Acceptable."
"NaturalSavage","q887","Usually, yes."
"NaturalSavage","q46927","No."
"NaturalSavage","q154","No, it wouldn't."
"NaturalSavage","q24125","No"
"NaturalSavage","q28545","No way."
"NaturalSavage","q67658","Positively."
"NaturalSavage","q64334","Slightly disappointed."
"NaturalSavage","q79635","Negative."
"NaturalSavage","q21","Yes"
"NaturalSavage","q32","I have little or no interest."
"NaturalSavage","q35","Sex"
"NaturalSavage","q1028","Rough"
"NaturalSavage","q18530","Not possible"
"NaturalSavage","q321556","Once a day or more"
"NaturalSavage","q24375","3-5 dates"
"NaturalSavage","q64436","Yes."
"NaturalSavage","q16317","No"
"NaturalSavage","q29384","Allow? I enjoy it."
