"d_username","field","value"
"RentonRuthie","d_age","37"
"RentonRuthie","d_city","Renton"
"RentonRuthie","d_city","United States"
"RentonRuthie","d_orientation","Bisexual"
"RentonRuthie","d_gender","Woman"
"RentonRuthie","d_relationship","Single"
"RentonRuthie","d_bodytype","Full figured"
"RentonRuthie","d_ethnicity","White"
"RentonRuthie","d_languages","English"
"RentonRuthie","d_education_phase","Attended"
"RentonRuthie","d_education_type","High school"
"RentonRuthie","d_religion_type","Other religion"
"RentonRuthie","d_smokes","Regularly"
"RentonRuthie","d_drinks","Socially"
"RentonRuthie","lf_location","near me"
"RentonRuthie","lf_min_age","25"
"RentonRuthie","lf_max_age","35"
"RentonRuthie","lf_for","long-term dating and new friends"
"RentonRuthie","p_sexdrive","90"
"RentonRuthie","p_kinky","84"
"RentonRuthie","p_sexperienced","84"
"RentonRuthie","p_inde","76"
"RentonRuthie","p_suave","74"
"RentonRuthie","p_spon","62"
"RentonRuthie","p_nerdy","54"
"RentonRuthie","p_lit","50"
"RentonRuthie","p_adven","36"
"RentonRuthie","p_conf","34"
"RentonRuthie","p_artsy","30"
"RentonRuthie","p_trusting","30"
"RentonRuthie","p_exp","18"
"RentonRuthie","p_oldfash","-24"
"RentonRuthie","p_ambi","-44"
"RentonRuthie","p_good-natured","-44"
"RentonRuthie","p_law-abiding","-44"
"RentonRuthie","p_roman","-52"
"RentonRuthie","p_dominant","-54"
"RentonRuthie","p_wholesome","-78"
"RentonRuthie","p_conservative","-78"
"RentonRuthie","q13054","I oppose the laws"
"RentonRuthie","q154","Yes, it would."
"RentonRuthie","q65","No"
"RentonRuthie","q136","No"
"RentonRuthie","q17","Yes"
"RentonRuthie","q1153","Embraced as an art form"
"RentonRuthie","q594","Yes, anything can be funny in the right light."
"RentonRuthie","q85835","Starving children."
"RentonRuthie","q39","No"
"RentonRuthie","q53965","Kill it."
"RentonRuthie","q17017","Rarely"
"RentonRuthie","q887","Yes, and I often try to push the boundaries!"
"RentonRuthie","q19290","No, violence solves nothing"
"RentonRuthie","q48947","No."
