"d_username","field","value"
"Rynrin","d_age","29"
"Rynrin","d_city","Houston"
"Rynrin","d_city","United States"
"Rynrin","d_orientation","Bisexual"
"Rynrin","d_gender","Woman"
"Rynrin","d_relationship","Single"
"Rynrin","d_bodytype","Fit"
"Rynrin","d_ethnicity","White"
"Rynrin","d_languages","English"
"Rynrin","d_education_phase","Working on"
"Rynrin","d_education_type","Post grad"
"Rynrin","d_smokes","Never"
"Rynrin","d_drinks","Socially"
"Rynrin","d_drugs","Sometimes"
"Rynrin","d_offspring_current","No kids"
"Rynrin","lf_single","single"
"Rynrin","lf_location","near me"
"Rynrin","lf_min_age","21"
"Rynrin","lf_max_age","35"
"Rynrin","lf_for","short & long term dating and new friends"
"Rynrin","p_indie","44"
"Rynrin","p_polit","20"
"Rynrin","p_playful","-16"
"Rynrin","p_sprit","-16"
"Rynrin","p_oldfash","-42"
"Rynrin","q154","Yes, it would."
"Rynrin","q65","No"
"Rynrin","q594","Yes, anything can be funny in the right light."
"Rynrin","q27921","Neither / unsure"
"Rynrin","q17","No"
"Rynrin","q29829","Whenever possible"
"Rynrin","q39373","Rarely."
"Rynrin","q612","No, creationism has no place in schools"
"Rynrin","q838","Yes"
"Rynrin","q39185","book burning"
"Rynrin","q85835","Neither, they are equally bad."
"Rynrin","q70","No"
"Rynrin","q18797","No, I'd trust them and that would be invasive."
"Rynrin","q24125","No"
"Rynrin","q46927","No."
"Rynrin","q359387","Relative"
"Rynrin","q37708","Acceptable."
"Rynrin","q24375","6 or more dates"
"Rynrin","q1597","No"
"Rynrin","q35355","I'm open, but I don't get too crazy."
"Rynrin","q63114","My sex drive is about average."
"Rynrin","q12605","About every other day"
"Rynrin","q12964","Yes"
"Rynrin","q324","I disagree."
"Rynrin","q1028","I enjoy both equally"
"Rynrin","q321556","A few times a week"
"Rynrin","q14913","No"
"Rynrin","q20889","It refers to a very specific kind of sex."
"Rynrin","q1401","Yes, and I enjoyed myself."
"Rynrin","q17","No"
"Rynrin","q24125","No"
"Rynrin","q210","No"
"Rynrin","q156913","No"
"Rynrin","q41","Not at all important"
"Rynrin","q15889","Science"
"Rynrin","q60100","No"
"Rynrin","q612","No, creationism has no place in schools"
"Rynrin","q212813","Centrist"
"Rynrin","q87","Yes"
"Rynrin","q442","Good"
"Rynrin","q9688","Yes, but only soft stuff like marijuana"
"Rynrin","q501","No"
"Rynrin","q553","No"
"Rynrin","q20418","Yes"
"Rynrin","q23834","Yes"
"Rynrin","q358077","No"
"Rynrin","q79","I smoke occasionally."
"Rynrin","q212814","Very important"
"Rynrin","q49","Carefree"
"Rynrin","q1062","Usually daily. I skip some."
"Rynrin","q76","No"
"Rynrin","q18834","Expression"
"Rynrin","q43261","I consider their opinion but go my own way."
"Rynrin","q8155","Once every month or three."
"Rynrin","q27164","No"
"Rynrin","q80","I never do drugs."
"Rynrin","q221105","I'm a somewhat active user."
"Rynrin","q48","Weird"
"Rynrin","q44639","Yes"
"Rynrin","q158","Yes"
"Rynrin","q997","Both"
"Rynrin","q40441","Maybe a little bit."
"Rynrin","q77","Sometimes"
"Rynrin","q12970","Twice or more a day"
"Rynrin","q179268","No"
"Rynrin","q1454","Yes"
"Rynrin","q221106","Never"
"Rynrin","q1766","Yes"
"Rynrin","q1815","No"
"Rynrin","q25228","Yes"
"Rynrin","q41850","Somewhat important."
"Rynrin","q784","Yes"
"Rynrin","q36045","No way."
"Rynrin","q31581","Not thrilled, but go ahead."
"Rynrin","q52682","Yes, but only if they were obese."
"Rynrin","q19378","Actions: Do something nice (like a date or errand)"
"Rynrin","q16053","Totally willing!"
"Rynrin","q40194","Somewhat important."
"Rynrin","q18875","Very damn important"
"Rynrin","q31840","Touching my partner"
"Rynrin","q170849","No. Why spoil the mystery?"
"Rynrin","q358014","Yes"
"Rynrin","q20519","Sure. I'm interested in sharing our beliefs."
"Rynrin","q23543","Yes, unless otherwise specified"
"Rynrin","q146","Kissing in a tent, in the woods"
"Rynrin","q19874","12+ months"
"Rynrin","q20135","I like to just let it happen"
"Rynrin","q123","No"
"Rynrin","q80041","No"
"Rynrin","q165644","Nothing to talk about"
"Rynrin","q24345","A lot!"
"Rynrin","q55744","This would not be an important factor to me."
"Rynrin","q358080","Discovering your shared interests"
"Rynrin","q66506","Very important."
"Rynrin","q48753","Yes."
"Rynrin","q12964","Yes"
"Rynrin","q17","No"
"Rynrin","q255","98547"
"Rynrin","q28903","A promising first date"
"Rynrin","q15698","They're okay, but keep the unruly ones at bay."
"Rynrin","q8672","Why"
"Rynrin","q445141","Flight"
"Rynrin","q46","Interesting"
"Rynrin","q19898","I'm an information sponge"
"Rynrin","q20725","All the time"
"Rynrin","q416236","Yay!"
"Rynrin","q134","No"
"Rynrin","q20930","Average"
"Rynrin","q26841","Way more than average"
"Rynrin","q35660","Usually"
"Rynrin","q59457","Yes."
"Rynrin","q301","No"
"Rynrin","q61281","Occasionally."
"Rynrin","q358084","Yes"
"Rynrin","q178","The Sun"
