"d_username","field","value"
"Sexyblondecat1","d_age","37"
"Sexyblondecat1","d_city","Brooklyn"
"Sexyblondecat1","d_city","United States"
"Sexyblondecat1","d_orientation","Bisexual"
"Sexyblondecat1","d_gender","Woman"
"Sexyblondecat1","d_relationship","Single"
"Sexyblondecat1","d_bodytype","Fit"
"Sexyblondecat1","d_ethnicity","White"
"Sexyblondecat1","d_languages","English"
"Sexyblondecat1","d_education_phase","Attended"
"Sexyblondecat1","d_education_type","University"
"Sexyblondecat1","d_smokes","Never"
"Sexyblondecat1","d_drinks","Socially"
"Sexyblondecat1","d_drugs","No"
"Sexyblondecat1","d_offspring_current","No kids"
"Sexyblondecat1","lf_single","single"
"Sexyblondecat1","lf_min_age","25"
"Sexyblondecat1","lf_max_age","50"
"Sexyblondecat1","lf_for","short & long term datin"
"Sexyblondecat1","q175","Yes"
"Sexyblondecat1","q165","No"
"Sexyblondecat1","q213","No"
"Sexyblondecat1","q368","No"
"Sexyblondecat1","q70","No"
"Sexyblondecat1","q14","No"
"Sexyblondecat1","q19893","No"
"Sexyblondecat1","q19854","No"
"Sexyblondecat1","q14","No"
"Sexyblondecat1","q156913","Yes"
"Sexyblondecat1","q763","Yes"
"Sexyblondecat1","q115","Yes"
"Sexyblondecat1","q15637","No"
"Sexyblondecat1","q87","Yes"
"Sexyblondecat1","q44639","No"
"Sexyblondecat1","q94","No"
"Sexyblondecat1","q15746","Yes"
"Sexyblondecat1","q62455","Yes."
"Sexyblondecat1","q441","Yes"
"Sexyblondecat1","q19011","Yes"
"Sexyblondecat1","q76","Yes"
"Sexyblondecat1","q997","Dogs"
"Sexyblondecat1","q358077","No"
"Sexyblondecat1","q1112","Yes"
"Sexyblondecat1","q553","Yes"
"Sexyblondecat1","q12796","Yes"
"Sexyblondecat1","q68185","Yes."
"Sexyblondecat1","q375","No"
"Sexyblondecat1","q77","Sometimes"
"Sexyblondecat1","q220","No"
"Sexyblondecat1","q83660","Yes."
"Sexyblondecat1","q426","Yes"
"Sexyblondecat1","q434","Yes"
"Sexyblondecat1","q15744","Yes"
"Sexyblondecat1","q48328","No."
"Sexyblondecat1","q69943","Yes."
"Sexyblondecat1","q436","Yes"
"Sexyblondecat1","q469","Yes"
"Sexyblondecat1","q179268","No"
"Sexyblondecat1","q6867","Yes"
"Sexyblondecat1","q16752","No"
"Sexyblondecat1","q43827","Yes."
"Sexyblondecat1","q1766","Yes"
"Sexyblondecat1","q6619","Yes"
"Sexyblondecat1","q80081","Yes."
"Sexyblondecat1","q763","Yes"
"Sexyblondecat1","q106","Yes"
"Sexyblondecat1","q1440","Yes"
"Sexyblondecat1","q149","Passion"
"Sexyblondecat1","q16053","Totally willing!"
"Sexyblondecat1","q13086","Yes"
"Sexyblondecat1","q15280","No"
"Sexyblondecat1","q60500","No."
"Sexyblondecat1","q33","Yes"
"Sexyblondecat1","q9415","No"
"Sexyblondecat1","q478","Yes"
"Sexyblondecat1","q57","Yes"
"Sexyblondecat1","q6155","Yes"
"Sexyblondecat1","q6377","No"
"Sexyblondecat1","q50755","Yes."
"Sexyblondecat1","q60892","Yes."
"Sexyblondecat1","q489","No"
"Sexyblondecat1","q1099","Yes"
"Sexyblondecat1","q6111","No"
"Sexyblondecat1","q358084","Yes"
"Sexyblondecat1","q4018","Yes"
