"d_username","field","value"
"Ziliy","d_age","24"
"Ziliy","d_city","Berkeley"
"Ziliy","d_city","United States"
"Ziliy","d_orientation","Pansexual"
"Ziliy","d_orientation","Homoflexible"
"Ziliy","d_orientation","Lesbian"
"Ziliy","d_orientation","Queer"
"Ziliy","d_orientation","Bisexual"
"Ziliy","d_gender","Woman"
"Ziliy","d_relationship","Single"
"Ziliy","d_bodytype","Average build"
"Ziliy","d_languages","English"
"Ziliy","d_religion_type","Other religion"
"Ziliy","d_smokes","Regularly"
"Ziliy","d_drinks","Socially"
"Ziliy","d_drugs","Sometimes"
"Ziliy","lf_location","near me"
"Ziliy","lf_min_age","22"
"Ziliy","lf_max_age","38"
"Ziliy","lf_for","casual sex and new friends"
"Ziliy","p_sexdrive","94"
"Ziliy","p_conservative","-26"
"Ziliy","p_wholesome","-92"
"Ziliy","q27921","More safe"
"Ziliy","q154","Yes, it would."
"Ziliy","q838","No"
"Ziliy","q35","Sex"
"Ziliy","q24375","1-2 dates"
"Ziliy","q60100","No"
"Ziliy","q763","Yes"
"Ziliy","q80","I do drugs regularly."
"Ziliy","q436","No"
"Ziliy","q9688","Yes"
"Ziliy","q434","No"
"Ziliy","q501","Yes"
"Ziliy","q62455","Yes."
"Ziliy","q79","I smoke occasionally."
"Ziliy","q553","No"
"Ziliy","q403","Yes"
"Ziliy","q15746","Yes"
"Ziliy","q325","Yes"
"Ziliy","q358077","Yes"
"Ziliy","q77","Sometimes"
"Ziliy","q441","No"
"Ziliy","q1112","Yes"
"Ziliy","q997","Dogs"
"Ziliy","q87","No"
"Ziliy","q12796","Yes"
"Ziliy","q48328","No."
"Ziliy","q220","No"
"Ziliy","q48","Weird"
"Ziliy","q94","Yes"
"Ziliy","q426","Yes"
"Ziliy","q6867","Yes"
"Ziliy","q401","Yes"
"Ziliy","q44639","Yes"
"Ziliy","q1766","Yes"
"Ziliy","q15744","Yes"
"Ziliy","q179268","No"
"Ziliy","q763","Yes"
"Ziliy","q41953","One night"
"Ziliy","q358080","Discovering their body"
"Ziliy","q1440","Yes"
"Ziliy","q149","Passion"
"Ziliy","q16053","Totally willing!"
"Ziliy","q106","No"
"Ziliy","q123","No"
"Ziliy","q403","Yes"
"Ziliy","q325","Yes"
"Ziliy","q60892","No."
"Ziliy","q57","Yes"
"Ziliy","q46","Interesting"
"Ziliy","q20930","Higher than average"
"Ziliy","q6155","Yes"
"Ziliy","q4018","Yes"
"Ziliy","q8672","Why"
"Ziliy","q391","No"
"Ziliy","q1099","Yes"
"Ziliy","q358084","Yes"
