"d_username","field","value"
"Zuzu_inabox","d_age","23"
"Zuzu_inabox","d_city","London"
"Zuzu_inabox","d_city","United Kingdom"
"Zuzu_inabox","d_orientation","Bisexual"
"Zuzu_inabox","d_gender","Woman"
"Zuzu_inabox","d_relationship","Single"
"Zuzu_inabox","d_bodytype","Average build"
"Zuzu_inabox","d_languages","English and Arabic"
"Zuzu_inabox","d_education_phase","Attended"
"Zuzu_inabox","d_education_type","University"
"Zuzu_inabox","d_smokes","Never"
"Zuzu_inabox","d_offspring_current","No kids"
"Zuzu_inabox","lf_single","single"
"Zuzu_inabox","lf_location","near me"
"Zuzu_inabox","lf_min_age","22"
"Zuzu_inabox","lf_max_age","35"
"Zuzu_inabox","lf_for","short & long term dating and new friends"
"Zuzu_inabox","p_conservative","-20"
"Zuzu_inabox","p_oldfash","-48"
"Zuzu_inabox","p_wholesome","-74"
"Zuzu_inabox","q29829","Whenever possible"
"Zuzu_inabox","q175","No"
"Zuzu_inabox","q838","Yes"
"Zuzu_inabox","q612","No, creationism has no place in schools"
"Zuzu_inabox","q27921","Less safe"
"Zuzu_inabox","q46927","No."
"Zuzu_inabox","q70","No"
"Zuzu_inabox","q154","No, it wouldn't."
"Zuzu_inabox","q24125","No"
"Zuzu_inabox","q18530","No"
"Zuzu_inabox","q35","Sex"
"Zuzu_inabox","q24375","1-2 dates"
"Zuzu_inabox","q1597","Yes"
"Zuzu_inabox","q12605","Every day"
"Zuzu_inabox","q12964","Yes"
"Zuzu_inabox","q1401","Yes, and I enjoyed myself."
"Zuzu_inabox","q24125","No"
"Zuzu_inabox","q41","Not at all important"
"Zuzu_inabox","q60100","No"
"Zuzu_inabox","q612","No, creationism has no place in schools"
"Zuzu_inabox","q997","Cats"
"Zuzu_inabox","q44639","No"
"Zuzu_inabox","q80","I've done drugs in the past, but no longer."
"Zuzu_inabox","q501","Yes"
"Zuzu_inabox","q221105","I rarely use it."
"Zuzu_inabox","q403","Yes"
"Zuzu_inabox","q9688","Yes, but only soft stuff like marijuana"
"Zuzu_inabox","q79","I smoked in the past, but no longer."
"Zuzu_inabox","q77","Sometimes"
"Zuzu_inabox","q18834","Knowledge"
"Zuzu_inabox","q212813","Liberal / Left-wing"
"Zuzu_inabox","q358077","Yes"
"Zuzu_inabox","q325","Yes"
"Zuzu_inabox","q553","Yes"
"Zuzu_inabox","q212814","Somewhat important"
"Zuzu_inabox","q87","No"
"Zuzu_inabox","q49","Carefree"
"Zuzu_inabox","q158","Yes"
"Zuzu_inabox","q48","Weird"
"Zuzu_inabox","q179268","No"
"Zuzu_inabox","q149","Dedication"
"Zuzu_inabox","q48753","Sometimes - It depends."
"Zuzu_inabox","q358014","No"
"Zuzu_inabox","q20021","Someone to go out with"
"Zuzu_inabox","q41953","A few months to a year"
"Zuzu_inabox","q23543","No, it's not necessary"
"Zuzu_inabox","q16053","Totally willing!"
"Zuzu_inabox","q24345","A lot!"
"Zuzu_inabox","q1440","No"
"Zuzu_inabox","q19874","12+ months"
"Zuzu_inabox","q20135","I like to just let it happen"
"Zuzu_inabox","q123","No"
"Zuzu_inabox","q1815","Yes"
"Zuzu_inabox","q14663","No"
"Zuzu_inabox","q358080","Discovering your shared interests"
"Zuzu_inabox","q403","Yes"
"Zuzu_inabox","q325","Yes"
"Zuzu_inabox","q12964","Yes"
"Zuzu_inabox","q255","98547"
"Zuzu_inabox","q445141","Invisibility"
"Zuzu_inabox","q46","Good"
"Zuzu_inabox","q8672","Where"
"Zuzu_inabox","q416236","Yay!"
"Zuzu_inabox","q14835","On my right hand"
"Zuzu_inabox","q20930","Average"
"Zuzu_inabox","q35660","Usually"
"Zuzu_inabox","q28903","An important interview"
"Zuzu_inabox","q358084","Yes"
"Zuzu_inabox","q4018","Yes"
"Zuzu_inabox","q1201","46"
"Zuzu_inabox","q20725","All the time"
