"d_username","field","value"
"acreely","d_age","26"
"acreely","d_city","Modesto"
"acreely","d_city","United States"
"acreely","d_orientation","Bisexual"
"acreely","d_orientation","Pansexual"
"acreely","d_gender","Woman"
"acreely","d_relationship","Single"
"acreely","d_bodytype","Thin"
"acreely","d_ethnicity","White"
"acreely","d_languages","English"
"acreely","d_education_phase","Working on"
"acreely","d_education_type","Two-year college"
"acreely","d_smokes","Never"
"acreely","d_drinks","Socially"
"acreely","d_drugs","No"
"acreely","d_offspring_current","No kids"
"acreely","lf_location","near me"
"acreely","lf_min_age","18"
"acreely","lf_max_age","34"
"acreely","lf_for","short & long term datin"
"acreely","p_rational","78"
"acreely","p_math","58"
"acreely","p_thrift","58"
"acreely","p_trusting","52"
"acreely","p_sexdrive","40"
"acreely","p_inde","30"
"acreely","p_scien","28"
"acreely","p_nerdy","26"
"acreely","p_friendly","10"
"acreely","p_oldfash","-12"
"acreely","p_sprit","-20"
"acreely","p_polit","-28"
"acreely","p_dominant","-60"
"acreely","q171","Your country"
"acreely","q31821","No"
"acreely","q214","Yes"
"acreely","q213","Yes"
"acreely","q174","Bad"
"acreely","q48947","Yes."
"acreely","q18843","Yes"
"acreely","q136","No"
"acreely","q20818","Maybe, but it would take a lot."
"acreely","q65","No"
"acreely","q17","Yes"
"acreely","q1446","It depends on the kind of suffering"
"acreely","q15752","Not so important"
"acreely","q85835","Starving children."
"acreely","q27921","Neither / unsure"
"acreely","q29829","Always"
"acreely","q34113","It's okay, if it is not abused"
"acreely","q45598","Never."
"acreely","q594","No, some subjects should not be joked about."
"acreely","q612","No, creationism has no place in schools"
"acreely","q39","Yes"
"acreely","q9379","Yes, but only with my friend's permission"
"acreely","q18979","No, I'd dump them on the spot."
"acreely","q40288","Somewhat."
"acreely","q31877","Admirable and desirable. Chivalry's not dead."
"acreely","q66548","It's ok as long as it isn't every other word."
"acreely","q175","No"
"acreely","q9447","Fewer stupid people"
"acreely","q455","No"
"acreely","q18125","No"
"acreely","q18797","No, I'd trust them and that would be invasive."
"acreely","q39373","Rarely."
"acreely","q393","No"
"acreely","q838","Yes"
"acreely","q887","Usually, yes."
"acreely","q15037","No"
"acreely","q39185","book burning"
"acreely","q13054","I support the laws"
"acreely","q17017","Never"
"acreely","q14","No"
"acreely","q70","No"
"acreely","q218","Yes, only if it were regulated"
"acreely","q40570","Truthful"
"acreely","q47764","Yes."
"acreely","q359387","Relative"
"acreely","q154","No, it wouldn't."
"acreely","q226","the right to bear arms"
"acreely","q341","Yes"
"acreely","q26684","No"
"acreely","q37708","Acceptable."
"acreely","q46563","No."
"acreely","q395","Yes"
"acreely","q24125","No"
"acreely","q46927","No."
"acreely","q13","No"
"acreely","q71","No"
"acreely","q486","Welfare is mostly good"
"acreely","q19681","No"
"acreely","q1134","Absolutely not."
"acreely","q20212","I'm still a virgin."
"acreely","q29","avoid bondage all together"
"acreely","q26525","No"
"acreely","q323","Not really confident"
"acreely","q12832","Yes"
"acreely","q30","No"
"acreely","q35","Sex"
"acreely","q7077","Sex"
"acreely","q45006","Yes."
"acreely","q58812","No"
"acreely","q21","Yes"
"acreely","q32","It seriously interests me."
"acreely","q15478","No"
"acreely","q54127","Yes, but only rarely."
"acreely","q34","Lonely"
"acreely","q72086","Yes."
"acreely","q86417","More than a day, less than a week."
"acreely","q12605","About every other day"
"acreely","q16317","No"
"acreely","q60756","Yes, I'd say anything they want me to."
"acreely","q1132","No"
"acreely","q1597","Yes"
"acreely","q24375","1-2 dates"
"acreely","q29384","Allow? I enjoy it."
"acreely","q28","No"
"acreely","q63114","My sex drive is about average."
"acreely","q1040","I like it / I think I might like it"
"acreely","q35203","Yes"
"acreely","q463","They take control"
"acreely","q20976","That seems like an average number."
"acreely","q35355","Very open. I'll try anything once."
"acreely","q26405","Yes, with skill and sometimes patience"
"acreely","q18682","Yes"
"acreely","q30903","Yes"
"acreely","q31374","No, but it sounds interesting."
"acreely","q11","Horrified"
"acreely","q12964","Yes"
"acreely","q30169","Love it!"
"acreely","q56606","Somewhat interested."
"acreely","q80928","Yes, and it changed."
"acreely","q324","I disagree."
"acreely","q665","Bring out the toys!"
"acreely","q18530","Yes"
"acreely","q18966","Both!"
"acreely","q20889","It refers to a very specific kind of sex."
"acreely","q23993","Moderately experienced"
"acreely","q48347","No"
"acreely","q321556","A few times a week"
"acreely","q36970","If it excites them, I'd even do it in public."
"acreely","q67658","Negatively."
"acreely","q27","Telling someone you really care"
"acreely","q14913","No"
"acreely","q63165","I'd laugh."
"acreely","q86366","Yes."
"acreely","q963","Yes"
"acreely","q1028","I enjoy both equally"
"acreely","q1401","Yes, and I enjoyed myself."
"acreely","q60852","Yes"
"acreely","q9628","Yes"
"acreely","q21527","No"
"acreely","q35276","Just enough to get things right."
"acreely","q17","Yes"
"acreely","q393","No"
"acreely","q13","No"
"acreely","q14","No"
"acreely","q395","Yes"
"acreely","q24125","No"
"acreely","q19681","No"
"acreely","q44","True"
"acreely","q763","No"
"acreely","q6347","No"
"acreely","q210","No"
"acreely","q41","Not at all important"
"acreely","q61786","No"
"acreely","q48372","No"
"acreely","q15889","Science"
"acreely","q156913","No"
"acreely","q60100","No"
"acreely","q60100","No"
"acreely","q156914","No"
"acreely","q156915","No"
"acreely","q156918","No"
"acreely","q612","No, creationism has no place in schools"
"acreely","q47764","Yes."
"acreely","q19058","I changed/am changing my sex"
"acreely","q23132","No, I think they're lame"
"acreely","q48","Normal"
"acreely","q1454","No"
"acreely","q44354","I don't like to camp."
"acreely","q12584","No"
"acreely","q426","No"
"acreely","q26573","No"
"acreely","q40441","Yes."
"acreely","q442","Good"
"acreely","q531","Booze"
"acreely","q17778","Yes"
"acreely","q997","Cats"
"acreely","q212814","A little important"
"acreely","q15030","Movies"
"acreely","q83646","Yes."
"acreely","q42209","Zero.  I get up immediately when the alarm sounds."
"acreely","q441","Yes"
"acreely","q12796","No"
"acreely","q13006","Yes, but only an occasional/social smoker"
"acreely","q19815","Somewhat, but it's their life."
"acreely","q71315","No.  I can't sleep with music on."
"acreely","q79","Never."
"acreely","q501","No"
"acreely","q9688","Yes, but only soft stuff like marijuana"
"acreely","q20418","Yes"
"acreely","q49","Intense"
"acreely","q76","Yes"
"acreely","q307","No"
"acreely","q19011","Yes"
"acreely","q21488","Always."
"acreely","q81","Sometimes"
"acreely","q1119","No"
"acreely","q21411","I love to argue!"
"acreely","q358077","Yes"
"acreely","q37693","Yes, I'd be playing with them."
"acreely","q38223","No, I do not like to go clubbing."
"acreely","q86544","Reason, Observation, Empiricism, Trial-And-Error."
"acreely","q56","No"
"acreely","q1112","Yes"
"acreely","q30830","Yes, but nothing too crazy."
"acreely","q32973","Yes, if it's not too strange."
"acreely","q15414","No, I have not used them and I would not try them."
"acreely","q23834","Yes"
"acreely","q25114","Sci-Fi Convention"
"acreely","q26582","No"
"acreely","q31055","Yes"
"acreely","q48325","Somewhat important."
"acreely","q52645","No, but I'd like to."
"acreely","q62455","No."
"acreely","q87","No"
"acreely","q220","No"
"acreely","q325","Yes"
"acreely","q33602","Sometimes"
"acreely","q53611","Never."
"acreely","q62254","Yes."
"acreely","q553","Yes"
"acreely","q1062","At least once a day."
"acreely","q43261","I consider their opinion but go my own way."
"acreely","q67641","Somewhat important."
"acreely","q221105","I'm a somewhat active user."
"acreely","q55","No"
"acreely","q403","No"
"acreely","q7060","Sometimes"
"acreely","q12970","Twice or more a day"
"acreely","q18834","Knowledge"
"acreely","q22021","No, it's not very important."
"acreely","q27164","No"
"acreely","q48328","No."
"acreely","q80","I never do drugs."
"acreely","q338","I'm more mature"
"acreely","q354","No"
"acreely","q78","Yes"
"acreely","q318","Not important at all"
"acreely","q8155","Seldom or never."
"acreely","q15744","Yes"
"acreely","q24282","Very inclined"
"acreely","q26720","Less than $100"
"acreely","q27672","Critically important."
"acreely","q30384","Daily."
"acreely","q44639","Yes"
"acreely","q77","Sometimes"
"acreely","q158","Yes"
"acreely","q5417","Yes"
"acreely","q18759","Usually"
"acreely","q21793","Several times per month."
"acreely","q35778","Yes."
"acreely","q46403","Yes."
"acreely","q77456","No."
"acreely","q1375","Yes"
"acreely","q1588","Yes, I would love (or do own) a cat."
"acreely","q1766","Yes"
"acreely","q38051","Never."
"acreely","q41099","Clean-ish but could use a quick touch-up."
