"d_username","field","value"
"amber_renee123","d_age","21"
"amber_renee123","d_city","Tustin"
"amber_renee123","d_city","United States"
"amber_renee123","d_orientation","Bisexual"
"amber_renee123","d_gender","Woman"
"amber_renee123","d_relationship","Single"
"amber_renee123","d_bodytype","Thin"
"amber_renee123","d_ethnicity","White"
"amber_renee123","d_languages","English"
"amber_renee123","d_education_phase","Working on"
"amber_renee123","d_education_type","Two-year college"
"amber_renee123","d_religion_seriosity","laughing about it"
"amber_renee123","d_smokes","Never"
"amber_renee123","d_drinks","Socially"
"amber_renee123","d_drugs","Sometimes"
"amber_renee123","d_offspring_current","No kids"
"amber_renee123","d_offspring_desires","might want kids"
"amber_renee123","lf_single","single"
"amber_renee123","lf_location","near me"
"amber_renee123","lf_min_age","18"
"amber_renee123","lf_max_age","26"
"amber_renee123","lf_for","long-term dating"
"amber_renee123","q17","No"
"amber_renee123","q17","No"
"amber_renee123","q6347","Yes"
"amber_renee123","q763","Yes"
"amber_renee123","q512","No"
"amber_renee123","q426","No"
"amber_renee123","q87","Yes"
"amber_renee123","q62455","Yes."
"amber_renee123","q12796","No"
"amber_renee123","q6537","Yes"
"amber_renee123","q403","Yes"
"amber_renee123","q1112","No"
"amber_renee123","q15746","No"
"amber_renee123","q56","Yes"
"amber_renee123","q553","Yes"
"amber_renee123","q441","No"
"amber_renee123","q48328","No."
"amber_renee123","q401","Yes"
"amber_renee123","q220","No"
"amber_renee123","q436","Yes"
"amber_renee123","q434","Yes"
"amber_renee123","q1766","Yes"
"amber_renee123","q179268","No"
"amber_renee123","q94","Yes"
"amber_renee123","q6867","Yes"
"amber_renee123","q19737","Yes"
"amber_renee123","q15744","Yes"
"amber_renee123","q763","Yes"
"amber_renee123","q15280","No"
"amber_renee123","q80041","No"
"amber_renee123","q54016","No."
"amber_renee123","q60500","No."
"amber_renee123","q48557","No."
"amber_renee123","q106","No"
"amber_renee123","q403","Yes"
"amber_renee123","q17","No"
"amber_renee123","q27794","No"
"amber_renee123","q391","Yes"
"amber_renee123","q6155","No"
"amber_renee123","q15749","No"
"amber_renee123","q57","No"
"amber_renee123","q60892","Yes."
"amber_renee123","q50755","Yes."
"amber_renee123","q1099","Yes"
"amber_renee123","q46176","Yes."
