"d_username","field","value"
"bbwgoddess4fun","d_age","27"
"bbwgoddess4fun","d_city","Albany"
"bbwgoddess4fun","d_city","United States"
"bbwgoddess4fun","d_orientation","Bisexual"
"bbwgoddess4fun","d_gender","Woman"
"bbwgoddess4fun","d_relationship","Single"
"bbwgoddess4fun","d_languages","English"
"bbwgoddess4fun","d_drugs","No"
"bbwgoddess4fun","lf_location","near me"
"bbwgoddess4fun","lf_min_age","18"
"bbwgoddess4fun","lf_max_age","99"
"bbwgoddess4fun","lf_for","casual sex and new friends"
"bbwgoddess4fun","p_sexdrive","96"
"bbwgoddess4fun","p_oldfash","-48"
"bbwgoddess4fun","p_conservative","-48"
"bbwgoddess4fun","p_wholesome","-74"
"bbwgoddess4fun","q154","Yes, it would."
"bbwgoddess4fun","q27921","Neither / unsure"
"bbwgoddess4fun","q70","No"
"bbwgoddess4fun","q838","Yes"
"bbwgoddess4fun","q35","Sex"
"bbwgoddess4fun","q18530","Not possible"
"bbwgoddess4fun","q1597","Yes"
"bbwgoddess4fun","q24375","1-2 dates"
"bbwgoddess4fun","q12605","Every day"
"bbwgoddess4fun","q12964","Yes"
"bbwgoddess4fun","q50564","Yes."
"bbwgoddess4fun","q48918","Excited."
"bbwgoddess4fun","q41","Not at all important"
"bbwgoddess4fun","q60100","No"
"bbwgoddess4fun","q9688","Yes"
"bbwgoddess4fun","q80","I do drugs occasionally."
"bbwgoddess4fun","q501","No"
"bbwgoddess4fun","q553","No"
"bbwgoddess4fun","q358077","Yes"
"bbwgoddess4fun","q325","Yes"
"bbwgoddess4fun","q76","No"
"bbwgoddess4fun","q87","No"
"bbwgoddess4fun","q403","No"
"bbwgoddess4fun","q49","Carefree"
"bbwgoddess4fun","q997","Both"
"bbwgoddess4fun","q48","Weird"
"bbwgoddess4fun","q77","Sometimes"
"bbwgoddess4fun","q44639","Yes"
"bbwgoddess4fun","q41953","One night"
"bbwgoddess4fun","q358080","Discovering their body"
"bbwgoddess4fun","q16053","Totally willing!"
"bbwgoddess4fun","q149","Passion"
"bbwgoddess4fun","q1440","No"
"bbwgoddess4fun","q123","No"
"bbwgoddess4fun","q325","Yes"
"bbwgoddess4fun","q12964","Yes"
"bbwgoddess4fun","q403","No"
"bbwgoddess4fun","q358084","No"
"bbwgoddess4fun","q46","Interesting"
"bbwgoddess4fun","q8672","Why"
"bbwgoddess4fun","q20930","Higher than average"
"bbwgoddess4fun","q35660","Usually"
"bbwgoddess4fun","q14835","On my right hand"
"bbwgoddess4fun","q4018","Yes"
