"d_username","field","value"
"breebree1026","d_age","21"
"breebree1026","d_city","Franklin"
"breebree1026","d_city","United States"
"breebree1026","d_orientation","Bisexual"
"breebree1026","d_gender","Woman"
"breebree1026","d_relationship","Single"
"breebree1026","d_bodytype","Average build"
"breebree1026","d_languages","English"
"breebree1026","d_smokes","Regularly"
"breebree1026","d_drinks","Socially"
"breebree1026","lf_single","single"
"breebree1026","lf_location","near me"
"breebree1026","lf_min_age","20"
"breebree1026","lf_max_age","35"
"breebree1026","lf_for","short & long term dating"
"breebree1026","p_trusting","-52"
"breebree1026","q838","No"
"breebree1026","q175","Yes"
"breebree1026","q27921","Neither / unsure"
"breebree1026","q29829","Whenever possible"
"breebree1026","q154","No, it wouldn't."
"breebree1026","q70","No"
"breebree1026","q46927","No."
"breebree1026","q24125","No"
"breebree1026","q12605","Every day"
"breebree1026","q1597","Yes"
"breebree1026","q24375","1-2 dates"
"breebree1026","q35","Love"
"breebree1026","q12964","Yes"
"breebree1026","q18530","Yes"
"breebree1026","q24125","No"
"breebree1026","q41","Not at all important"
"breebree1026","q60100","No"
"breebree1026","q501","Yes"
"breebree1026","q325","No"
"breebree1026","q79","I smoked in the past, but no longer."
"breebree1026","q1112","No"
"breebree1026","q9688","Yes, but only soft stuff like marijuana"
"breebree1026","q212814","Not at all important"
"breebree1026","q77","Rarely"
"breebree1026","q997","Both"
"breebree1026","q23834","Yes"
"breebree1026","q358077","Yes"
"breebree1026","q87","No"
"breebree1026","q18834","Love"
"breebree1026","q76","No"
"breebree1026","q403","No"
"breebree1026","q49","Carefree"
"breebree1026","q553","Yes"
"breebree1026","q212813","Other"
"breebree1026","q44639","Yes"
"breebree1026","q80","I never do drugs."
"breebree1026","q12970","Twice or more a day"
"breebree1026","q179268","No"
"breebree1026","q1766","Yes"
"breebree1026","q48","Weird"
"breebree1026","q80041","Yes"
"breebree1026","q1440","Yes"
"breebree1026","q149","Passion"
"breebree1026","q41953","A few months to a year"
"breebree1026","q16053","Hesitant, but I'd certainly consider it."
"breebree1026","q1815","Yes"
"breebree1026","q20021","Someone to come home to"
"breebree1026","q358014","Yes"
"breebree1026","q23543","Yes, unless otherwise specified"
"breebree1026","q24345","A lot!"
"breebree1026","q123","No"
"breebree1026","q358080","Discovering your shared interests"
"breebree1026","q325","No"
"breebree1026","q12964","Yes"
"breebree1026","q403","No"
"breebree1026","q416236","Okay"
"breebree1026","q46","Good"
"breebree1026","q8672","Why"
"breebree1026","q28903","An important interview"
"breebree1026","q20725","All the time"
"breebree1026","q35660","Usually"
"breebree1026","q20930","Average"
"breebree1026","q4018","Yes"
"breebree1026","q255","89547"
"breebree1026","q358084","Yes"
