"d_username","field","value"
"caffeeplease","d_age","22"
"caffeeplease","d_city","Istanbul"
"caffeeplease","d_city","Turkey"
"caffeeplease","d_orientation","Bisexual"
"caffeeplease","d_gender","Woman"
"caffeeplease","d_relationship","Single"
"caffeeplease","d_ethnicity","White"
"caffeeplease","d_languages","English"
"caffeeplease","d_education_phase","Attended"
"caffeeplease","d_education_type","University"
"caffeeplease","d_smokes","Regularly"
"caffeeplease","d_drinks","Socially"
"caffeeplease","d_drugs","Sometimes"
"caffeeplease","lf_min_age","18"
"caffeeplease","lf_max_age","27"
"caffeeplease","lf_for","short & long term dating and new friends"
"caffeeplease","p_inde","62"
"caffeeplease","p_athletic","54"
"caffeeplease","p_drug","20"
"caffeeplease","p_spon","16"
"caffeeplease","p_playful","-12"
"caffeeplease","p_oldfash","-24"
"caffeeplease","p_greed","-26"
"caffeeplease","p_wholesome","-32"
"caffeeplease","p_roman","-32"
"caffeeplease","p_conservative","-34"
"caffeeplease","p_giving","-38"
"caffeeplease","p_polit","-50"
"caffeeplease","p_opti","-68"
"caffeeplease","p_trusting","-98"
"caffeeplease","q41","Not very important"
"caffeeplease","q43509","No."
"caffeeplease","q6640","Yes"
"caffeeplease","q20408","Yes, and I practice one/some of these."
"caffeeplease","q156913","No"
"caffeeplease","q13032","Yes"
"caffeeplease","q35281","Myself"
"caffeeplease","q18714","Emotion/Instinct"
"caffeeplease","q15889","Science"
"caffeeplease","q81873","No."
"caffeeplease","q36342","We would educate our child to make its own choice."
"caffeeplease","q60100","No"
"caffeeplease","q18708","A method one can follow to make predictions."
"caffeeplease","q612","Yes, students should hear both sides"
"caffeeplease","q47764","Yes."
"caffeeplease","q15876","Yes"
"caffeeplease","q20135","I try to avoid it"
"caffeeplease","q33","No"
"caffeeplease","q18633","No"
"caffeeplease","q48557","Yes."
"caffeeplease","q43510","No."
"caffeeplease","q165644","No physical attraction"
"caffeeplease","q27177","No, I'm not a planner. Help!"
"caffeeplease","q35347","Night."
"caffeeplease","q85706","End the old relationship and pursue the new one."
"caffeeplease","q123","Yes"
"caffeeplease","q46091","I'd do nothing and hope it all works itself out."
"caffeeplease","q427","Yes"
"caffeeplease","q1815","No"
"caffeeplease","q36465","I'll do both somehow, but keep them separated."
"caffeeplease","q1406","Yes"
"caffeeplease","q16770","I'd accept it, but not trust them fully."
"caffeeplease","q784","No"
"caffeeplease","q25228","Yes"
"caffeeplease","q30207","Yes, a bit."
"caffeeplease","q50737","More masculine."
"caffeeplease","q82681","Someone attractive and smart."
"caffeeplease","q153","A really divey bar"
"caffeeplease","q20519","Hardly. Politics are boring or personal."
"caffeeplease","q7042","Yes"
"caffeeplease","q16053","Hesitant, but I'd certainly consider it."
"caffeeplease","q19236","Yes"
"caffeeplease","q20781","I like to try a few times just to make sure."
"caffeeplease","q24345","A bit."
"caffeeplease","q54016","Yes."
"caffeeplease","q31488","A little, but I would be honest with them."
"caffeeplease","q35869","No"
"caffeeplease","q16371","Are hesitant, but would consider it."
"caffeeplease","q44540","Yes - I would mind this."
"caffeeplease","q37115","Discreetly probe for more information."
"caffeeplease","q81589","Possibly, depending on the situation."
"caffeeplease","q86364","I'd do nothing and avoid risking our friendship."
"caffeeplease","q360","False"
"caffeeplease","q19874","6-12 months"
"caffeeplease","q36045","No way."
"caffeeplease","q41850","Very important."
"caffeeplease","q41953","A few months to a year"
"caffeeplease","q122","A lot"
"caffeeplease","q23390","Yes"
"caffeeplease","q55953","I wouldn't like it."
"caffeeplease","q15550","10 years"
"caffeeplease","q22534","No"
"caffeeplease","q29136","Months"
"caffeeplease","q66827","I think its corny, but I'll do it anyway!"
"caffeeplease","q82301","Activities."
"caffeeplease","q9445","False"
"caffeeplease","q18622","I'm not sure, depends on the music"
"caffeeplease","q18875","Important-ish"
"caffeeplease","q82778","No preference."
"caffeeplease","q64","Total openness"
"caffeeplease","q18095","Not sure"
"caffeeplease","q18837","Look away first, or immediately?"
"caffeeplease","q18984","Yes, a little."
"caffeeplease","q35475","Low."
"caffeeplease","q56151","I'd laugh about it/wouldn't really care."
"caffeeplease","q67418","I'm indifferent to this."
