"d_username","field","value"
"caitlinesh","d_age","21"
"caitlinesh","d_city","Vienna"
"caitlinesh","d_city","Austria"
"caitlinesh","d_orientation","Pansexual"
"caitlinesh","d_gender","Woman"
"caitlinesh","d_relationship","Single"
"caitlinesh","d_ethnicity","White"
"caitlinesh","d_languages","English"
"caitlinesh","d_education_phase","Attended"
"caitlinesh","d_education_type","High school"
"caitlinesh","d_drinks","Socially"
"caitlinesh","d_offspring_current","No kids"
"caitlinesh","lf_min_age","20"
"caitlinesh","lf_max_age","35"
"caitlinesh","lf_for","short & long term dating and new friends"
"caitlinesh","p_spon","64"
"caitlinesh","p_exp","60"
"caitlinesh","p_sexperienced","54"
"caitlinesh","p_playful","52"
"caitlinesh","p_adven","50"
"caitlinesh","p_good-natured","42"
"caitlinesh","p_comp","30"
"caitlinesh","p_suave","22"
"caitlinesh","p_energetic","22"
"caitlinesh","p_polit","22"
"caitlinesh","p_conservative","-66"
"caitlinesh","p_roman","-68"
"caitlinesh","p_wholesome","-72"
"caitlinesh","q594","No, some subjects should not be joked about."
"caitlinesh","q34113","No problem"
"caitlinesh","q47589","I ask them if I can join in."
"caitlinesh","q65","Yes"
"caitlinesh","q27921","Less safe"
"caitlinesh","q29829","Always"
"caitlinesh","q9379","No"
"caitlinesh","q36790","Yes.  Always."
"caitlinesh","q44384","It's all fine by me."
"caitlinesh","q17","No"
"caitlinesh","q393","No"
"caitlinesh","q136","Yes"
"caitlinesh","q213","No"
"caitlinesh","q612","No, creationism has no place in schools"
"caitlinesh","q838","Yes"
"caitlinesh","q13","No"
"caitlinesh","q1446","Yes, solidarity is important"
"caitlinesh","q46927","No."
"caitlinesh","q66548","It doesn't bother me at all."
"caitlinesh","q18843","No"
"caitlinesh","q18979","No, I'd confront them."
"caitlinesh","q31877","Unnecessary but appreciated."
"caitlinesh","q37708","Acceptable."
"caitlinesh","q359387","Relative"
"caitlinesh","q70","No"
"caitlinesh","q154","No, it wouldn't."
"caitlinesh","q24125","No"
"caitlinesh","q46563","No."
"caitlinesh","q14","No"
"caitlinesh","q341","Yes"
"caitlinesh","q395","Yes"
"caitlinesh","q26684","No"
"caitlinesh","q171","Your world"
"caitlinesh","q18797","No, I'd trust them and that would be invasive."
"caitlinesh","q168","False"
"caitlinesh","q57718","Doing my own thing."
"caitlinesh","q11","Indifferent"
"caitlinesh","q20976","No, that's nothing."
"caitlinesh","q12","Yes"
"caitlinesh","q392","No"
"caitlinesh","q35","Love"
"caitlinesh","q309","Yes"
"caitlinesh","q1597","Yes"
"caitlinesh","q57101","Travel."
"caitlinesh","q63114","My sex drive is about average."
"caitlinesh","q12605","About every other day"
"caitlinesh","q83480","It doesn't matter."
"caitlinesh","q24375","3-5 dates"
"caitlinesh","q24684","Sometimes"
"caitlinesh","q30903","Yes"
"caitlinesh","q42524","Yes."
"caitlinesh","q1028","I enjoy both equally"
"caitlinesh","q12964","Yes"
"caitlinesh","q23993","Moderately experienced"
"caitlinesh","q35203","Yes"
"caitlinesh","q56606","Somewhat interested."
"caitlinesh","q37","Under 18"
"caitlinesh","q327","I become more attached."
"caitlinesh","q348","Receiving massages"
"caitlinesh","q20889","It refers to a very specific kind of sex."
"caitlinesh","q69186","Yes."
"caitlinesh","q18530","Yes"
"caitlinesh","q60852","Yes"
"caitlinesh","q463","They take control"
"caitlinesh","q9628","Yes"
"caitlinesh","q26525","Yes"
"caitlinesh","q60756","Maybe, it would depend upon the phrase."
"caitlinesh","q1274","Long, slow"
"caitlinesh","q14913","No"
"caitlinesh","q15756","Yes"
"caitlinesh","q72318","Yes."
"caitlinesh","q86366","Yes."
"caitlinesh","q963","Yes"
"caitlinesh","q18841","Yes, but only if I liked that person."
"caitlinesh","q1173","No"
"caitlinesh","q54354","Touch."
"caitlinesh","q17","No"
"caitlinesh","q13","No"
"caitlinesh","q393","No"
"caitlinesh","q14","No"
"caitlinesh","q24125","No"
"caitlinesh","q395","Yes"
"caitlinesh","q210","Yes"
"caitlinesh","q41","Not very important"
"caitlinesh","q44","False"
"caitlinesh","q15889","Science"
"caitlinesh","q52789","Humans evolved from other species."
"caitlinesh","q60100","No"
"caitlinesh","q156914","No"
"caitlinesh","q612","No, creationism has no place in schools"
"caitlinesh","q9688","Yes"
"caitlinesh","q8155","Weekly / Bi-Weekly"
"caitlinesh","q80","I do drugs occasionally."
"caitlinesh","q35778","Maybe."
"caitlinesh","q44354","I've never camped, but would like to."
"caitlinesh","q531","Booze"
"caitlinesh","q401","No"
"caitlinesh","q221106","Sometimes"
"caitlinesh","q31055","No"
"caitlinesh","q403","Yes"
"caitlinesh","q34517","No"
"caitlinesh","q83646","Yes."
"caitlinesh","q37693","No."
"caitlinesh","q325","No"
"caitlinesh","q2717","No"
"caitlinesh","q23834","No"
"caitlinesh","q49","Intense"
"caitlinesh","q15414","Yes, I have used psychedelic drugs."
"caitlinesh","q26573","Yes"
