"d_username","field","value"
"chemfemme","d_age","24"
"chemfemme","d_city","Silver Spring"
"chemfemme","d_city","United States"
"chemfemme","d_orientation","Bisexual"
"chemfemme","d_gender","Woman"
"chemfemme","d_relationship","Single"
"chemfemme","d_bodytype","Fit"
"chemfemme","d_languages","English"
"chemfemme","d_education_phase","Attended"
"chemfemme","d_education_type","University"
"chemfemme","d_religion_seriosity","laughing about it"
"chemfemme","d_smokes","Sometimes"
"chemfemme","d_drinks","Socially"
"chemfemme","d_drugs","No"
"chemfemme","d_offspring_current","No kids"
"chemfemme","lf_location","near me"
"chemfemme","lf_min_age","21"
"chemfemme","lf_max_age","36"
"chemfemme","lf_for","short & long term datin"
"chemfemme","p_giving","64"
"chemfemme","p_math","56"
"chemfemme","p_comp","54"
"chemfemme","p_nerdy","50"
"chemfemme","p_sloppy","16"
"chemfemme","p_adven","10"
"chemfemme","p_artsy","10"
"chemfemme","p_lit","10"
"chemfemme","p_wholesome","-20"
"chemfemme","p_conservative","-26"
"chemfemme","p_organized","-38"
"chemfemme","p_energetic","-82"
"chemfemme","q838","No"
"chemfemme","q53312","Illegal drugs."
"chemfemme","q136","No"
"chemfemme","q34113","No problem"
"chemfemme","q53965","Catch it and put it outside."
"chemfemme","q39185","book burning"
"chemfemme","q40288","Somewhat."
"chemfemme","q17","No"
"chemfemme","q175","No"
"chemfemme","q226","the right to bear arms"
"chemfemme","q65","Yes"
"chemfemme","q70","No"
"chemfemme","q169","Yes"
"chemfemme","q31877","Unnecessary but appreciated."
"chemfemme","q13","No"
"chemfemme","q612","No, creationism has no place in schools"
"chemfemme","q85835","Neither, they are equally bad."
"chemfemme","q14","No"
"chemfemme","q18979","No, I'd confront them."
"chemfemme","q20298","A sign of strength"
"chemfemme","q37708","Acceptable."
"chemfemme","q40570","Truthful"
"chemfemme","q46563","No."
"chemfemme","q1446","Yes, solidarity is important"
"chemfemme","q15757","No"
"chemfemme","q24125","No"
"chemfemme","q71","No"
"chemfemme","q359387","Relative"
"chemfemme","q36790","Yes, unless I am otherwise in a hurry."
"chemfemme","q46927","No."
"chemfemme","q214","No"
"chemfemme","q15751","Yes"
"chemfemme","q44854","Yes."
"chemfemme","q84366","No."
"chemfemme","q19681","No"
"chemfemme","q67658","Positively."
"chemfemme","q348","Giving massages"
"chemfemme","q35276","A lot! It's all about the talk."
"chemfemme","q58812","No"
"chemfemme","q65937","The fact that I was not invited to join in."
"chemfemme","q35355","I'm open, but I don't get too crazy."
"chemfemme","q45006","No."
"chemfemme","q82263","Yes."
"chemfemme","q21","No"
"chemfemme","q32","I have tried it."
"chemfemme","q34","Lonely"
"chemfemme","q35","Love"
"chemfemme","q12605","About every other day"
