"d_username","field","value"
"dirtbaggg","d_age","28"
"dirtbaggg","d_city","Las Vegas"
"dirtbaggg","d_city","United States"
"dirtbaggg","d_orientation","Bisexual"
"dirtbaggg","d_gender","Woman"
"dirtbaggg","d_relationship","Single"
"dirtbaggg","d_bodytype","Curvy"
"dirtbaggg","d_ethnicity","White"
"dirtbaggg","d_languages","English"
"dirtbaggg","d_smokes","Regularly"
"dirtbaggg","d_drinks","Socially"
"dirtbaggg","d_offspring_current","No kids"
"dirtbaggg","lf_location","near me"
"dirtbaggg","lf_min_age","20"
"dirtbaggg","lf_max_age","40"
"dirtbaggg","lf_for","new friends"
"dirtbaggg","p_artsy","72"
"dirtbaggg","p_indie","64"
"dirtbaggg","p_sprit","52"
"dirtbaggg","p_comp","48"
"dirtbaggg","p_dominant","12"
"dirtbaggg","p_roman","-14"
"dirtbaggg","p_outgoing","-32"
"dirtbaggg","p_ambi","-36"
"dirtbaggg","p_polit","-38"
"dirtbaggg","p_energetic","-60"
"dirtbaggg","p_sexdrive","-72"
"dirtbaggg","q63068","One to four hours."
"dirtbaggg","q15889","Equally in both"
"dirtbaggg","q210","Yes"
"dirtbaggg","q24740","Yes"
"dirtbaggg","q20408","Yes, and I practice one/some of these."
"dirtbaggg","q156913","No"
"dirtbaggg","q45","Yes"
"dirtbaggg","q48664","No."
"dirtbaggg","q39210","Maybe, but there is no way to really know."
"dirtbaggg","q193","No"
"dirtbaggg","q763","Yes"
"dirtbaggg","q60100","No"
"dirtbaggg","q20135","I try to avoid it"
"dirtbaggg","q33","No"
"dirtbaggg","q48557","Yes."
"dirtbaggg","q24333","Only at first"
"dirtbaggg","q75677","Moodiness."
"dirtbaggg","q35475","Moderate."
"dirtbaggg","q25228","Yes"
"dirtbaggg","q153","A really divey bar"
"dirtbaggg","q9522","No"
"dirtbaggg","q170849","Yes. Knowledge is power!"
"dirtbaggg","q149","Dedication"
"dirtbaggg","q41953","The rest of my life"
"dirtbaggg","q54016","Yes."
"dirtbaggg","q7079","No"
"dirtbaggg","q308","No"
"dirtbaggg","q491","Not enough space"
"dirtbaggg","q358014","No"
"dirtbaggg","q16053","Hesitant, but I'd certainly consider it."
"dirtbaggg","q18875","Very damn important"
"dirtbaggg","q20021","Someone to come home to"
"dirtbaggg","q360","False"
"dirtbaggg","q5764","Okay, sometimes"
"dirtbaggg","q19378","Actions: Do something nice (like a date or errand)"
"dirtbaggg","q82301","Personal history or experiences."
"dirtbaggg","q1440","No"
"dirtbaggg","q22122","A few weeks"
"dirtbaggg","q40194","Extremely important."
"dirtbaggg","q66827","I think its corny, but I'll do it anyway!"
"dirtbaggg","q577","Less than five"
"dirtbaggg","q12822","No"
"dirtbaggg","q18837","Raise an eyebrow (or two)?"
"dirtbaggg","q23543","Yes, unless otherwise specified"
"dirtbaggg","q31840","Touching my partner"
"dirtbaggg","q41393","I'm neutral / it depends on their other traits."
"dirtbaggg","q67418","I'm indifferent to this."
"dirtbaggg","q496","Go your separate ways"
"dirtbaggg","q19145","Don't particularly care"
"dirtbaggg","q23293","Crazy and colorful"
"dirtbaggg","q352","Extremely honest"
"dirtbaggg","q366","Dating one person at a time"
"dirtbaggg","q48753","Yes."
"dirtbaggg","q68580","No."
"dirtbaggg","q82681","Someone smart and kind."
"dirtbaggg","q13086","Yes"
"dirtbaggg","q52682","No."
"dirtbaggg","q232388","I'm friends with a few of them."
"dirtbaggg","q357","Coffee and chit-chat"
"dirtbaggg","q1185","Some"
"dirtbaggg","q6499","flattered / proud"
"dirtbaggg","q19365","Yes"
"dirtbaggg","q19458","Yes, it's perfectly ok"
"dirtbaggg","q27239","Scary"
"dirtbaggg","q30607","Friend, yes. Date, no."
"dirtbaggg","q56699","Sometimes."
"dirtbaggg","q61598","No."
"dirtbaggg","q66506","Very important."
"dirtbaggg","q70455","No."
"dirtbaggg","q84748","Yes."
"dirtbaggg","q146","Kissing in a tent, in the woods"
"dirtbaggg","q1158","No"
"dirtbaggg","q25294","Absolutely not."
"dirtbaggg","q60145","No."
"dirtbaggg","q83677","No."
"dirtbaggg","q106","No"
"dirtbaggg","q1815","Yes"
"dirtbaggg","q6971","No"
"dirtbaggg","q31488","No, not at all."
"dirtbaggg","q33870","Yes"
"dirtbaggg","q49053","One to five years."
"dirtbaggg","q60500","No."
"dirtbaggg","q84910","No."
"dirtbaggg","q358080","Discovering your shared interests"
"dirtbaggg","q326","Yes"
"dirtbaggg","q332","Yes"
"dirtbaggg","q12839","No"
"dirtbaggg","q24345","A lot!"
"dirtbaggg","q33593","No"
"dirtbaggg","q35347","It makes no difference."
"dirtbaggg","q49107","Musical preferences."
"dirtbaggg","q86773","No."
"dirtbaggg","q165644","Nothing to talk about"
"dirtbaggg","q23147","Telling stories"
"dirtbaggg","q25768","Yes"
"dirtbaggg","q55744","This would not be an important factor to me."
"dirtbaggg","q8054","Yes"
"dirtbaggg","q19192","Finding someone I love and want to be with"
"dirtbaggg","q27177","Share equally"
"dirtbaggg","q114","Yes"
"dirtbaggg","q508","Yes"
"dirtbaggg","q527","No"
