"d_username","field","value"
"goatpasta","d_age","30"
"goatpasta","d_city","Pittsburgh"
"goatpasta","d_city","United States"
"goatpasta","d_orientation","Bisexual"
"goatpasta","d_orientation","Pansexual"
"goatpasta","d_orientation","Queer"
"goatpasta","d_gender","Woman"
"goatpasta","d_relationship","Single"
"goatpasta","d_bodytype","Curvy"
"goatpasta","d_ethnicity","White"
"goatpasta","d_languages","English"
"goatpasta","d_education_phase","Attended"
"goatpasta","d_education_type","University"
"goatpasta","d_smokes","Sometimes"
"goatpasta","d_drinks","Socially"
"goatpasta","d_offspring_current","No kids"
"goatpasta","d_offspring_desires","Doesn't want kids"
"goatpasta","lf_min_age","24"
"goatpasta","lf_max_age","36"
"goatpasta","lf_for","short & long term dating and new friends"
"goatpasta","p_nerdy","84"
"goatpasta","p_inde","34"
"goatpasta","p_trusting","30"
"goatpasta","p_adven","18"
"goatpasta","p_sexperienced","14"
"goatpasta","p_sprit","-30"
"goatpasta","p_greed","-34"
"goatpasta","p_thrift","-36"
"goatpasta","p_conservative","-44"
"goatpasta","p_ambi","-50"
"goatpasta","p_opti","-60"
"goatpasta","p_outgoing","-80"
"goatpasta","p_energetic","-86"
"goatpasta","p_friendly","-88"
"goatpasta","q31877","Sexist and insulting; women are perfectly capable."
"goatpasta","q15752","Not at all important"
"goatpasta","q34113","No problem"
"goatpasta","q142","No"
"goatpasta","q39373","Sometimes."
"goatpasta","q594","No, some subjects should not be joked about."
"goatpasta","q838","Yes"
"goatpasta","q45598","Never."
"goatpasta","q612","No, creationism has no place in schools"
"goatpasta","q175","No"
"goatpasta","q29829","Whenever possible"
"goatpasta","q39185","book burning"
"goatpasta","q70","No"
"goatpasta","q9678","Yes"
"goatpasta","q31233","Yes"
"goatpasta","q66548","It doesn't bother me at all."
"goatpasta","q17","No"
"goatpasta","q9447","This question upsets me"
"goatpasta","q24125","No"
"goatpasta","q40288","Not at all."
"goatpasta","q44384","It's all fine by me."
"goatpasta","q214","No"
"goatpasta","q48770","No."
"goatpasta","q14","No"
"goatpasta","q1446","Yes, solidarity is important"
"goatpasta","q19215","Yes"
"goatpasta","q51998","Positive."
"goatpasta","q18555","Yes"
"goatpasta","q18843","No"
"goatpasta","q19681","No"
