"d_username","field","value"
"jaimemonchaton","d_age","27"
"jaimemonchaton","d_city","Manchester"
"jaimemonchaton","d_city","United Kingdom"
"jaimemonchaton","d_orientation","Bisexual"
"jaimemonchaton","d_gender","Woman"
"jaimemonchaton","d_relationship","Single"
"jaimemonchaton","d_ethnicity","Other ethnicity"
"jaimemonchaton","d_languages","English"
"jaimemonchaton","d_education_phase","Attended"
"jaimemonchaton","d_education_type","Post grad"
"jaimemonchaton","d_smokes","Regularly"
"jaimemonchaton","d_drinks","Often"
"jaimemonchaton","d_offspring_current","No kids"
"jaimemonchaton","lf_single","single"
"jaimemonchaton","lf_location","near me"
"jaimemonchaton","lf_min_age","20"
"jaimemonchaton","lf_max_age","38"
"jaimemonchaton","lf_for","short & long term dating and new friends"
"jaimemonchaton","p_exp","84"
"jaimemonchaton","p_sexdrive","82"
"jaimemonchaton","p_kinky","78"
"jaimemonchaton","p_outgoing","76"
"jaimemonchaton","p_sexperienced","76"
"jaimemonchaton","p_aggressive","62"
"jaimemonchaton","p_polit","54"
"jaimemonchaton","p_scien","42"
"jaimemonchaton","p_adven","34"
"jaimemonchaton","p_sprit","-26"
"jaimemonchaton","p_artsy","-42"
"jaimemonchaton","p_ambi","-46"
"jaimemonchaton","p_conservative","-48"
"jaimemonchaton","p_opti","-78"
"jaimemonchaton","p_wholesome","-78"
"jaimemonchaton","q76533","Yes."
"jaimemonchaton","q359387","Universal"
"jaimemonchaton","q48947","Yes."
"jaimemonchaton","q85835","Starving children."
"jaimemonchaton","q594","Yes, anything can be funny in the right light."
"jaimemonchaton","q17","Yes"
"jaimemonchaton","q175","Yes"
"jaimemonchaton","q65","Yes"
"jaimemonchaton","q39185","book burning"
"jaimemonchaton","q29829","Always"
"jaimemonchaton","q15752","Extremely important"
"jaimemonchaton","q18979","No, I'd confront them."
"jaimemonchaton","q226","the right to bear arms"
"jaimemonchaton","q393","No"
"jaimemonchaton","q31821","Yes"
"jaimemonchaton","q136","Yes"
"jaimemonchaton","q612","No, creationism has no place in schools"
"jaimemonchaton","q838","Yes"
"jaimemonchaton","q9379","Yes, but only with my friend's permission"
"jaimemonchaton","q18843","No"
"jaimemonchaton","q85315","Yes."
"jaimemonchaton","q213","No"
"jaimemonchaton","q18797","No, I'd trust them and that would be invasive."
"jaimemonchaton","q37708","Acceptable."
"jaimemonchaton","q154","No, it wouldn't."
"jaimemonchaton","q40279","Call the police immediately."
"jaimemonchaton","q46563","No."
"jaimemonchaton","q486","Welfare is mostly good"
"jaimemonchaton","q15037","No"
"jaimemonchaton","q44854","Yes."
"jaimemonchaton","q46927","No."
"jaimemonchaton","q66548","It doesn't bother me at all."
"jaimemonchaton","q70","No"
"jaimemonchaton","q71","No"
"jaimemonchaton","q455","No"
"jaimemonchaton","q13054","I support the laws"
"jaimemonchaton","q17017","Never"
"jaimemonchaton","q19928","NO WAY!"
"jaimemonchaton","q27921","Less safe"
"jaimemonchaton","q31877","Unnecessary but appreciated."
"jaimemonchaton","q174","Good"
"jaimemonchaton","q7847","No"
"jaimemonchaton","q19681","No"
"jaimemonchaton","q214","No"
"jaimemonchaton","q341","Yes"
"jaimemonchaton","q24125","No"
"jaimemonchaton","q13","No"
"jaimemonchaton","q84366","No."
"jaimemonchaton","q8218","No"
"jaimemonchaton","q9628","Let's break skin"
"jaimemonchaton","q30","Yes, lots and lots"
"jaimemonchaton","q963","No"
"jaimemonchaton","q17808","Depends on how 'well' we are talking!"
"jaimemonchaton","q1132","Yes"
"jaimemonchaton","q1028","Rough"
"jaimemonchaton","q64334","Not at all disappointed."
"jaimemonchaton","q81307","Yes."
"jaimemonchaton","q48347","Yes"
"jaimemonchaton","q69186","No."
"jaimemonchaton","q28","Yes"
"jaimemonchaton","q35","Sex"
"jaimemonchaton","q1387","No"
"jaimemonchaton","q32","It seriously interests me."
"jaimemonchaton","q18905","I'm not sure"
"jaimemonchaton","q70508","Yes."
"jaimemonchaton","q321556","Once a day or more"
"jaimemonchaton","q1040","I like it / I think I might like it"
"jaimemonchaton","q24375","1-2 dates"
"jaimemonchaton","q63114","My sex drive is higher than average."
"jaimemonchaton","q85481","Pull over immediately and return the favor."
"jaimemonchaton","q12","Yes"
"jaimemonchaton","q15478","Yes"
"jaimemonchaton","q19140","Yes"
"jaimemonchaton","q309","Yes"
"jaimemonchaton","q40775","Before/After every new partner"
"jaimemonchaton","q1597","Yes"
"jaimemonchaton","q12605","Every day"
"jaimemonchaton","q18966","Hard!"
"jaimemonchaton","q23993","Very experienced"
"jaimemonchaton","q35355","Very open. I'll try anything once."
"jaimemonchaton","q11","Aroused"
"jaimemonchaton","q21","No"
"jaimemonchaton","q392","Yes"
"jaimemonchaton","q1049","It's exactly the same to me"
"jaimemonchaton","q12964","Yes"
"jaimemonchaton","q26387","Always"
"jaimemonchaton","q49345","Yes."
"jaimemonchaton","q83808","Yes, as the slave only."
"jaimemonchaton","q7273","Yes"
"jaimemonchaton","q18682","Yes"
"jaimemonchaton","q58812","Yes"
"jaimemonchaton","q144","No"
"jaimemonchaton","q18530","Yes"
"jaimemonchaton","q20976","That seems like an average number."
"jaimemonchaton","q20981","No opinion."
"jaimemonchaton","q27341","Aroused"
"jaimemonchaton","q28545","Yes, and hard!"
"jaimemonchaton","q64476","Yes."
"jaimemonchaton","q70135","Neither would bother me at all."
"jaimemonchaton","q79726","Yes."
"jaimemonchaton","q9403","Yes, but I'm not saying it out in the open"
"jaimemonchaton","q29384","Allow? I enjoy it."
"jaimemonchaton","q30115","I wouldn't."
"jaimemonchaton","q35203","Yes"
"jaimemonchaton","q72086","No."
"jaimemonchaton","q83184","Either, depending upon how they sound."
"jaimemonchaton","q37","Under 18"
"jaimemonchaton","q6413","No"
"jaimemonchaton","q19482","Fantastic, make me a sexual martyr"
"jaimemonchaton","q20889","It refers to a very specific kind of sex."
"jaimemonchaton","q39714","No."
"jaimemonchaton","q60852","Yes"
"jaimemonchaton","q29","be tied up during sex"
"jaimemonchaton","q324","I disagree."
"jaimemonchaton","q637","Yes"
"jaimemonchaton","q665","Bring out the toys!"
"jaimemonchaton","q38320","Yes."
"jaimemonchaton","q67511","Yes."
"jaimemonchaton","q79635","Positive."
"jaimemonchaton","q86366","Yes."
"jaimemonchaton","q29767","No"
"jaimemonchaton","q327","I become more attached."
"jaimemonchaton","q15756","Yes"
"jaimemonchaton","q36877","I don't care."
"jaimemonchaton","q50564","Yes."
"jaimemonchaton","q463","They take control"
"jaimemonchaton","q9384","Yes"
"jaimemonchaton","q28742","Yes"
"jaimemonchaton","q62537","Yes."
"jaimemonchaton","q275","No"
"jaimemonchaton","q1401","Yes, and I enjoyed myself."
"jaimemonchaton","q15355","Yes"
"jaimemonchaton","q26525","Yes"
"jaimemonchaton","q30169","Love it!"
"jaimemonchaton","q35276","Just enough to get things right."
"jaimemonchaton","q20","Yes"
"jaimemonchaton","q1011","Yes"
"jaimemonchaton","q1134","Yes"
"jaimemonchaton","q57731","Yes."
"jaimemonchaton","q60726","Yes."
"jaimemonchaton","q65043","Yes."
"jaimemonchaton","q13095","Under the right circumstance, Yes"
"jaimemonchaton","q26469","Yes"
"jaimemonchaton","q62173","Yes."
"jaimemonchaton","q6040","Yes"
"jaimemonchaton","q26","Yes"
"jaimemonchaton","q17","Yes"
"jaimemonchaton","q393","No"
"jaimemonchaton","q13","No"
"jaimemonchaton","q8218","No"
"jaimemonchaton","q24125","No"
"jaimemonchaton","q19681","No"
"jaimemonchaton","q84366","No."
"jaimemonchaton","q48372","No"
"jaimemonchaton","q210","No"
"jaimemonchaton","q156913","No"
"jaimemonchaton","q44","False"
"jaimemonchaton","q61786","No"
"jaimemonchaton","q41","Not at all important"
"jaimemonchaton","q15889","Science"
"jaimemonchaton","q60100","No"
"jaimemonchaton","q612","No, creationism has no place in schools"
"jaimemonchaton","q70135","Neither would bother me at all."
"jaimemonchaton","q9688","Yes"
"jaimemonchaton","q77","Very often"
"jaimemonchaton","q20418","No"
"jaimemonchaton","q8155","Weekly / Bi-Weekly"
"jaimemonchaton","q221106","Sometimes"
"jaimemonchaton","q16713","No"
"jaimemonchaton","q80","I do drugs occasionally."
"jaimemonchaton","q19815","No, I don't mind."
"jaimemonchaton","q997","Cats"
"jaimemonchaton","q325","No"
"jaimemonchaton","q501","Yes"
"jaimemonchaton","q22021","No, it's not important at all."
"jaimemonchaton","q158","No"
"jaimemonchaton","q403","Yes"
"jaimemonchaton","q13006","Yes"
"jaimemonchaton","q27164","No"
"jaimemonchaton","q358077","Yes"
"jaimemonchaton","q79","I smoke occasionally."
"jaimemonchaton","q1062","Usually daily. I skip some."
"jaimemonchaton","q15414","Yes, I have used psychedelic drugs."
"jaimemonchaton","q56","Yes"
"jaimemonchaton","q37693","Yes, I'd be playing with them."
"jaimemonchaton","q38423","Nothing."
"jaimemonchaton","q62254","Yes."
"jaimemonchaton","q553","Yes"
"jaimemonchaton","q6888","Yes"
"jaimemonchaton","q49","Carefree"
