"d_username","field","value"
"jamieisfancy","d_age","30"
"jamieisfancy","d_city","Islip"
"jamieisfancy","d_city","United States"
"jamieisfancy","d_orientation","Bisexual"
"jamieisfancy","d_gender","Woman"
"jamieisfancy","d_relationship","Single"
"jamieisfancy","d_bodytype","Used up"
"jamieisfancy","d_ethnicity","White"
"jamieisfancy","d_languages","English"
"jamieisfancy","d_education_phase","Attended"
"jamieisfancy","d_education_type","Post grad"
"jamieisfancy","d_smokes","Never"
"jamieisfancy","d_drinks","Socially"
"jamieisfancy","d_drugs","No"
"jamieisfancy","d_offspring_current","No kids"
"jamieisfancy","d_offspring_desires","might want kids"
"jamieisfancy","lf_single","single"
"jamieisfancy","lf_location","near me"
"jamieisfancy","lf_min_age","27"
"jamieisfancy","lf_max_age","35"
"jamieisfancy","lf_for","short & long term dating and new friends"
"jamieisfancy","p_indie","64"
"jamieisfancy","p_playful","30"
"jamieisfancy","p_inde","20"
"jamieisfancy","p_conservative","-12"
"jamieisfancy","p_ambi","-16"
"jamieisfancy","p_polit","-44"
"jamieisfancy","p_good-natured","-46"
"jamieisfancy","p_organized","-66"
"jamieisfancy","q154","No, it wouldn't."
"jamieisfancy","q85835","Neither, they are equally bad."
"jamieisfancy","q70","No"
"jamieisfancy","q395","Yes"
"jamieisfancy","q32","It seriously interests me."
"jamieisfancy","q30169","It's okay."
"jamieisfancy","q1597","Yes"
"jamieisfancy","q35","Love"
"jamieisfancy","q18530","Yes"
"jamieisfancy","q395","Yes"
"jamieisfancy","q41","Not at all important"
"jamieisfancy","q763","Yes"
"jamieisfancy","q60100","No"
"jamieisfancy","q6619","No"
"jamieisfancy","q31055","No"
"jamieisfancy","q220","Yes"
"jamieisfancy","q40441","No."
"jamieisfancy","q6537","Yes"
"jamieisfancy","q62455","Yes."
"jamieisfancy","q15746","No"
"jamieisfancy","q441","Yes"
"jamieisfancy","q20418","Yes"
"jamieisfancy","q56","No"
"jamieisfancy","q501","No"
"jamieisfancy","q1119","Yes"
"jamieisfancy","q12796","No"
"jamieisfancy","q79","I smoked in the past, but no longer."
"jamieisfancy","q221105","I'm a very active user."
"jamieisfancy","q403","No"
"jamieisfancy","q1112","Yes"
"jamieisfancy","q9688","Yes, but only soft stuff like marijuana"
"jamieisfancy","q212814","Somewhat important"
"jamieisfancy","q358077","No"
"jamieisfancy","q49","Carefree"
"jamieisfancy","q158","Yes"
"jamieisfancy","q42640","No."
"jamieisfancy","q51349","No."
"jamieisfancy","q325","Yes"
"jamieisfancy","q512","Yes"
"jamieisfancy","q553","Yes"
"jamieisfancy","q60318","Yes."
"jamieisfancy","q80","I never do drugs."
"jamieisfancy","q436","Yes"
"jamieisfancy","q44639","Yes"
"jamieisfancy","q401","Yes"
"jamieisfancy","q442","Bad"
"jamieisfancy","q62254","Yes."
"jamieisfancy","q48328","No."
"jamieisfancy","q426","Yes"
"jamieisfancy","q19737","Yes"
"jamieisfancy","q212813","Liberal / Left-wing"
"jamieisfancy","q94","Yes"
"jamieisfancy","q434","Yes"
"jamieisfancy","q6867","Yes"
"jamieisfancy","q179268","No"
"jamieisfancy","q48","Weird"
"jamieisfancy","q1766","Yes"
"jamieisfancy","q15744","Yes"
"jamieisfancy","q763","Yes"
"jamieisfancy","q358080","Discovering their body"
"jamieisfancy","q149","Dedication"
"jamieisfancy","q41953","Several years"
"jamieisfancy","q358014","No"
"jamieisfancy","q13086","Yes"
"jamieisfancy","q16053","Totally willing!"
"jamieisfancy","q54016","No."
"jamieisfancy","q1440","No"
"jamieisfancy","q60500","No."
"jamieisfancy","q80041","No"
"jamieisfancy","q123","No"
"jamieisfancy","q19874","12+ months"
"jamieisfancy","q1815","Yes"
"jamieisfancy","q48557","No."
"jamieisfancy","q106","No"
"jamieisfancy","q325","Yes"
"jamieisfancy","q403","No"
"jamieisfancy","q6155","No"
"jamieisfancy","q1099","No"
"jamieisfancy","q1201","Don't know / don't care"
"jamieisfancy","q15749","Yes"
"jamieisfancy","q416236","Yay!"
"jamieisfancy","q445141","Flight"
"jamieisfancy","q46","Interesting"
"jamieisfancy","q60892","Yes."
"jamieisfancy","q50755","Yes."
"jamieisfancy","q8672","Where"
"jamieisfancy","q14835","On my right hand"
"jamieisfancy","q35660","Usually"
"jamieisfancy","q4018","Yes"
"jamieisfancy","q46176","Yes."
"jamieisfancy","q86","No"
"jamieisfancy","q9415","Yes"
"jamieisfancy","q178","The Sun"
"jamieisfancy","q27794","Yes"
"jamieisfancy","q358084","Yes"
