"d_username","field","value"
"jessirihanna","d_age","29"
"jessirihanna","d_city","New York"
"jessirihanna","d_city","United States"
"jessirihanna","d_orientation","Bisexual"
"jessirihanna","d_gender","Woman"
"jessirihanna","d_relationship","Single"
"jessirihanna","d_bodytype","Thin"
"jessirihanna","d_ethnicity","White"
"jessirihanna","d_languages","Spanish"
"jessirihanna","d_education_phase","Attended"
"jessirihanna","d_education_type","Two-year college"
"jessirihanna","d_religion_type","Other religion"
"jessirihanna","d_smokes","Sometimes"
"jessirihanna","d_drinks","Often"
"jessirihanna","d_drugs","No"
"jessirihanna","d_offspring_current","has kid(s)"
"jessirihanna","d_offspring_desires","Doesn't want kids"
"jessirihanna","lf_location","near me"
"jessirihanna","lf_min_age","21"
"jessirihanna","lf_max_age","55"
"jessirihanna","lf_for","casual sex and new friends"
"jessirihanna","p_exp","96"
"jessirihanna","p_sexdrive","74"
"jessirihanna","p_spon","74"
"jessirihanna","p_wholesome","-30"
"jessirihanna","q24125","Yes"
"jessirihanna","q27921","More safe"
"jessirihanna","q154","Yes, it would."
"jessirihanna","q175","Yes"
"jessirihanna","q612","No, creationism has no place in schools"
"jessirihanna","q70","No"
"jessirihanna","q280","Yes"
"jessirihanna","q1597","Yes"
"jessirihanna","q12605","Every day"
"jessirihanna","q35","Love"
"jessirihanna","q24375","1-2 dates"
"jessirihanna","q275","No"
"jessirihanna","q24125","Yes"
"jessirihanna","q41","Extremely important"
"jessirihanna","q60100","Yes"
"jessirihanna","q156914","No"
"jessirihanna","q612","No, creationism has no place in schools"
"jessirihanna","q8155","Twice a week or more"
"jessirihanna","q179268","Yes"
"jessirihanna","q7041","Great!"
"jessirihanna","q77","Very often"
"jessirihanna","q9688","No"
"jessirihanna","q27672","Sort of important"
"jessirihanna","q501","Yes"
"jessirihanna","q44639","No"
"jessirihanna","q553","No"
"jessirihanna","q18834","Expression"
"jessirihanna","q325","Yes"
"jessirihanna","q358077","No"
"jessirihanna","q79","I smoke occasionally."
"jessirihanna","q997","Both"
"jessirihanna","q403","No"
"jessirihanna","q49","Carefree"
"jessirihanna","q12970","Twice or more a day"
"jessirihanna","q212813","Liberal / Left-wing"
"jessirihanna","q48","Weird"
"jessirihanna","q48753","No."
"jessirihanna","q20021","Someone for tonight"
"jessirihanna","q358080","Discovering their body"
"jessirihanna","q123","Yes"
"jessirihanna","q1440","Yes"
"jessirihanna","q41953","The rest of my life"
"jessirihanna","q358014","No"
"jessirihanna","q149","Passion"
"jessirihanna","q16053","Totally willing!"
"jessirihanna","q19365","Yes"
"jessirihanna","q325","Yes"
"jessirihanna","q403","No"
"jessirihanna","q35660","Never"
"jessirihanna","q358084","No"
"jessirihanna","q4018","No"
"jessirihanna","q20930","Very, very high"
"jessirihanna","q28903","A promising first date"
"jessirihanna","q255","98547"
"jessirihanna","q14835","On my left hand"
"jessirihanna","q416235","No"
"jessirihanna","q46","Good"
"jessirihanna","q8672","Why"
"jessirihanna","q205","No"
"jessirihanna","q38767","Yes"
