"d_username","field","value"
"kellyAD000","d_age","35"
"kellyAD000","d_city","Memphis"
"kellyAD000","d_city","United States"
"kellyAD000","d_orientation","Bisexual"
"kellyAD000","d_gender","Woman"
"kellyAD000","d_relationship","Single"
"kellyAD000","d_bodytype","Average build"
"kellyAD000","d_ethnicity","White"
"kellyAD000","d_languages","English"
"kellyAD000","d_education_phase","Attended"
"kellyAD000","d_education_type","Post grad"
"kellyAD000","d_smokes","Never"
"kellyAD000","d_drinks","Socially"
"kellyAD000","d_drugs","No"
"kellyAD000","d_offspring_current","No kids"
"kellyAD000","d_offspring_desires","might want kids"
"kellyAD000","lf_single","single"
"kellyAD000","lf_location","near me"
"kellyAD000","lf_min_age","30"
"kellyAD000","lf_max_age","40"
"kellyAD000","lf_for","short & long term dating and new friends"
"kellyAD000","p_playful","64"
"kellyAD000","p_trusting","30"
"kellyAD000","p_good-natured","18"
"kellyAD000","p_scien","12"
"kellyAD000","p_sprit","10"
"kellyAD000","p_sexdrive","-70"
"kellyAD000","q359387","Universal"
"kellyAD000","q39373","Never."
"kellyAD000","q594","Yes, anything can be funny in the right light."
"kellyAD000","q65","Yes"
"kellyAD000","q29829","Always"
"kellyAD000","q17","No"
"kellyAD000","q70","No"
"kellyAD000","q136","Yes"
"kellyAD000","q175","No"
"kellyAD000","q838","Yes"
"kellyAD000","q612","No, creationism has no place in schools"
"kellyAD000","q85835","Neither, they are equally bad."
"kellyAD000","q39185","book burning"
"kellyAD000","q37708","Acceptable."
"kellyAD000","q455","No"
"kellyAD000","q154","No, it wouldn't."
"kellyAD000","q18797","No, I'd trust them and that would be invasive."
"kellyAD000","q24125","No"
"kellyAD000","q1028","Gentle"
"kellyAD000","q12605","Once or twice a week"
"kellyAD000","q20889","It's beautiful."
"kellyAD000","q24375","6 or more dates"
"kellyAD000","q58812","No"
"kellyAD000","q1597","No"
"kellyAD000","q21","No"
"kellyAD000","q35355","I'm open, but I don't get too crazy."
"kellyAD000","q35","Love"
"kellyAD000","q63114","My sex drive is about average."
"kellyAD000","q324","I disagree."
"kellyAD000","q14913","No"
"kellyAD000","q12964","Yes"
"kellyAD000","q18530","Yes"
"kellyAD000","q1401","Yes, and I enjoyed myself."
"kellyAD000","q17","No"
"kellyAD000","q24125","No"
"kellyAD000","q44","True"
"kellyAD000","q156913","Yes"
"kellyAD000","q48372","Yes"
"kellyAD000","q210","Yes"
"kellyAD000","q41","Somewhat important"
"kellyAD000","q15889","Science"
"kellyAD000","q60100","No"
"kellyAD000","q612","No, creationism has no place in schools"
"kellyAD000","q325","No"
"kellyAD000","q158","No"
"kellyAD000","q20418","Yes"
"kellyAD000","q40441","No."
"kellyAD000","q501","No"
"kellyAD000","q12970","Once a day"
"kellyAD000","q403","Yes"
"kellyAD000","q13006","Yes, but only an occasional/social smoker"
"kellyAD000","q49","Intense"
"kellyAD000","q43261","I am my own person."
"kellyAD000","q79","I smoke occasionally."
"kellyAD000","q9688","Yes, but only soft stuff like marijuana"
"kellyAD000","q56","No"
"kellyAD000","q23834","Yes"
"kellyAD000","q27164","No"
"kellyAD000","q212814","Somewhat important"
"kellyAD000","q8155","Once every month or three."
"kellyAD000","q53611","Never."
"kellyAD000","q221105","I'm a somewhat active user."
"kellyAD000","q358077","No"
"kellyAD000","q997","Both"
"kellyAD000","q18834","Knowledge"
"kellyAD000","q80","I never do drugs."
"kellyAD000","q87","No"
"kellyAD000","q16713","Yes"
"kellyAD000","q77","Sometimes"
"kellyAD000","q553","Yes"
"kellyAD000","q44639","Yes"
"kellyAD000","q442","Bad"
"kellyAD000","q1062","At least once a day."
"kellyAD000","q212813","Liberal / Left-wing"
"kellyAD000","q221106","Never"
"kellyAD000","q48","Weird"
"kellyAD000","q179268","No"
"kellyAD000","q1766","Yes"
"kellyAD000","q36045","Absolutely."
"kellyAD000","q80041","Yes"
"kellyAD000","q149","Dedication"
"kellyAD000","q41953","The rest of my life"
"kellyAD000","q19874","0-6 months"
"kellyAD000","q25228","Yes"
"kellyAD000","q784","No"
"kellyAD000","q308","No"
"kellyAD000","q19378","Words: Tell them how much you appreciate them"
"kellyAD000","q20021","Someone to come home to"
"kellyAD000","q16053","Totally willing!"
"kellyAD000","q41850","Very important."
"kellyAD000","q31581","Not thrilled, but go ahead."
"kellyAD000","q31840","Touching my partner"
"kellyAD000","q40194","Extremely important."
"kellyAD000","q358014","Yes"
"kellyAD000","q979","1-2"
"kellyAD000","q18875","Important-ish"
"kellyAD000","q20135","I like to just let it happen"
"kellyAD000","q52682","Yes, but only if they were obese."
"kellyAD000","q20519","Sure. I'm interested in sharing our beliefs."
"kellyAD000","q23543","Yes, unless otherwise specified"
"kellyAD000","q363047","Yes"
"kellyAD000","q1815","Yes"
"kellyAD000","q170849","No. Why spoil the mystery?"
"kellyAD000","q1440","No"
"kellyAD000","q146","Kissing in a tent, in the woods"
"kellyAD000","q66506","Very important."
"kellyAD000","q165644","Nothing to talk about"
"kellyAD000","q123","No"
"kellyAD000","q24345","A lot!"
"kellyAD000","q48753","Yes."
"kellyAD000","q55744","This would not be an important factor to me."
"kellyAD000","q358080","Discovering your shared interests"
"kellyAD000","q325","No"
"kellyAD000","q403","Yes"
"kellyAD000","q13006","Yes, but only an occasional/social smoker"
"kellyAD000","q136","Yes"
"kellyAD000","q12964","Yes"
"kellyAD000","q17","No"
"kellyAD000","q134","Yes"
"kellyAD000","q19265","Necessary"
"kellyAD000","q1099","No"
"kellyAD000","q15698","They're okay, but keep the unruly ones at bay."
"kellyAD000","q35660","Always"
"kellyAD000","q20930","Higher than average"
"kellyAD000","q26841","About average"
"kellyAD000","q1052","Sometimes"
"kellyAD000","q1707","Meh. I have my ups and downs."
"kellyAD000","q20725","Sometimes"
"kellyAD000","q46","Interesting"
"kellyAD000","q19898","I'm an information sponge"
"kellyAD000","q29032","Social / Interpersonal"
"kellyAD000","q61281","Occasionally."
"kellyAD000","q8672","Where"
"kellyAD000","q28903","An important interview"
"kellyAD000","q416236","Yay!"
"kellyAD000","q14835","On my right hand"
"kellyAD000","q4018","Yes"
"kellyAD000","q301","No"
"kellyAD000","q1201","46"
"kellyAD000","q59457","Yes."
"kellyAD000","q178","The Sun"
"kellyAD000","q255","89547"
"kellyAD000","q358084","Yes"
