"d_username","field","value"
"kissingkisses","d_age","26"
"kissingkisses","d_city","Los Angeles"
"kissingkisses","d_city","United States"
"kissingkisses","d_orientation","Bisexual"
"kissingkisses","d_gender","Woman"
"kissingkisses","d_relationship","Single"
"kissingkisses","d_bodytype","Thin"
"kissingkisses","d_ethnicity","White"
"kissingkisses","d_languages","English"
"kissingkisses","d_smokes","Sometimes"
"kissingkisses","d_drinks","Socially"
"kissingkisses","d_drugs","No"
"kissingkisses","lf_min_age","18"
"kissingkisses","lf_max_age","99"
"kissingkisses","lf_for","short & long term datin"
"kissingkisses","p_wholesome","-88"
"kissingkisses","q9688","Yes"
"kissingkisses","q80","I do drugs occasionally."
"kissingkisses","q501","Yes"
"kissingkisses","q553","No"
"kissingkisses","q79","Never."
"kissingkisses","q325","Yes"
"kissingkisses","q358077","No"
"kissingkisses","q997","Both"
"kissingkisses","q77","Sometimes"
"kissingkisses","q44639","Yes"
"kissingkisses","q179268","No"
"kissingkisses","q149","Passion"
"kissingkisses","q16053","Totally willing!"
"kissingkisses","q123","No"
"kissingkisses","q325","Yes"
"kissingkisses","q46","Good"
"kissingkisses","q358084","Yes"
