"d_username","field","value"
"kth2os","d_age","26"
"kth2os","d_city","Washington"
"kth2os","d_city","United States"
"kth2os","d_orientation","Queer"
"kth2os","d_gender","Woman"
"kth2os","d_relationship","Single"
"kth2os","d_bodytype","Average build"
"kth2os","d_ethnicity","White"
"kth2os","d_languages","English"
"kth2os","d_education_phase","Attended"
"kth2os","d_education_type","University"
"kth2os","d_offspring_current","No kids"
"kth2os","lf_min_age","26"
"kth2os","lf_max_age","37"
"kth2os","lf_for","short-term datin"
"kth2os","p_suave","90"
"kth2os","p_giving","80"
"kth2os","p_sexperienced","80"
"kth2os","p_polit","80"
"kth2os","p_lit","78"
"kth2os","p_exp","62"
"kth2os","p_comp","44"
"kth2os","p_sexdrive","42"
"kth2os","p_trusting","30"
"kth2os","p_ambi","26"
"kth2os","p_inde","24"
"kth2os","p_good-natured","16"
"kth2os","p_energetic","12"
"kth2os","p_sprit","-26"
"kth2os","p_friendly","-48"
"kth2os","p_oldfash","-72"
"kth2os","p_roman","-82"
"kth2os","p_conservative","-86"
"kth2os","p_wholesome","-88"
"kth2os","q359387","Universal"
"kth2os","q136","No"
"kth2os","q39373","Never."
"kth2os","q48947","Yes."
"kth2os","q17","Yes"
"kth2os","q45598","Never."
"kth2os","q612","No, creationism has no place in schools"
"kth2os","q393","No"
"kth2os","q39185","book burning"
"kth2os","q175","No"
"kth2os","q838","Yes"
"kth2os","q18979","No, I'd confront them."
"kth2os","q65","Yes"
"kth2os","q455","No"
"kth2os","q218","Yes, only if it were regulated"
"kth2os","q29829","Whenever possible"
"kth2os","q66548","It doesn't bother me at all."
"kth2os","q213","No"
"kth2os","q14","No"
"kth2os","q154","No, it wouldn't."
"kth2os","q1446","Yes, solidarity is important"
"kth2os","q18125","No"
"kth2os","q70","No"
"kth2os","q71","No"
"kth2os","q226","the right to bear arms"
"kth2os","q18797","No, I'd trust them and that would be invasive."
"kth2os","q395","Yes"
"kth2os","q18843","No"
"kth2os","q46563","No."
"kth2os","q46927","No."
"kth2os","q24125","No"
"kth2os","q26684","No"
"kth2os","q27921","Less safe"
"kth2os","q37708","Acceptable."
"kth2os","q13","No"
"kth2os","q168","False"
"kth2os","q47764","Yes."
"kth2os","q19681","No"
"kth2os","q16317","Yes"
"kth2os","q7077","Sex"
"kth2os","q35276","A lot! It's all about the talk."
"kth2os","q20976","No, that's nothing."
"kth2os","q35","Sex"
"kth2os","q23993","Very experienced"
"kth2os","q24375","1-2 dates"
"kth2os","q21","Yes"
"kth2os","q60756","Yes, I'd say anything they want me to."
"kth2os","q34","Horny"
"kth2os","q54127","Yes, but only rarely."
"kth2os","q12605","About every other day"
