"d_username","field","value"
"mia-francesca","d_age","20"
"mia-francesca","d_city","Chicago"
"mia-francesca","d_city","United States"
"mia-francesca","d_orientation","Bisexual"
"mia-francesca","d_gender","Woman"
"mia-francesca","d_relationship","Single"
"mia-francesca","d_bodytype","Average build"
"mia-francesca","d_languages","English"
"mia-francesca","d_smokes","Sometimes"
"mia-francesca","d_drinks","Socially"
"mia-francesca","d_drugs","Sometimes"
"mia-francesca","lf_single","single"
"mia-francesca","lf_location","near me"
"mia-francesca","lf_min_age","22"
"mia-francesca","lf_max_age","31"
"mia-francesca","lf_for","short & long term dating"
"mia-francesca","p_polit","94"
"mia-francesca","p_sexdrive","68"
"mia-francesca","p_drug","66"
"mia-francesca","p_aggressive","60"
"mia-francesca","p_scien","44"
"mia-francesca","p_adven","18"
"mia-francesca","p_friendly","14"
"mia-francesca","p_dominant","-18"
"mia-francesca","p_sprit","-28"
"mia-francesca","p_polite","-38"
"mia-francesca","p_oldfash","-50"
"mia-francesca","p_conservative","-50"
"mia-francesca","p_roman","-50"
"mia-francesca","p_suave","-62"
"mia-francesca","q34113","It's okay, if it is not abused"
"mia-francesca","q15752","Extremely important"
"mia-francesca","q17","Yes"
"mia-francesca","q838","Yes"
"mia-francesca","q29829","Whenever possible"
"mia-francesca","q612","No, creationism has no place in schools"
"mia-francesca","q175","No"
"mia-francesca","q31877","Unnecessary but appreciated."
"mia-francesca","q70","No"
"mia-francesca","q66548","It doesn't bother me at all."
"mia-francesca","q213","No"
"mia-francesca","q18797","No, I'd trust them and that would be invasive."
"mia-francesca","q24125","No"
"mia-francesca","q154","No, it wouldn't."
"mia-francesca","q17017","Never"
"mia-francesca","q13","No"
"mia-francesca","q341","Yes"
"mia-francesca","q46927","No."
"mia-francesca","q37708","Acceptable."
"mia-francesca","q214","No"
"mia-francesca","q1040","I don't like it / I don't think I would like it"
"mia-francesca","q21","Yes"
"mia-francesca","q12605","About every other day"
"mia-francesca","q30169","It's okay."
"mia-francesca","q29384","Allow? I enjoy it."
"mia-francesca","q30903","Yes"
"mia-francesca","q321556","A few times a week"
"mia-francesca","q665","Never tried it, but I'm open-minded."
"mia-francesca","q24375","3-5 dates"
"mia-francesca","q1028","I enjoy both equally"
"mia-francesca","q23993","Moderately experienced"
"mia-francesca","q35203","Yes"
"mia-francesca","q63114","My sex drive is higher than average."
"mia-francesca","q86366","Yes."
"mia-francesca","q18530","Yes"
"mia-francesca","q20889","It refers to a very specific kind of sex."
"mia-francesca","q35355","Very open. I'll try anything once."
"mia-francesca","q30","Yes, some"
"mia-francesca","q1401","Yes, and I enjoyed myself."
"mia-francesca","q9628","Yes"
"mia-francesca","q17","Yes"
"mia-francesca","q24125","No"
"mia-francesca","q13","No"
"mia-francesca","q210","No"
"mia-francesca","q156913","No"
"mia-francesca","q15889","Science"
"mia-francesca","q44","False"
"mia-francesca","q60100","No"
"mia-francesca","q612","No, creationism has no place in schools"
"mia-francesca","q9688","Yes"
"mia-francesca","q221105","I never use it."
"mia-francesca","q80","I do drugs occasionally."
"mia-francesca","q79","I smoke regularly."
"mia-francesca","q179268","Yes"
"mia-francesca","q403","Yes"
"mia-francesca","q501","Yes"
"mia-francesca","q77","Rarely"
"mia-francesca","q37693","No."
"mia-francesca","q21411","I love to argue!"
"mia-francesca","q212814","Very important"
"mia-francesca","q56","Yes"
"mia-francesca","q13006","Yes"
"mia-francesca","q43261","I am my own person."
"mia-francesca","q87","No"
"mia-francesca","q23834","Yes"
"mia-francesca","q553","Yes"
"mia-francesca","q27164","No"
"mia-francesca","q318","Somewhat important"
"mia-francesca","q21488","Yeah, when I have the time."
"mia-francesca","q44639","Yes"
"mia-francesca","q1062","At least once a day."
"mia-francesca","q18834","Knowledge"
"mia-francesca","q62254","Yes."
"mia-francesca","q221106","Never"
"mia-francesca","q24282","Very inclined"
"mia-francesca","q158","Yes"
"mia-francesca","q16713","Yes"
"mia-francesca","q27672","Critically important."
"mia-francesca","q53611","Rarely."
"mia-francesca","q997","Both"
"mia-francesca","q46403","Yes."
"mia-francesca","q442","Bad"
"mia-francesca","q8155","Seldom or never."
"mia-francesca","q12970","Twice or more a day"
"mia-francesca","q1766","Yes"
"mia-francesca","q1454","Yes"
"mia-francesca","q17017","Never"
"mia-francesca","q20519","All the time!"
"mia-francesca","q1185","No"
"mia-francesca","q20778","reminds you to be realistic"
"mia-francesca","q25228","Yes"
"mia-francesca","q308","No"
"mia-francesca","q1815","No"
"mia-francesca","q784","No"
"mia-francesca","q9668","Dominant"
"mia-francesca","q48753","Sometimes - It depends."
"mia-francesca","q30207","Yes, a bit."
"mia-francesca","q19378","Words: Tell them how much you appreciate them"
"mia-francesca","q36045","No way."
"mia-francesca","q41850","Very important."
"mia-francesca","q18875","Very damn important"
"mia-francesca","q40194","Extremely important."
"mia-francesca","q1440","No"
"mia-francesca","q16053","Totally willing!"
"mia-francesca","q19874","12+ months"
"mia-francesca","q20021","Someone to go out with"
"mia-francesca","q31581","Not thrilled, but go ahead."
"mia-francesca","q41393","Turn-off. I find easily-confused types annoying."
"mia-francesca","q122","A lot"
"mia-francesca","q27239","Scary"
"mia-francesca","q80041","No"
"mia-francesca","q358014","Yes"
"mia-francesca","q527","No"
"mia-francesca","q23543","Yes, unless otherwise specified"
"mia-francesca","q24345","A lot!"
"mia-francesca","q66506","Very important."
"mia-francesca","q18692","No"
"mia-francesca","q46856","Complex"
"mia-francesca","q34094","Yes"
"mia-francesca","q8054","Yes"
"mia-francesca","q403","Yes"
"mia-francesca","q13006","Yes"
"mia-francesca","q30903","Yes"
"mia-francesca","q318","Somewhat important"
"mia-francesca","q35203","Yes"
"mia-francesca","q46403","Yes."
"mia-francesca","q17","Yes"
"mia-francesca","q35660","Rarely"
"mia-francesca","q416236","Okay"
"mia-francesca","q1707","Meh. I have my ups and downs."
"mia-francesca","q445141","Invisibility"
"mia-francesca","q134","No"
"mia-francesca","q8672","Why"
"mia-francesca","q23696","Sometimes"
"mia-francesca","q53540","Only some of the time."
"mia-francesca","q614","something practical?"
"mia-francesca","q1052","Sometimes"
"mia-francesca","q26841","About average"
"mia-francesca","q1052","Sometimes"
"mia-francesca","q178","The Sun"
"mia-francesca","q358084","Yes"
"mia-francesca","q20725","All the time"
"mia-francesca","q28903","An important interview"
"mia-francesca","q19265","Nice, but not mandatory"
"mia-francesca","q59457","Yes."
"mia-francesca","q27477","Yes"
