"d_username","field","value"
"mogasaurus","d_age","20"
"mogasaurus","d_city","Carmichael"
"mogasaurus","d_city","United States"
"mogasaurus","d_orientation","Bisexual"
"mogasaurus","d_gender","Woman"
"mogasaurus","d_relationship","Single"
"mogasaurus","d_bodytype","Thin"
"mogasaurus","d_ethnicity","White"
"mogasaurus","d_languages","English"
"mogasaurus","d_education_phase","Working on"
"mogasaurus","d_education_type","University"
"mogasaurus","d_smokes","Never"
"mogasaurus","d_drinks","Socially"
"mogasaurus","d_drugs","Sometimes"
"mogasaurus","d_offspring_current","No kids"
"mogasaurus","lf_single","single"
"mogasaurus","lf_location","near me"
"mogasaurus","lf_min_age","19"
"mogasaurus","lf_max_age","25"
"mogasaurus","lf_for","short & long term dating and new friends"
"mogasaurus","p_spon","74"
"mogasaurus","p_energetic","70"
"mogasaurus","p_drug","66"
"mogasaurus","p_outgoing","66"
"mogasaurus","p_trusting","64"
"mogasaurus","p_scien","62"
"mogasaurus","p_ambi","58"
"mogasaurus","p_kinky","46"
"mogasaurus","p_adven","44"
"mogasaurus","p_athletic","32"
"mogasaurus","p_math","32"
"mogasaurus","p_conf","20"
"mogasaurus","p_sexdrive","18"
"mogasaurus","p_aggressive","14"
"mogasaurus","p_dominant","10"
"mogasaurus","p_suave","-18"
"mogasaurus","p_playful","-36"
"mogasaurus","p_sprit","-48"
"mogasaurus","p_sloppy","-56"
"mogasaurus","p_conservative","-60"
"mogasaurus","p_wholesome","-64"
"mogasaurus","q65","No"
"mogasaurus","q455","Yes"
"mogasaurus","q12428","No"
"mogasaurus","q594","Yes, anything can be funny in the right light."
"mogasaurus","q20818","Yes, life is a big gray area anyway."
"mogasaurus","q1446","It depends on the kind of suffering"
"mogasaurus","q612","No, creationism has no place in schools"
"mogasaurus","q136","Yes"
"mogasaurus","q175","No"
"mogasaurus","q9379","Yes, but only with my friend's permission"
"mogasaurus","q29829","Whenever possible"
"mogasaurus","q169","Yes"
"mogasaurus","q36790","Yes.  Always."
"mogasaurus","q70","No"
"mogasaurus","q393","No"
"mogasaurus","q18125","No"
"mogasaurus","q39185","book burning"
"mogasaurus","q46927","No."
"mogasaurus","q838","Yes"
"mogasaurus","q24125","No"
"mogasaurus","q39373","Rarely."
"mogasaurus","q359387","Relative"
"mogasaurus","q17017","Never"
"mogasaurus","q18797","No, I'd trust them and that would be invasive."
"mogasaurus","q47764","Yes."
"mogasaurus","q85315","Yes."
"mogasaurus","q14","No"
"mogasaurus","q31877","Unnecessary but appreciated."
"mogasaurus","q40570","Truthful"
"mogasaurus","q66548","It doesn't bother me at all."
"mogasaurus","q226","the right to bear arms"
"mogasaurus","q22439","Yes"
"mogasaurus","q85835","Neither, they are equally bad."
"mogasaurus","q15878","Yes"
"mogasaurus","q46563","No."
"mogasaurus","q13","No"
"mogasaurus","q341","Yes"
"mogasaurus","q579","No"
"mogasaurus","q37708","Acceptable."
"mogasaurus","q71","No"
"mogasaurus","q168","False"
"mogasaurus","q395","Yes"
"mogasaurus","q20298","A sign of strength"
"mogasaurus","q171","Your world"
"mogasaurus","q19681","No"
"mogasaurus","q35203","I'm Not Sure / Depends how serious it was"
"mogasaurus","q26525","No"
"mogasaurus","q86184","No, I am an open book."
"mogasaurus","q86366","Maybe, depending upon the circumstances."
"mogasaurus","q2","more cool than pathetic"
"mogasaurus","q1401","No, but I would like to."
"mogasaurus","q30903","No"
"mogasaurus","q18530","Not possible"
"mogasaurus","q32","It seriously interests me."
"mogasaurus","q26405","No, but don't worry, I'm enjoying myself"
"mogasaurus","q309","No"
"mogasaurus","q1597","Yes"
"mogasaurus","q15478","Yes"
"mogasaurus","q30169","It's okay."
"mogasaurus","q392","Yes"
"mogasaurus","q24375","1-2 dates"
"mogasaurus","q50178","I don't know."
"mogasaurus","q12605","Every day"
"mogasaurus","q19893","Yes"
"mogasaurus","q20976","That seems like an average number."
"mogasaurus","q1049","It's exactly the same to me"
"mogasaurus","q28545","Yes, but gently."
"mogasaurus","q83480","It doesn't matter."
"mogasaurus","q86417","More than a day, less than a week."
"mogasaurus","q11","Aroused"
"mogasaurus","q35","Love"
"mogasaurus","q323","Confident"
"mogasaurus","q29384","Allow? I enjoy it."
"mogasaurus","q30115","I wouldn't."
"mogasaurus","q35355","Very open. I'll try anything once."
"mogasaurus","q81307","No."
"mogasaurus","q82263","No."
"mogasaurus","q63114","My sex drive is higher than average."
"mogasaurus","q12964","Yes"
"mogasaurus","q23993","Moderately experienced"
"mogasaurus","q324","I disagree."
"mogasaurus","q7077","Sleeping"
"mogasaurus","q17808","No"
"mogasaurus","q20212","Never"
"mogasaurus","q56606","Somewhat interested."
"mogasaurus","q963","Yes"
"mogasaurus","q37","Under 18"
"mogasaurus","q83382","No."
"mogasaurus","q275","No"
"mogasaurus","q1028","I enjoy both equally"
"mogasaurus","q14913","No"
"mogasaurus","q20889","It refers to a very specific kind of sex."
"mogasaurus","q29767","No"
"mogasaurus","q57717","No."
"mogasaurus","q57718","Cuddling with them."
"mogasaurus","q69186","Yes."
"mogasaurus","q29","be tied up during sex"
"mogasaurus","q1408","Yes"
"mogasaurus","q1436","Yes"
"mogasaurus","q60852","Yes"
"mogasaurus","q27","Telling someone you really care"
"mogasaurus","q9628","Yes"
"mogasaurus","q21527","No"
"mogasaurus","q1134","Yes"
"mogasaurus","q1173","No"
"mogasaurus","q57731","Yes."
"mogasaurus","q58829","Yes."
"mogasaurus","q61903","No"
"mogasaurus","q393","No"
"mogasaurus","q24125","No"
"mogasaurus","q13","No"
"mogasaurus","q19681","No"
"mogasaurus","q14","No"
"mogasaurus","q395","Yes"
"mogasaurus","q20408","No, and I would never practice any of these."
"mogasaurus","q45","No"
"mogasaurus","q986","No"
"mogasaurus","q6542","Yes"
"mogasaurus","q15889","Science"
"mogasaurus","q24740","No"
"mogasaurus","q210","No"
"mogasaurus","q156913","No"
"mogasaurus","q48372","No"
"mogasaurus","q41","Not at all important"
"mogasaurus","q411","Yes"
"mogasaurus","q61786","No"
"mogasaurus","q19915","Sure, why not?"
"mogasaurus","q44","False"
"mogasaurus","q18708","A method one can follow to make predictions."
"mogasaurus","q60100","No"
"mogasaurus","q156915","No"
"mogasaurus","q193","No"
"mogasaurus","q156918","No"
"mogasaurus","q156914","No"
"mogasaurus","q612","No, creationism has no place in schools"
"mogasaurus","q47764","Yes."
"mogasaurus","q51296","Always."
"mogasaurus","q38249","Better than usual."
"mogasaurus","q9688","Yes"
"mogasaurus","q38230","No."
"mogasaurus","q66994","I've never burnt incense in my home before."
"mogasaurus","q55","Yes"
"mogasaurus","q8155","Weekly / Bi-Weekly"
"mogasaurus","q80","I do drugs occasionally."
"mogasaurus","q1309","20-100 people."
"mogasaurus","q531","Booze"
"mogasaurus","q6636","New"
"mogasaurus","q215","science"
"mogasaurus","q19695","Very often"
"mogasaurus","q997","Cats"
"mogasaurus","q14853","I think it's dumb"
"mogasaurus","q19815","Yes, I wouldn't be able to tolerate that."
"mogasaurus","q22683","No"
"mogasaurus","q94","No"
"mogasaurus","q63","Social"
"mogasaurus","q47635","No."
"mogasaurus","q69912","Scientist"
"mogasaurus","q15746","Yes"
"mogasaurus","q141","No"
"mogasaurus","q501","No"
"mogasaurus","q365","A lot"
"mogasaurus","q9640","Yes"
"mogasaurus","q158","No"
"mogasaurus","q403","Yes"
"mogasaurus","q441","Yes"
"mogasaurus","q13006","Yes, but only an occasional/social smoker"
"mogasaurus","q20418","Sometimes"
"mogasaurus","q24496","Ugh. Nasty."
"mogasaurus","q37695","Yes - Every chance I get."
"mogasaurus","q71315","Yes, but I don't need it to fall asleep."
"mogasaurus","q79","I smoke occasionally."
"mogasaurus","q1112","No"
"mogasaurus","q1712","Not really shy"
"mogasaurus","q27164","No"
"mogasaurus","q54695","Very clear."
"mogasaurus","q19897","I enjoy playing them"
"mogasaurus","q22021","Yes, it's somewhat important."
"mogasaurus","q32973","Yes, if it's not too strange."
"mogasaurus","q35955","Somewhat comfortable"
"mogasaurus","q18538","Yes, and I'm proud of it."
"mogasaurus","q37693","Yes, but I would not play that much."
"mogasaurus","q38173","Yes, often."
"mogasaurus","q50542","No."
"mogasaurus","q82566","Yes.  I need it to function."
"mogasaurus","q307","Yes"
"mogasaurus","q15414","Yes, I have used psychedelic drugs."
"mogasaurus","q17342","By 11pm"
"mogasaurus","q18711","No, but it sounds cool"
"mogasaurus","q21411","I love to argue!"
