"d_username","field","value"
"mpls4","d_age","32"
"mpls4","d_city","Minneapolis"
"mpls4","d_city","United States"
"mpls4","d_orientation","Bisexual"
"mpls4","d_gender","Woman"
"mpls4","d_relationship","Single"
"mpls4","d_languages","English"
"mpls4","d_drugs","No"
"mpls4","lf_location","near me"
"mpls4","lf_min_age","18"
"mpls4","lf_max_age","38"
"mpls4","lf_for","casual sex and new friends"
"mpls4","p_aggressive","98"
"mpls4","p_sexdrive","92"
"mpls4","p_conf","86"
"mpls4","p_adven","70"
"mpls4","p_sexperienced","68"
"mpls4","p_dominant","66"
"mpls4","p_kinky","56"
"mpls4","p_oldfash","-24"
"mpls4","p_roman","-56"
"mpls4","p_conservative","-64"
"mpls4","p_playful","-68"
"mpls4","p_wholesome","-88"
"mpls4","q48753","No."
"mpls4","q16371","Are hesitant, but would consider it."
"mpls4","q294","Having good sex"
"mpls4","q16317","No"
"mpls4","q42524","Yes."
"mpls4","q1618","No"
"mpls4","q12964","Yes"
"mpls4","q35203","Yes"
"mpls4","q17","Yes"
