"d_username","field","value"
"myeyesrblue","d_age","22"
"myeyesrblue","d_city","Portland"
"myeyesrblue","d_city","United States"
"myeyesrblue","d_orientation","Straight"
"myeyesrblue","d_orientation","Gay"
"myeyesrblue","d_orientation","Pansexual"
"myeyesrblue","d_orientation","Queer"
"myeyesrblue","d_relationship","Single"
"myeyesrblue","d_bodytype","Curvy"
"myeyesrblue","d_ethnicity","White"
"myeyesrblue","d_languages","English"
"myeyesrblue","d_education_phase","Dropped out of"
"myeyesrblue","d_education_type","High school"
"myeyesrblue","d_smokes","Sometimes"
"myeyesrblue","d_drinks","Socially"
"myeyesrblue","d_drugs","Sometimes"
"myeyesrblue","d_offspring_current","No kids"
"myeyesrblue","lf_min_age","20"
"myeyesrblue","lf_max_age","35"
"myeyesrblue","lf_for","new friends"
"myeyesrblue","p_aggressive","82"
"myeyesrblue","p_exp","78"
"myeyesrblue","p_drug","76"
"myeyesrblue","p_kinky","70"
"myeyesrblue","p_sexperienced","68"
"myeyesrblue","p_sexdrive","60"
"myeyesrblue","p_outgoing","52"
"myeyesrblue","p_polit","52"
"myeyesrblue","p_adven","50"
"myeyesrblue","p_spon","50"
"myeyesrblue","p_conf","44"
"myeyesrblue","p_thrift","32"
"myeyesrblue","p_sloppy","30"
"myeyesrblue","p_energetic","22"
"myeyesrblue","p_lit","16"
"myeyesrblue","p_indie","10"
"myeyesrblue","p_conservative","-60"
"myeyesrblue","p_wholesome","-64"
"myeyesrblue","p_oldfash","-72"
"myeyesrblue","p_law-abiding","-94"
"myeyesrblue","q594","No, some subjects should not be joked about."
"myeyesrblue","q65","Yes"
"myeyesrblue","q34113","No problem"
"myeyesrblue","q17","Yes"
"myeyesrblue","q136","No"
"myeyesrblue","q39185","book burning"
"myeyesrblue","q31821","Yes"
"myeyesrblue","q67754","More severe."
"myeyesrblue","q14","No"
"myeyesrblue","q612","No, creationism has no place in schools"
"myeyesrblue","q44384","It's all fine by me."
"myeyesrblue","q53965","Kill it."
"myeyesrblue","q70","No"
"myeyesrblue","q486","Welfare is mostly good"
"myeyesrblue","q9447","This question upsets me"
"myeyesrblue","q15752","Very important"
"myeyesrblue","q218","Yes, absolutely"
"myeyesrblue","q838","Yes"
"myeyesrblue","q887","Usually, yes."
"myeyesrblue","q27921","Less safe"
"myeyesrblue","q13","No"
"myeyesrblue","q39","Yes"
"myeyesrblue","q142","Yes"
"myeyesrblue","q175","No"
"myeyesrblue","q1446","Yes, solidarity is important"
"myeyesrblue","q18843","No"
"myeyesrblue","q37708","Acceptable."
"myeyesrblue","q39373","Rarely."
"myeyesrblue","q40288","Not at all."
"myeyesrblue","q46927","No."
"myeyesrblue","q154","No, it wouldn't."
"myeyesrblue","q214","No"
"myeyesrblue","q393","No"
"myeyesrblue","q29829","Whenever possible"
"myeyesrblue","q85835","Neither, they are equally bad."
"myeyesrblue","q171","Your world"
"myeyesrblue","q24125","No"
"myeyesrblue","q359387","Relative"
"myeyesrblue","q226","the right to bear arms"
"myeyesrblue","q341","Yes"
"myeyesrblue","q455","No"
"myeyesrblue","q18797","No, I'd trust them and that would be invasive."
"myeyesrblue","q86217","Yes."
"myeyesrblue","q71","No"
"myeyesrblue","q47764","Yes."
"myeyesrblue","q168","False"
"myeyesrblue","q19681","No"
"myeyesrblue","q46563","No."
"myeyesrblue","q74381","Yes."
"myeyesrblue","q60100","Yes"
"myeyesrblue","q39210","Yes, I am confident I have."
"myeyesrblue","q6542","Yes"
"myeyesrblue","q25107","Yes, to myself/with friends"
"myeyesrblue","q41","Not at all important"
"myeyesrblue","q62286","No."
"myeyesrblue","q156913","No"
"myeyesrblue","q210","No"
"myeyesrblue","q61786","No"
"myeyesrblue","q763","Yes"
"myeyesrblue","q48372","No"
"myeyesrblue","q15889","Science"
"myeyesrblue","q52789","Humans evolved from other species."
"myeyesrblue","q115","Yes"
"myeyesrblue","q411","Yes"
"myeyesrblue","q612","No, creationism has no place in schools"
"myeyesrblue","q65115","Yes."
"myeyesrblue","q47764","Yes."
"myeyesrblue","q5417","No"
"myeyesrblue","q80","I do drugs occasionally."
"myeyesrblue","q38824","Yes."
"myeyesrblue","q126","Shitty"
"myeyesrblue","q37693","No."
"myeyesrblue","q79","I smoke regularly."
"myeyesrblue","q997","Cats"
"myeyesrblue","q63","Social"
"myeyesrblue","q48328","Yes."
"myeyesrblue","q501","Yes"
"myeyesrblue","q62455","Yes."
"myeyesrblue","q26573","Yes"
"myeyesrblue","q53611","Frequently."
"myeyesrblue","q83646","No."
"myeyesrblue","q44354","I like to camp, but not long trips."
"myeyesrblue","q354","Yes"
"myeyesrblue","q365","A lot"
"myeyesrblue","q1119","Yes"
"myeyesrblue","q81","Sometimes"
"myeyesrblue","q56","Yes"
"myeyesrblue","q9688","Yes, but only soft stuff like marijuana"
"myeyesrblue","q18834","Expression"
"myeyesrblue","q20418","Sometimes"
"myeyesrblue","q33949","No / Don't Care"
"myeyesrblue","q286","Hardworking"
"myeyesrblue","q403","Yes"
"myeyesrblue","q15030","Books"
"myeyesrblue","q33170","Pretty Early (6:00ish - 9:30ish AM)"
"myeyesrblue","q36666","Language"
"myeyesrblue","q32973","Yes, if it's not too strange."
"myeyesrblue","q307","Yes"
"myeyesrblue","q1062","Usually daily. I skip some."
"myeyesrblue","q15839","Yes"
"myeyesrblue","q19011","No"
"myeyesrblue","q37765","From once a month to once a week."
"myeyesrblue","q43261","I am my own person."
"myeyesrblue","q87","No"
"myeyesrblue","q338","I'm more mature"
"myeyesrblue","q13006","Yes"
"myeyesrblue","q15414","Yes, I have used psychedelic drugs."
"myeyesrblue","q16269","Sometimes"
"myeyesrblue","q18609","Yes, I'm a culinary genius."
"myeyesrblue","q62254","Yes."
"myeyesrblue","q553","No"
"myeyesrblue","q85327","Yes, once in a while."
"myeyesrblue","q212814","Very important"
"myeyesrblue","q1122","Often"
"myeyesrblue","q8155","Once every month or three."
"myeyesrblue","q17778","Not usually, but some beers I won't touch."
"myeyesrblue","q23834","Yes"
"myeyesrblue","q40319","Yes."
"myeyesrblue","q66165","Daylight."
"myeyesrblue","q212813","Liberal / Left-wing"
"myeyesrblue","q358077","Yes"
"myeyesrblue","q49","Carefree"
"myeyesrblue","q158","Yes"
"myeyesrblue","q325","Yes"
"myeyesrblue","q13136","Somewhat Important"
"myeyesrblue","q18759","Usually"
"myeyesrblue","q19449","Yes, I love it"
"myeyesrblue","q42120","Yes, but only with family or close friends."
"myeyesrblue","q42776","Rifle / carbine / pistol / shotgun."
"myeyesrblue","q48325","Somewhat important."
"myeyesrblue","q60318","Yes."
"myeyesrblue","q458565","Yes"
"myeyesrblue","q78","Yes"
"myeyesrblue","q7060","Yes"
"myeyesrblue","q27164","No"
"myeyesrblue","q32657","Maybe, but only if it seemed cool"
"myeyesrblue","q221105","I'm a somewhat active user."
"myeyesrblue","q1112","Yes"
"myeyesrblue","q21411","Sometimes."
"myeyesrblue","q35778","Yes."
"myeyesrblue","q40441","Maybe a little bit."
"myeyesrblue","q54695","Somewhat clear."
"myeyesrblue","q434","Yes"
