"d_username","field","value"
"penumbrae","d_age","29"
"penumbrae","d_city","Leeds"
"penumbrae","d_city","United Kingdom"
"penumbrae","d_orientation","Bisexual"
"penumbrae","d_gender","Woman"
"penumbrae","d_relationship","Single"
"penumbrae","d_bodytype","Used up"
"penumbrae","d_ethnicity","White"
"penumbrae","d_languages","English"
"penumbrae","d_education_phase","Working on"
"penumbrae","d_education_type","Post grad"
"penumbrae","d_smokes","Sometimes"
"penumbrae","d_drinks","Often"
"penumbrae","d_offspring_current","No kids"
"penumbrae","d_offspring_desires","Doesn't want kids"
"penumbrae","lf_location","near me"
"penumbrae","lf_min_age","21"
"penumbrae","lf_max_age","35"
"penumbrae","lf_for","short & long term dating and new friends"
"penumbrae","p_inde","80"
"penumbrae","p_rational","80"
"penumbrae","p_kinky","70"
"penumbrae","p_aggressive","50"
"penumbrae","p_trusting","50"
"penumbrae","p_math","30"
"penumbrae","p_scien","18"
"penumbrae","p_sexdrive","18"
"penumbrae","p_adven","14"
"penumbrae","p_ambi","10"
"penumbrae","p_oldfash","-12"
"penumbrae","p_sprit","-16"
"penumbrae","p_wholesome","-36"
"penumbrae","p_conservative","-44"
"penumbrae","p_roman","-50"
"penumbrae","p_thrift","-64"
"penumbrae","p_opti","-74"
"penumbrae","p_good-natured","-86"
"penumbrae","q18125","Yes"
"penumbrae","q45598","Often."
"penumbrae","q45733","Treat others as best benefits me."
"penumbrae","q18576","Is necessary."
"penumbrae","q20161","I don't care"
"penumbrae","q12221","Yes"
"penumbrae","q152","No"
"penumbrae","q22566","Will I get what I want?"
"penumbrae","q291","No"
"penumbrae","q9379","Yes, why not?"
"penumbrae","q13054","I oppose the laws"
"penumbrae","q154","Yes, it would."
"penumbrae","q7785","Yes"
"penumbrae","q20298","Neither"
"penumbrae","q213","Yes"
"penumbrae","q86761","Yes."
"penumbrae","q38072","Only if they were inaccurate."
"penumbrae","q19215","Not sure"
"penumbrae","q284","No"
"penumbrae","q678","I don't know"
"penumbrae","q12637","No"
"penumbrae","q18843","Yes"
"penumbrae","q19885","Yes"
"penumbrae","q42329","Yes"
"penumbrae","q85954","No, some species have more rights than others."
"penumbrae","q85900","Call the police."
"penumbrae","q393","Yes"
"penumbrae","q24469","Yes"
"penumbrae","q49467","I could not care less."
"penumbrae","q57694","Yes."
"penumbrae","q65","No"
"penumbrae","q25421","None of these would."
"penumbrae","q53965","Kill it."
"penumbrae","q191","Yes"
"penumbrae","q136","No"
"penumbrae","q16362","I'm Not Sure"
"penumbrae","q20016","... necessary, but it's just not for me."
"penumbrae","q21523","I'm Not Sure"
"penumbrae","q1446","It depends on the kind of suffering"
"penumbrae","q55355","No."
"penumbrae","q400","Yes"
"penumbrae","q38492","Yes."
"penumbrae","q137","It depends on the severity"
"penumbrae","q594","Yes, anything can be funny in the right light."
"penumbrae","q18525","yes, it's the natural order of things"
"penumbrae","q66548","It's ok as long as it isn't every other word."
"penumbrae","q116","Yes"
"penumbrae","q15752","Very important"
"penumbrae","q18882","Keep moving, but feel bad about it."
"penumbrae","q19776","Before 10"
"penumbrae","q1129","Refuse politely"
"penumbrae","q18781","Yes"
"penumbrae","q26204","Abort it"
"penumbrae","q48947","No."
"penumbrae","q85879","Telepathy (thought-reading)."
"penumbrae","q39","Yes"
"penumbrae","q8186","No"
"penumbrae","q15695","Yes, but it has nothing to do with God"
"penumbrae","q18979","No, I'd confront them."
"penumbrae","q29829","Whenever possible"
"penumbrae","q35611","Nothing, it was their mistake."
"penumbrae","q61487","This would not influence my vote."
"penumbrae","q81866","It wouldn't matter to me at all."
"penumbrae","q70","No"
"penumbrae","q142","Yes"
"penumbrae","q612","No, creationism has no place in schools"
"penumbrae","q1832","Women"
"penumbrae","q9447","Fewer stupid people"
"penumbrae","q39185","book burning"
"penumbrae","q17","No"
"penumbrae","q175","No"
"penumbrae","q180","No"
"penumbrae","q487","No"
"penumbrae","q838","Yes"
"penumbrae","q9460","Yes"
"penumbrae","q20818","Maybe. It depends on the issue."
"penumbrae","q27921","Less safe"
"penumbrae","q39147","Yes."
"penumbrae","q54871","No."
"penumbrae","q218","Yes, only if it were regulated"
"penumbrae","q455","No"
"penumbrae","q887","Usually, yes."
"penumbrae","q8205","Endangered creature"
"penumbrae","q22965","The enviroment"
"penumbrae","q1250","Yes"
"penumbrae","q18797","No, I'd trust them and that would be invasive."
"penumbrae","q31877","Unnecessary but appreciated."
"penumbrae","q34656","Yes"
"penumbrae","q39373","Rarely."
"penumbrae","q55981","Yes."
"penumbrae","q486","Welfare is mostly good"
"penumbrae","q18814","Yes"
"penumbrae","q19828","No, that's theirs to open."
"penumbrae","q25809","Only with probable cause."
"penumbrae","q29211","No, it's not as bad."
"penumbrae","q36790","Yes, unless I am otherwise in a hurry."
"penumbrae","q46927","No."
"penumbrae","q359387","Relative"
"penumbrae","q166","To the left (democrat in the US)"
"penumbrae","q171","Your world"
"penumbrae","q15037","No"
"penumbrae","q15876","Yes"
"penumbrae","q17017","Never"
"penumbrae","q18858","Completely free"
"penumbrae","q19928","NO WAY!"
"penumbrae","q20672","Can't compare. Values are relative. / Don't know"
"penumbrae","q26684","No"
"penumbrae","q36679","Yes."
"penumbrae","q44384","It's all fine by me."
"penumbrae","q53312","Weapons."
"penumbrae","q61830","No."
"penumbrae","q86699","Yes, but only if certain criteria are met."
"penumbrae","q226","the right to bear arms"
"penumbrae","q229","No"
"penumbrae","q262","False"
"penumbrae","q341","Yes"
"penumbrae","q386","Call the police"
"penumbrae","q872","Freedom"
"penumbrae","q1447","No"
"penumbrae","q8199","Yes"
"penumbrae","q15878","Yes"
"penumbrae","q33349","No"
"penumbrae","q37314","More and better implemented social programs"
"penumbrae","q42062","No"
"penumbrae","q44854","Yes."
"penumbrae","q46563","No."
"penumbrae","q51774","I approve of hunting for food only."
"penumbrae","q70582","Yes."
"penumbrae","q395","Yes"
"penumbrae","q2781","Yes"
"penumbrae","q8866","No"
"penumbrae","q15312","No"
"penumbrae","q19748","I have no problem with them. You go girls!"
"penumbrae","q20851","Our responsibility."
"penumbrae","q24125","No"
"penumbrae","q36804","Cheating on a partner."
"penumbrae","q40570","Truthful"
"penumbrae","q47764","Yes."
"penumbrae","q53858","Yes.  I hope it does."
"penumbrae","q86217","Yes."
"penumbrae","q71","No"
"penumbrae","q168","False"
"penumbrae","q1153","Accepted as free expression"
"penumbrae","q26144","No"
"penumbrae","q37708","Acceptable."
"penumbrae","q46485","No."
"penumbrae","q47589","I don't . I'm as friendly (or not) as always."
"penumbrae","q67754","Equally severe."
"penumbrae","q172","No"
"penumbrae","q19813","Live and let live"
"penumbrae","q40279","Call the police immediately."
"penumbrae","q65447","Yes."
"penumbrae","q7248","Teacher"
"penumbrae","q8142","Yes"
"penumbrae","q23472","No"
"penumbrae","q51924","Yes."
"penumbrae","q52719","Yes, for everyone."
"penumbrae","q76533","No."
"penumbrae","q115","No"
"penumbrae","q39210","No, I do not believe this is possible."
"penumbrae","q48664","Yes."
"penumbrae","q46894","No."
"penumbrae","q54128","No."
"penumbrae","q20408","No, but I do practice one/some of these."
"penumbrae","q6347","No"
"penumbrae","q6835","No"
"penumbrae","q45","No"
"penumbrae","q986","No"
"penumbrae","q24740","No"
"penumbrae","q6542","No"
"penumbrae","q43509","No."
"penumbrae","q53509","I think it's a load of crap."
"penumbrae","q6354","No"
"penumbrae","q25107","Yes, to myself/with friends"
"penumbrae","q13032","Only if he/she was non-practicing"
"penumbrae","q38710","No."
"penumbrae","q210","No"
"penumbrae","q6640","No"
"penumbrae","q16301","Yes"
"penumbrae","q61786","No"
"penumbrae","q83106","Yes."
"penumbrae","q41","Not at all important"
"penumbrae","q9549","Hell"
"penumbrae","q656","Worse"
"penumbrae","q15889","Science"
"penumbrae","q48372","No"
"penumbrae","q156913","No"
"penumbrae","q763","Yes"
"penumbrae","q18714","Logic/Reason"
"penumbrae","q35281","Myself"
"penumbrae","q52789","Humans evolved from other species."
"penumbrae","q60100","No"
"penumbrae","q63068","Zero."
"penumbrae","q44","False"
"penumbrae","q34641","Yes"
"penumbrae","q40007","Share the truth regardless of what it is."
"penumbrae","q42","No"
"penumbrae","q18708","A method one can follow to make predictions."
"penumbrae","q35137","Yes"
"penumbrae","q36342","We would educate our child to make its own choice."
"penumbrae","q411","Yes"
"penumbrae","q13033","Yes"
"penumbrae","q47960","The novel."
"penumbrae","q193","No"
"penumbrae","q52170","No."
"penumbrae","q26354","New religions/religious groups would take shape"
"penumbrae","q156916","No"
"penumbrae","q156918","No"
"penumbrae","q72228","No."
"penumbrae","q156914","No"
"penumbrae","q156915","No"
"penumbrae","q612","No, creationism has no place in schools"
"penumbrae","q15695","Yes, but it has nothing to do with God"
"penumbrae","q70135","Neither would bother me at all."
"penumbrae","q15876","Yes"
"penumbrae","q47764","Yes."
"penumbrae","q26841","Less than average / Never"
"penumbrae","q18547","Gross!"
"penumbrae","q28549","Yes, if it's mine."
"penumbrae","q16862","Ugly"
"penumbrae","q9693","Yes / Usually"
"penumbrae","q6021","I don't feel much of either"
"penumbrae","q16535","No"
"penumbrae","q60872","By all means, please find a good taxidermist."
"penumbrae","q60","Cool-headed"
"penumbrae","q18789","Son"
"penumbrae","q19221","It's a good way to start your career"
"penumbrae","q27794","No"
"penumbrae","q32632","I don't have/use a microwave"
"penumbrae","q428","Yes"
"penumbrae","q18928","Yes!"
"penumbrae","q19148","No"
"penumbrae","q19484","Every day"
"penumbrae","q41113","Yes."
"penumbrae","q20240","Poor"
"penumbrae","q81861","Fantasy."
"penumbrae","q274","Graduate School"
"penumbrae","q15743","Extremely hesitant"
"penumbrae","q29032","Logical / Mathematical"
"penumbrae","q37936","I'm not sure."
"penumbrae","q35520","Yes."
"penumbrae","q36058","I'm Not Sure"
"penumbrae","q56145","More negative than positive."
"penumbrae","q19265","Necessary"
"penumbrae","q46218","No."
"penumbrae","q60184","Do nothing other than avoid him."
"penumbrae","q51","No"
"penumbrae","q391","Yes"
"penumbrae","q17390","No"
"penumbrae","q18729","Quite a bit"
"penumbrae","q23193","Others"
"penumbrae","q23301","No, not at all"
"penumbrae","q27477","No"
"penumbrae","q60826","Just a little bit."
"penumbrae","q246","Confrontational"
"penumbrae","q321","No"
"penumbrae","q48479","I do if I'm serving other people."
"penumbrae","q7040","The cat's feet are out of the bag."
"penumbrae","q1495","Friends"
"penumbrae","q20196","1900-1945ish (Modern)"
"penumbrae","q35990","No"
"penumbrae","q71660","Negatively."
"penumbrae","q110","Yes"
"penumbrae","q73389","No."
"penumbrae","q19100","No"
"penumbrae","q1290","No"
"penumbrae","q15698","They're okay, but keep the unruly ones at bay."
"penumbrae","q47649","No."
"penumbrae","q388","Hate"
"penumbrae","q438","Yes"
"penumbrae","q1287","No"
"penumbrae","q17354","Overrated"
"penumbrae","q34255","I Don't Mind"
"penumbrae","q42844","No, I use the same standards as for myself."
"penumbrae","q43727","It depends on which partner."
"penumbrae","q85238","All of the time."
"penumbrae","q46","Good"
"penumbrae","q15749","No"
"penumbrae","q18169","I got in trouble all the time."
"penumbrae","q49094","Representational."
"penumbrae","q53299","Private."
