"d_username","field","value"
"regretnoregret","d_age","30"
"regretnoregret","d_city","Helsinki"
"regretnoregret","d_city","Finland"
"regretnoregret","d_orientation","Bisexual"
"regretnoregret","d_gender","Woman"
"regretnoregret","d_relationship","Single"
"regretnoregret","d_ethnicity","White"
"regretnoregret","d_languages","English"
"regretnoregret","d_smokes","Sometimes"
"regretnoregret","d_drinks","Often"
"regretnoregret","d_offspring_desires","Doesn't want kids"
"regretnoregret","lf_min_age","18"
"regretnoregret","lf_max_age","45"
"regretnoregret","lf_for","short & long term datin"
"regretnoregret","p_inde","98"
"regretnoregret","p_artsy","92"
"regretnoregret","p_kinky","90"
"regretnoregret","p_sexdrive","84"
"regretnoregret","p_trusting","78"
"regretnoregret","p_spon","74"
"regretnoregret","p_scien","26"
"regretnoregret","p_sexperienced","22"
"regretnoregret","p_lit","-12"
"regretnoregret","p_friendly","-14"
"regretnoregret","p_good-natured","-14"
"regretnoregret","p_sprit","-32"
"regretnoregret","p_opti","-44"
"regretnoregret","p_oldfash","-62"
"regretnoregret","p_ambi","-72"
"regretnoregret","p_wholesome","-72"
"regretnoregret","p_conservative","-72"
"regretnoregret","q84366","Maybe."
"regretnoregret","q15695","I dont know"
"regretnoregret","q42329","Yes"
"regretnoregret","q85315","No."
"regretnoregret","q16","No"
"regretnoregret","q137","Yes"
"regretnoregret","q1153","Embraced as an art form"
"regretnoregret","q136","No"
"regretnoregret","q20818","Yes, life is a big gray area anyway."
"regretnoregret","q165","Yes"
"regretnoregret","q594","Yes, anything can be funny in the right light."
"regretnoregret","q17017","Rarely"
"regretnoregret","q393","No"
"regretnoregret","q838","Yes"
"regretnoregret","q39185","book burning"
"regretnoregret","q169","Yes"
"regretnoregret","q175","No"
"regretnoregret","q70","No"
"regretnoregret","q455","No"
"regretnoregret","q15752","Very important"
"regretnoregret","q19290","No, violence solves nothing"
"regretnoregret","q81866","It wouldn't matter to me at all."
"regretnoregret","q65","Yes"
"regretnoregret","q191","No"
"regretnoregret","q9447","This question upsets me"
"regretnoregret","q18125","No"
"regretnoregret","q340","No"
"regretnoregret","q29829","Whenever possible"
"regretnoregret","q612","No, creationism has no place in schools"
"regretnoregret","q18797","No, I'd trust them and that would be invasive."
"regretnoregret","q13","No"
"regretnoregret","q14","No"
"regretnoregret","q154","No, it wouldn't."
"regretnoregret","q213","No"
"regretnoregret","q18843","No"
"regretnoregret","q18858","Completely free"
"regretnoregret","q19748","I have no problem with them. You go girls!"
"regretnoregret","q25421","Abortion"
"regretnoregret","q37708","Acceptable."
"regretnoregret","q44384","It's all fine by me."
"regretnoregret","q226","the right to bear arms"
"regretnoregret","q279","No"
"regretnoregret","q18299","No"
"regretnoregret","q8142","Yes"
"regretnoregret","q15876","Yes"
"regretnoregret","q71","No"
"regretnoregret","q19681","No"
"regretnoregret","q19928","NO WAY!"
"regretnoregret","q166","To the left (democrat in the US)"
"regretnoregret","q172","No"
"regretnoregret","q13095","Always"
"regretnoregret","q963","No"
"regretnoregret","q16317","Yes"
"regretnoregret","q1132","Yes"
"regretnoregret","q29","do the tying"
"regretnoregret","q63165","I'd think nothing of it."
