"d_username","field","value"
"rozzistarmeow","d_age","29"
"rozzistarmeow","d_city","Round Hill"
"rozzistarmeow","d_city","United States"
"rozzistarmeow","d_orientation","Straight"
"rozzistarmeow","d_orientation","Questioning"
"rozzistarmeow","d_gender","Woman"
"rozzistarmeow","d_relationship","Single"
"rozzistarmeow","d_bodytype","Thin"
"rozzistarmeow","d_ethnicity","Multi-ethnic"
"rozzistarmeow","d_languages","English and some Spanish"
"rozzistarmeow","d_education_phase","Working on"
"rozzistarmeow","d_education_type","University"
"rozzistarmeow","d_smokes","Never"
"rozzistarmeow","d_drinks","Socially"
"rozzistarmeow","d_offspring_current","No kids"
"rozzistarmeow","d_offspring_desires","Doesn't want kids"
"rozzistarmeow","lf_single","single"
"rozzistarmeow","lf_location","near me"
"rozzistarmeow","lf_min_age","22"
"rozzistarmeow","lf_max_age","40"
"rozzistarmeow","lf_for","long-term dating and new friends"
"rozzistarmeow","p_spon","96"
"rozzistarmeow","p_artsy","94"
"rozzistarmeow","p_energetic","88"
"rozzistarmeow","p_aggressive","74"
"rozzistarmeow","p_adven","72"
"rozzistarmeow","p_sloppy","68"
"rozzistarmeow","p_indie","64"
"rozzistarmeow","p_exp","32"
"rozzistarmeow","p_lit","30"
"rozzistarmeow","p_inde","28"
"rozzistarmeow","p_nerdy","26"
"rozzistarmeow","p_outgoing","24"
"rozzistarmeow","p_friendly","-26"
"rozzistarmeow","p_sexdrive","-36"
"rozzistarmeow","p_playful","-50"
"rozzistarmeow","p_conservative","-60"
"rozzistarmeow","q49054","It's all acceptable - It goes with the territory."
"rozzistarmeow","q85879","Precognition (predict the future)."
"rozzistarmeow","q47589","I ask them if I can join in."
"rozzistarmeow","q18781","No"
"rozzistarmeow","q29829","Always"
"rozzistarmeow","q594","Yes, anything can be funny in the right light."
"rozzistarmeow","q18776","Yes"
"rozzistarmeow","q31877","Admirable and desirable. Chivalry's not dead."
"rozzistarmeow","q34113","It's okay, if it is not abused"
"rozzistarmeow","q45598","Sometimes."
"rozzistarmeow","q39185","book burning"
"rozzistarmeow","q8199","Yes"
"rozzistarmeow","q55981","Yes."
"rozzistarmeow","q1153","Accepted as free expression"
"rozzistarmeow","q9447","This question upsets me"
"rozzistarmeow","q66548","It doesn't bother me at all."
"rozzistarmeow","q85835","Neither, they are equally bad."
"rozzistarmeow","q175","No"
"rozzistarmeow","q340","No"
"rozzistarmeow","q868","Sometimes"
"rozzistarmeow","q872","Freedom"
"rozzistarmeow","q8218","No"
"rozzistarmeow","q36679","Yes."
"rozzistarmeow","q564","Yes"
"rozzistarmeow","q1129","Give them some loose change."
"rozzistarmeow","q71","No"
"rozzistarmeow","q226","the right to bear arms"
"rozzistarmeow","q18858","Completely free"
"rozzistarmeow","q28685","No"
"rozzistarmeow","q44384","It's all fine by me."
"rozzistarmeow","q53312","Weapons."
"rozzistarmeow","q15876","Yes"
"rozzistarmeow","q54450","Yes."
"rozzistarmeow","q70","No"
"rozzistarmeow","q17017","Never"
"rozzistarmeow","q37314","More and better implemented social programs"
"rozzistarmeow","q46927","No."
"rozzistarmeow","q18555","Yes"
"rozzistarmeow","q59038","Yes."
"rozzistarmeow","q341","Yes"
"rozzistarmeow","q19748","I have no problem with them. You go girls!"
"rozzistarmeow","q37708","Acceptable."
"rozzistarmeow","q59110","No."
"rozzistarmeow","q47764","Yes."
"rozzistarmeow","q51998","Positive."
"rozzistarmeow","q229","No"
"rozzistarmeow","q24125","No"
"rozzistarmeow","q74381","Yes."
"rozzistarmeow","q1132","Yes"
"rozzistarmeow","q57101","Art."
"rozzistarmeow","q1597","No"
"rozzistarmeow","q16317","No"
"rozzistarmeow","q35","Love"
"rozzistarmeow","q15478","Yes"
"rozzistarmeow","q30","Yes, some"
"rozzistarmeow","q70135","Neither would bother me at all."
"rozzistarmeow","q12832","No"
"rozzistarmeow","q29843","No, non-sexual is fine."
"rozzistarmeow","q9628","Yes"
"rozzistarmeow","q72318","Yes."
"rozzistarmeow","q1436","Yes"
"rozzistarmeow","q8218","No"
"rozzistarmeow","q53312","Weapons."
"rozzistarmeow","q24125","No"
"rozzistarmeow","q19915","Yes, I love the Tao Te Ching."
"rozzistarmeow","q15889","Equally in both"
"rozzistarmeow","q41","Not very important"
"rozzistarmeow","q83106","Yes."
"rozzistarmeow","q21729","I don't know/care."
"rozzistarmeow","q411","Yes"
"rozzistarmeow","q70135","Neither would bother me at all."
"rozzistarmeow","q15876","Yes"
"rozzistarmeow","q47764","Yes."
"rozzistarmeow","q71315","Yes.  I can't sleep without it."
"rozzistarmeow","q997","Cats"
"rozzistarmeow","q52936","Yes."
"rozzistarmeow","q49432","Yes."
"rozzistarmeow","q88","I'm very messy"
"rozzistarmeow","q234","A lot"
"rozzistarmeow","q24282","Somewhat inclined"
"rozzistarmeow","q35906","I never borrow money."
"rozzistarmeow","q62455","Yes."
"rozzistarmeow","q17778","Yes"
"rozzistarmeow","q85590","No."
"rozzistarmeow","q19815","Yes, I wouldn't be able to tolerate that."
"rozzistarmeow","q35862","A cold room"
"rozzistarmeow","q26573","Sometimes"
"rozzistarmeow","q95","Yes"
"rozzistarmeow","q157","Yes"
"rozzistarmeow","q553","No"
"rozzistarmeow","q79","I smoke occasionally."
"rozzistarmeow","q185","Yes"
"rozzistarmeow","q417","Yes"
"rozzistarmeow","q494","Yes"
"rozzistarmeow","q18857","8+"
"rozzistarmeow","q307","Yes"
"rozzistarmeow","q37695","Yes - Every chance I get."
"rozzistarmeow","q42918","Loud or louder."
"rozzistarmeow","q81","Sometimes"
"rozzistarmeow","q1640","Chaos"
"rozzistarmeow","q1730","Yes"
"rozzistarmeow","q20418","Yes"
"rozzistarmeow","q34517","Yes"
"rozzistarmeow","q410","Yes"
"rozzistarmeow","q1062","Usually daily. I skip some."
"rozzistarmeow","q15839","Yes"
"rozzistarmeow","q34149","No, I should've been born in the recent past."
"rozzistarmeow","q48325","Very important."
