"d_username","field","value"
"sag_1","d_age","46"
"sag_1","d_city","Pocatello"
"sag_1","d_city","United States"
"sag_1","d_orientation","Bisexual"
"sag_1","d_gender","Woman"
"sag_1","d_relationship","Single"
"sag_1","d_bodytype","Curvy"
"sag_1","d_ethnicity","White"
"sag_1","d_languages","English"
"sag_1","d_education_phase","Working on"
"sag_1","d_education_type","space camp"
"sag_1","d_smokes","Regularly"
"sag_1","d_drinks","Socially"
"sag_1","d_drugs","Sometimes"
"sag_1","lf_min_age","35"
"sag_1","lf_max_age","70"
"sag_1","lf_for","short & long term dating and new friends"
"sag_1","p_spon","80"
"sag_1","p_energetic","60"
"sag_1","p_trusting","56"
"sag_1","p_artsy","54"
"sag_1","p_playful","38"
"sag_1","p_drug","28"
"sag_1","p_exp","22"
"sag_1","p_ambi","16"
"sag_1","p_wholesome","-12"
"sag_1","p_sexdrive","-28"
"sag_1","q18858","Only say what the dictator wants!"
"sag_1","q612","No, evolution has no place in schools"
"sag_1","q25809","Yes."
"sag_1","q27921","More safe"
"sag_1","q594","No, some subjects should not be joked about."
"sag_1","q17017","Rarely"
"sag_1","q85835","Starving children."
"sag_1","q31877","Admirable and desirable. Chivalry's not dead."
"sag_1","q65","Yes"
"sag_1","q15695","No, we are just animals"
"sag_1","q393","No"
"sag_1","q9447","Fewer stupid people"
"sag_1","q29829","Whenever possible"
"sag_1","q154","No, it wouldn't."
"sag_1","q175","No"
"sag_1","q340","No"
"sag_1","q455","No"
"sag_1","q39185","book burning"
"sag_1","q66548","It's ok as long as it isn't every other word."
"sag_1","q70","No"
"sag_1","q44384","It's all fine by me."
"sag_1","q46536","Very important."
"sag_1","q838","Yes"
"sag_1","q18797","No, I'd trust them and that would be invasive."
"sag_1","q19748","I have no problem with them. You go girls!"
"sag_1","q24125","No"
"sag_1","q18763","Yes, I always try to do the right thing."
"sag_1","q18299","No"
"sag_1","q37708","Acceptable."
"sag_1","q341","Yes"
"sag_1","q46927","No."
"sag_1","q30169","Not so much."
"sag_1","q1028","I'm a virgin"
"sag_1","q20889","It's beautiful."
"sag_1","q12560","No"
"sag_1","q49345","No."
"sag_1","q12605","About every other day"
"sag_1","q35355","I'm open, but I don't get too crazy."
"sag_1","q18530","Yes"
"sag_1","q32","I have tried it."
"sag_1","q12964","Yes"
"sag_1","q29384","Yes."
"sag_1","q35","Love"
"sag_1","q30903","Yes"
"sag_1","q1132","No"
"sag_1","q24375","3-5 dates"
"sag_1","q27341","Aroused"
"sag_1","q30","Yes, some"
"sag_1","q665","Bring out the toys!"
"sag_1","q23993","Moderately experienced"
"sag_1","q324","I disagree."
"sag_1","q637","Yes"
"sag_1","q14913","No"
"sag_1","q1401","Yes, and I enjoyed myself."
"sag_1","q60726","Yes."
"sag_1","q393","No"
"sag_1","q24125","No"
"sag_1","q18299","No"
"sag_1","q52789","Humans were brought to Earth from the stars."
"sag_1","q210","Yes"
"sag_1","q41","Somewhat important"
"sag_1","q25107","Yes, to myself/with friends"
"sag_1","q156917","No"
"sag_1","q21729","Sure"
"sag_1","q61786","No"
"sag_1","q411","Yes"
"sag_1","q763","Yes"
"sag_1","q35281","Myself"
"sag_1","q156913","No"
"sag_1","q44","False"
"sag_1","q60100","No"
"sag_1","q612","No, evolution has no place in schools"
"sag_1","q15695","No, we are just animals"
"sag_1","q55","Yes"
"sag_1","q48328","Yes."
"sag_1","q46403","No."
"sag_1","q40441","Yes."
"sag_1","q442","Good"
"sag_1","q403","Yes"
"sag_1","q325","Yes"
"sag_1","q501","Yes"
"sag_1","q441","Yes"
"sag_1","q19815","Somewhat, but it's their life."
"sag_1","q15746","No"
"sag_1","q1112","Yes"
"sag_1","q9688","Yes, but only soft stuff like marijuana"
"sag_1","q22021","Yes, it's somewhat important."
"sag_1","q23618","Sort of - I need friends outside of my partner"
"sag_1","q23954","Sometimes"
"sag_1","q37693","Yes, I'd be playing with them."
"sag_1","q56014","More than one-half."
"sag_1","q358077","No"
"sag_1","q87","No"
"sag_1","q15030","Music"
"sag_1","q23834","No"
"sag_1","q49","Carefree"
"sag_1","q79","I smoked in the past, but no longer."
"sag_1","q12796","Yes"
"sag_1","q18834","Expression"
"sag_1","q21411","I love to argue!"
"sag_1","q997","Both"
"sag_1","q12970","Twice or more a day"
"sag_1","q13006","Yes"
"sag_1","q158","Yes"
"sag_1","q318","Somewhat important"
"sag_1","q1062","At least once a day."
"sag_1","q62254","Yes."
"sag_1","q220","No"
"sag_1","q401","Yes"
"sag_1","q553","Yes"
"sag_1","q1212","Yes, I would love (or do own) a dog."
"sag_1","q6867","Yes"
"sag_1","q27164","No"
"sag_1","q43261","I consider their opinion but go my own way."
"sag_1","q44639","Yes"
"sag_1","q221105","I'm a somewhat active user."
"sag_1","q434","Yes"
"sag_1","q512","Yes"
"sag_1","q62455","No."
"sag_1","q48","Weird"
"sag_1","q436","Yes"
"sag_1","q24282","Very inclined"
"sag_1","q426","Yes"
"sag_1","q1766","Yes"
"sag_1","q83547","Very important."
"sag_1","q179268","No"
"sag_1","q94","Yes"
"sag_1","q85962","I pair them before I put them away."
"sag_1","q74","Food"
"sag_1","q15744","Yes"
"sag_1","q17017","Rarely"
"sag_1","q763","Yes"
"sag_1","q9668","Submissive"
"sag_1","q16295","Creepy"
"sag_1","q106","Yes"
"sag_1","q165644","No physical attraction"
"sag_1","q46856","Simple"
"sag_1","q979","3-4"
"sag_1","q59426","When I was certain the relationship was ending."
"sag_1","q15280","Yes"
"sag_1","q48649","Yes."
"sag_1","q48753","Sometimes - It depends."
"sag_1","q1100","Yes"
"sag_1","q20778","stands back, but comforts you if you fail"
"sag_1","q69429","No."
"sag_1","q31581","Sure, no problem."
"sag_1","q20135","I love it and want it very much"
"sag_1","q52827","Yes to both"
"sag_1","q149","Passion"
"sag_1","q16053","Totally willing!"
"sag_1","q18875","Very damn important"
"sag_1","q29859","Celebrate and get married"
"sag_1","q44540","No - This would not bother me."
"sag_1","q20021","Someone to come home to"
"sag_1","q41850","Very important."
"sag_1","q1185","Yes"
"sag_1","q16371","Accept / Are open to non-monogamous relationships."
"sag_1","q19378","Actions: Do something nice (like a date or errand)"
"sag_1","q308","Yes"
"sag_1","q23338","Sit and watch to figure out why they like it."
"sag_1","q70218","Favorably."
"sag_1","q122","A little"
"sag_1","q20519","Sure. I'm interested in sharing our beliefs."
"sag_1","q38115","Yes."
"sag_1","q60843","I would want them to make their own decision."
"sag_1","q23543","Yes, unless otherwise specified"
"sag_1","q52682","No."
"sag_1","q80041","No"
"sag_1","q1815","Yes"
"sag_1","q30207","No, it's fine."
"sag_1","q40194","Somewhat important."
"sag_1","q40650","Sometimes, but not too much."
"sag_1","q605","No"
"sag_1","q1440","No"
"sag_1","q18692","No"
"sag_1","q28386","I am the same way"
"sag_1","q27239","Scary"
"sag_1","q527","No"
"sag_1","q55744","This would not be an important factor to me."
"sag_1","q57381","No."
"sag_1","q19874","12+ months"
