"d_username","field","value"
"sexyseniorrr","d_age","18"
"sexyseniorrr","d_city","Beverly Hills"
"sexyseniorrr","d_city","United States"
"sexyseniorrr","d_orientation","Bisexual"
"sexyseniorrr","d_gender","Woman"
"sexyseniorrr","d_relationship","Single"
"sexyseniorrr","d_bodytype","Thin"
"sexyseniorrr","d_ethnicity","White"
"sexyseniorrr","d_languages","English"
"sexyseniorrr","d_smokes","Sometimes"
"sexyseniorrr","d_drinks","Often"
"sexyseniorrr","d_drugs","Sometimes"
"sexyseniorrr","lf_min_age","18"
"sexyseniorrr","lf_max_age","35"
"sexyseniorrr","lf_for","short & long term dating and new friends"
"sexyseniorrr","p_aggressive","98"
"sexyseniorrr","p_kinky","96"
"sexyseniorrr","p_sexperienced","92"
"sexyseniorrr","p_athletic","82"
"sexyseniorrr","p_ambi","76"
"sexyseniorrr","p_exp","76"
"sexyseniorrr","p_spon","76"
"sexyseniorrr","p_sexdrive","74"
"sexyseniorrr","p_adven","68"
"sexyseniorrr","p_drug","66"
"sexyseniorrr","p_inde","62"
"sexyseniorrr","p_sloppy","50"
"sexyseniorrr","p_conf","38"
"sexyseniorrr","p_rational","26"
"sexyseniorrr","p_trusting","20"
"sexyseniorrr","p_math","14"
"sexyseniorrr","p_polit","-20"
"sexyseniorrr","p_outgoing","-28"
"sexyseniorrr","p_polite","-32"
"sexyseniorrr","p_conservative","-34"
"sexyseniorrr","p_friendly","-46"
"sexyseniorrr","p_wholesome","-76"
"sexyseniorrr","p_organized","-84"
"sexyseniorrr","p_roman","-86"
"sexyseniorrr","p_suave","-98"
"sexyseniorrr","p_good-natured","-100"
"sexyseniorrr","q70","Yes"
"sexyseniorrr","q9447","Fewer ugly people"
"sexyseniorrr","q1446","No, everyone has their own responsibility"
"sexyseniorrr","q46927","Yes."
"sexyseniorrr","q39373","Very often."
"sexyseniorrr","q85835","Abused animals."
"sexyseniorrr","q486","Welfare is mostly bad"
"sexyseniorrr","q9379","Yes, why not?"
"sexyseniorrr","q31821","Don't know/Don't care"
"sexyseniorrr","q226","the right to vote"
"sexyseniorrr","q838","No"
"sexyseniorrr","q213","Yes"
"sexyseniorrr","q174","Bad"
"sexyseniorrr","q455","Yes"
"sexyseniorrr","q15037","Yes"
"sexyseniorrr","q18843","Yes"
"sexyseniorrr","q48947","Yes."
"sexyseniorrr","q136","No"
"sexyseniorrr","q20818","Yes, life is a big gray area anyway."
"sexyseniorrr","q15752","Not so important"
"sexyseniorrr","q17","Yes"
"sexyseniorrr","q594","No, some subjects should not be joked about."
"sexyseniorrr","q17017","Rarely"
"sexyseniorrr","q34113","It's okay, if it is not abused"
"sexyseniorrr","q39","Yes"
"sexyseniorrr","q29829","Always"
"sexyseniorrr","q175","No"
"sexyseniorrr","q39185","book burning"
"sexyseniorrr","q612","Yes, students should hear both sides"
"sexyseniorrr","q65","Yes"
"sexyseniorrr","q40288","Somewhat."
"sexyseniorrr","q393","No"
"sexyseniorrr","q359387","Relative"
"sexyseniorrr","q887","Usually, yes."
"sexyseniorrr","q66548","It doesn't bother me at all."
"sexyseniorrr","q154","No, it wouldn't."
"sexyseniorrr","q13054","I support the laws"
"sexyseniorrr","q27921","Less safe"
"sexyseniorrr","q31877","Unnecessary but appreciated."
"sexyseniorrr","q214","No"
"sexyseniorrr","q18797","No, I'd trust them and that would be invasive."
"sexyseniorrr","q46563","No."
"sexyseniorrr","q19681","No"
"sexyseniorrr","q37708","Acceptable."
"sexyseniorrr","q14","No"
"sexyseniorrr","q171","Your world"
"sexyseniorrr","q395","Yes"
"sexyseniorrr","q13","No"
"sexyseniorrr","q71","No"
"sexyseniorrr","q341","Yes"
"sexyseniorrr","q24125","No"
"sexyseniorrr","q35203","I'm Not Sure / Depends how serious it was"
