"d_username","field","value"
"signal_to_noise","d_age","36"
"signal_to_noise","d_city","New York"
"signal_to_noise","d_city","United States"
"signal_to_noise","d_orientation","Queer"
"signal_to_noise","d_gender","Man"
"signal_to_noise","d_relationship","Single"
"signal_to_noise","d_bodytype","Average build"
"signal_to_noise","d_ethnicity","White"
"signal_to_noise","d_languages","English and some C++"
"signal_to_noise","d_education_phase","Attended"
"signal_to_noise","d_education_type","University"
"signal_to_noise","d_smokes","Never"
"signal_to_noise","d_drinks","Socially"
"signal_to_noise","d_drugs","No"
"signal_to_noise","lf_location","near me"
"signal_to_noise","lf_min_age","26"
"signal_to_noise","lf_max_age","42"
"signal_to_noise","lf_for","short & long term dating and new friends"
"signal_to_noise","p_kinky","86"
"signal_to_noise","p_trusting","80"
"signal_to_noise","p_scien","62"
"signal_to_noise","p_comp","60"
"signal_to_noise","p_sexperienced","58"
"signal_to_noise","p_organized","50"
"signal_to_noise","p_nerdy","48"
"signal_to_noise","p_sexdrive","48"
"signal_to_noise","p_playful","44"
"signal_to_noise","p_math","36"
"signal_to_noise","p_lit","36"
"signal_to_noise","p_polite","32"
"signal_to_noise","p_adven","30"
"signal_to_noise","p_wholesome","-32"
"signal_to_noise","p_oldfash","-34"
"signal_to_noise","p_roman","-34"
"signal_to_noise","p_sprit","-40"
"signal_to_noise","p_conservative","-44"
"signal_to_noise","p_artsy","-46"
"signal_to_noise","p_greed","-46"
"signal_to_noise","q55355","Yes."
"signal_to_noise","q65","Yes"
"signal_to_noise","q142","No"
"signal_to_noise","q39373","Never."
"signal_to_noise","q34113","No problem"
"signal_to_noise","q42329","No"
"signal_to_noise","q29829","Always"
"signal_to_noise","q25421","Abortion"
"signal_to_noise","q27921","Less safe"
"signal_to_noise","q39185","book burning"
"signal_to_noise","q169","Yes"
"signal_to_noise","q838","Yes"
"signal_to_noise","q18843","No"
"signal_to_noise","q175","No"
"signal_to_noise","q36790","Yes, unless I am otherwise in a hurry."
"signal_to_noise","q71","No"
"signal_to_noise","q612","No, creationism has no place in schools"
"signal_to_noise","q44384","It's all fine by me."
"signal_to_noise","q455","No"
"signal_to_noise","q2781","Yes"
"signal_to_noise","q40570","Truthful"
"signal_to_noise","q70","No"
"signal_to_noise","q395","Yes"
