"d_username","field","value"
"sjbarbosa","d_age","20"
"sjbarbosa","d_city","Providence"
"sjbarbosa","d_city","United States"
"sjbarbosa","d_orientation","Pansexual"
"sjbarbosa","d_gender","Woman"
"sjbarbosa","d_relationship","Single"
"sjbarbosa","d_bodytype","Full figured"
"sjbarbosa","d_ethnicity","White"
"sjbarbosa","d_languages","English and Polish"
"sjbarbosa","d_religion_type","Other religion"
"sjbarbosa","d_smokes","Regularly"
"sjbarbosa","d_drinks","Socially"
"sjbarbosa","d_drugs","Sometimes"
"sjbarbosa","d_offspring_current","No kids"
"sjbarbosa","d_offspring_desires","might want kids"
"sjbarbosa","lf_single","single"
"sjbarbosa","lf_location","near me"
"sjbarbosa","lf_min_age","18"
"sjbarbosa","lf_max_age","30"
"sjbarbosa","lf_for","short & long term dating and new friends"
"sjbarbosa","p_outgoing","68"
"sjbarbosa","p_good-natured","54"
"sjbarbosa","p_suave","52"
"sjbarbosa","p_kinky","52"
"sjbarbosa","p_indie","50"
"sjbarbosa","p_artsy","48"
"sjbarbosa","p_sprit","46"
"sjbarbosa","p_adven","38"
"sjbarbosa","p_exp","38"
"sjbarbosa","p_sexperienced","26"
"sjbarbosa","p_drug","20"
"sjbarbosa","p_conf","20"
"sjbarbosa","p_giving","-24"
"sjbarbosa","p_oldfash","-24"
"sjbarbosa","p_wholesome","-24"
"sjbarbosa","p_conservative","-28"
"sjbarbosa","p_friendly","-32"
"sjbarbosa","q35281","I don't worry about such things"
"sjbarbosa","q13032","No"
"sjbarbosa","q39210","Yes, I am confident I have."
"sjbarbosa","q53509","I think it works."
"sjbarbosa","q61786","Yes"
"sjbarbosa","q41","Somewhat important"
"sjbarbosa","q15889","Equally in both"
"sjbarbosa","q63068","One to four hours."
"sjbarbosa","q48664","Yes."
"sjbarbosa","q40007","Keep the truth to myself regardless of what it is."
"sjbarbosa","q986","Yes"
"sjbarbosa","q6542","Yes"
"sjbarbosa","q24740","Yes"
"sjbarbosa","q38710","Yes."
"sjbarbosa","q43509","Yes."
"sjbarbosa","q156917","No"
"sjbarbosa","q21729","Sure"
"sjbarbosa","q6347","Yes"
"sjbarbosa","q156913","No"
"sjbarbosa","q20408","Yes, and I practice one/some of these."
"sjbarbosa","q54128","Yes."
"sjbarbosa","q45","Yes"
"sjbarbosa","q210","No"
"sjbarbosa","q411","Yes"
"sjbarbosa","q763","Yes"
"sjbarbosa","q35137","Yes"
"sjbarbosa","q156914","No"
"sjbarbosa","q193","No"
"sjbarbosa","q60100","No"
"sjbarbosa","q18708","A method one can follow to make predictions."
"sjbarbosa","q156915","No"
"sjbarbosa","q156918","No"
"sjbarbosa","q70135","Neither would bother me at all."
"sjbarbosa","q15695","Yes, but it has nothing to do with God"
"sjbarbosa","q612","No, creationism has no place in schools"
"sjbarbosa","q47764","Yes."
"sjbarbosa","q30690","The way I'll always be"
"sjbarbosa","q24251","No"
"sjbarbosa","q15789","Action"
"sjbarbosa","q18900","Sometimes"
