"d_username","field","value"
"superduper007","d_age","29"
"superduper007","d_city","Austin"
"superduper007","d_city","United States"
"superduper007","d_orientation","Bisexual"
"superduper007","d_gender","Woman"
"superduper007","d_relationship","Single"
"superduper007","d_bodytype","Average build"
"superduper007","d_languages","English"
"superduper007","d_education_phase","Working on"
"superduper007","d_education_type","Post grad"
"superduper007","d_smokes","Never"
"superduper007","d_drinks","Socially"
"superduper007","d_offspring_current","No kids"
"superduper007","lf_single","single"
"superduper007","lf_location","near me"
"superduper007","lf_min_age","21"
"superduper007","lf_max_age","36"
"superduper007","lf_for","short & long term dating and new friends"
"superduper007","p_wholesome","40"
"superduper007","p_inde","24"
"superduper007","p_oldfash","20"
"superduper007","p_progressive","18"
"superduper007","p_conservative","18"
"superduper007","p_artsy","10"
"superduper007","p_energetic","-12"
"superduper007","p_exp","-24"
"superduper007","p_friendly","-26"
"superduper007","p_opti","-46"
"superduper007","p_adven","-48"
"superduper007","p_roman","-50"
"superduper007","p_suave","-62"
"superduper007","p_giving","-62"
"superduper007","p_trusting","-62"
"superduper007","p_good-natured","-70"
"superduper007","q14","Yes"
"superduper007","q218","ABSOLUTELY NOT"
"superduper007","q39185","flag burning"
"superduper007","q455","Yes"
"superduper007","q12637","No"
"superduper007","q48947","Yes."
"superduper007","q85900","Call the police."
"superduper007","q393","Yes"
"superduper007","q85954","No, some species have more rights than others."
"superduper007","q359387","Universal"
"superduper007","q17","Yes"
"superduper007","q53965","Kill it."
"superduper007","q42329","No"
"superduper007","q594","Yes, anything can be funny in the right light."
"superduper007","q20016","... necessary, but it's just not for me."
"superduper007","q85835","Starving children."
"superduper007","q34113","No problem"
"superduper007","q66548","It's ok as long as it isn't every other word."
"superduper007","q27921","Less safe"
"superduper007","q65","Yes"
"superduper007","q9379","Yes, but only with my friend's permission"
"superduper007","q15752","Very important"
"superduper007","q18763","Sometimes, it depends on the situation."
"superduper007","q136","Yes"
"superduper007","q29829","Whenever possible"
"superduper007","q31821","Yes"
"superduper007","q838","Yes"
"superduper007","q18781","Yes"
"superduper007","q175","No"
"superduper007","q39373","Rarely."
"superduper007","q81866","It wouldn't matter to me at all."
