"d_username","field","value"
"tigerlily8_8","d_age","21"
"tigerlily8_8","d_city","Albuquerque"
"tigerlily8_8","d_city","United States"
"tigerlily8_8","d_orientation","Bisexual"
"tigerlily8_8","d_gender","Woman"
"tigerlily8_8","d_relationship","Single"
"tigerlily8_8","d_bodytype","Fit"
"tigerlily8_8","d_ethnicity","White"
"tigerlily8_8","d_languages","English"
"tigerlily8_8","d_education_phase","Working on"
"tigerlily8_8","d_education_type","University"
"tigerlily8_8","d_drinks","Socially"
"tigerlily8_8","d_offspring_current","No kids"
"tigerlily8_8","lf_single","single"
"tigerlily8_8","lf_location","near me"
"tigerlily8_8","lf_min_age","18"
"tigerlily8_8","lf_max_age","24"
"tigerlily8_8","lf_for","new friends"
"tigerlily8_8","p_adven","78"
"tigerlily8_8","p_spon","74"
"tigerlily8_8","p_exp","70"
"tigerlily8_8","p_athletic","68"
"tigerlily8_8","p_ambi","58"
"tigerlily8_8","p_energetic","52"
"tigerlily8_8","p_thrift","52"
"tigerlily8_8","p_good-natured","32"
"tigerlily8_8","p_lit","28"
"tigerlily8_8","p_scien","14"
"tigerlily8_8","p_comp","12"
"tigerlily8_8","p_outgoing","12"
"tigerlily8_8","p_polit","12"
"tigerlily8_8","p_artsy","-20"
"tigerlily8_8","p_sprit","-22"
"tigerlily8_8","p_oldfash","-28"
"tigerlily8_8","p_conservative","-28"
"tigerlily8_8","p_wholesome","-32"
"tigerlily8_8","q18843","Yes"
"tigerlily8_8","q48947","Yes."
"tigerlily8_8","q29829","Always"
"tigerlily8_8","q31877","Admirable and desirable. Chivalry's not dead."
"tigerlily8_8","q838","Yes"
"tigerlily8_8","q136","Yes"
"tigerlily8_8","q142","Yes"
"tigerlily8_8","q393","No"
"tigerlily8_8","q612","No, creationism has no place in schools"
"tigerlily8_8","q868","Sometimes"
"tigerlily8_8","q70","No"
"tigerlily8_8","q18979","No, I'd confront them."
"tigerlily8_8","q27921","Less safe"
"tigerlily8_8","q66548","It's ok as long as it isn't every other word."
"tigerlily8_8","q168","False"
"tigerlily8_8","q412","Yes"
"tigerlily8_8","q9379","Yes, but only with my friend's permission"
"tigerlily8_8","q37708","Acceptable."
"tigerlily8_8","q14","No"
"tigerlily8_8","q226","the right to bear arms"
"tigerlily8_8","q1446","Yes, solidarity is important"
"tigerlily8_8","q15878","Yes"
"tigerlily8_8","q24125","No"
"tigerlily8_8","q39373","Rarely."
"tigerlily8_8","q47764","Yes."
"tigerlily8_8","q15037","No"
"tigerlily8_8","q18797","No, I'd trust them and that would be invasive."
"tigerlily8_8","q36790","Yes, unless I am otherwise in a hurry."
"tigerlily8_8","q40570","Truthful"
"tigerlily8_8","q71","No"
"tigerlily8_8","q887","Usually, yes."
"tigerlily8_8","q20298","A sign of strength"
"tigerlily8_8","q46563","No."
"tigerlily8_8","q85315","Yes."
"tigerlily8_8","q341","Yes"
"tigerlily8_8","q13","No"
"tigerlily8_8","q171","Your world"
"tigerlily8_8","q395","Yes"
"tigerlily8_8","q19681","No"
"tigerlily8_8","q46927","No."
"tigerlily8_8","q26684","No"
"tigerlily8_8","q763","No"
"tigerlily8_8","q45","No"
"tigerlily8_8","q63068","One hour or less."
"tigerlily8_8","q210","No"
"tigerlily8_8","q41","Not at all important"
"tigerlily8_8","q18708","A method one can follow to make predictions."
"tigerlily8_8","q156913","No"
"tigerlily8_8","q15889","Science"
"tigerlily8_8","q48372","No"
"tigerlily8_8","q193","No"
