"d_username","field","value"
"tipthecircusfolk","d_age","31"
"tipthecircusfolk","d_city","Brooklyn"
"tipthecircusfolk","d_city","United States"
"tipthecircusfolk","d_orientation","Bisexual"
"tipthecircusfolk","d_gender","Woman"
"tipthecircusfolk","d_relationship","Single"
"tipthecircusfolk","d_bodytype","Curvy"
"tipthecircusfolk","d_ethnicity","White"
"tipthecircusfolk","d_languages","English"
"tipthecircusfolk","d_education_phase","Attended"
"tipthecircusfolk","d_education_type","University"
"tipthecircusfolk","d_smokes","Never"
"tipthecircusfolk","d_drinks","Socially"
"tipthecircusfolk","d_drugs","Sometimes"
"tipthecircusfolk","d_offspring_current","No kids"
"tipthecircusfolk","lf_location","near me"
"tipthecircusfolk","lf_min_age","30"
"tipthecircusfolk","lf_max_age","55"
"tipthecircusfolk","lf_for","short & long term datin"
"tipthecircusfolk","p_indie","82"
"tipthecircusfolk","p_exp","78"
"tipthecircusfolk","p_sexdrive","78"
"tipthecircusfolk","p_giving","58"
"tipthecircusfolk","p_aggressive","46"
"tipthecircusfolk","p_sexperienced","38"
"tipthecircusfolk","p_drug","34"
"tipthecircusfolk","p_playful","24"
"tipthecircusfolk","p_organized","14"
"tipthecircusfolk","p_roman","-16"
"tipthecircusfolk","p_wholesome","-26"
"tipthecircusfolk","p_oldfash","-42"
"tipthecircusfolk","p_conservative","-44"
"tipthecircusfolk","q136","No"
"tipthecircusfolk","q594","Yes, anything can be funny in the right light."
"tipthecircusfolk","q17","Yes"
"tipthecircusfolk","q838","Yes"
"tipthecircusfolk","q70","No"
"tipthecircusfolk","q31821","Yes"
"tipthecircusfolk","q39185","book burning"
"tipthecircusfolk","q31877","Unnecessary but appreciated."
"tipthecircusfolk","q393","No"
"tipthecircusfolk","q37708","Acceptable."
"tipthecircusfolk","q85835","Neither, they are equally bad."
"tipthecircusfolk","q27921","Less safe"
"tipthecircusfolk","q39373","Rarely."
"tipthecircusfolk","q17017","Never"
"tipthecircusfolk","q154","No, it wouldn't."
"tipthecircusfolk","q24125","No"
"tipthecircusfolk","q30","Yes, lots and lots"
"tipthecircusfolk","q9628","Let's break skin"
"tipthecircusfolk","q35","Sex"
"tipthecircusfolk","q12605","Every day"
"tipthecircusfolk","q23993","Very experienced"
"tipthecircusfolk","q24375","1-2 dates"
"tipthecircusfolk","q1597","Yes"
"tipthecircusfolk","q12964","Yes"
"tipthecircusfolk","q63114","My sex drive is higher than average."
"tipthecircusfolk","q30169","Love it!"
"tipthecircusfolk","q21","No"
"tipthecircusfolk","q35355","Very open. I'll try anything once."
"tipthecircusfolk","q18530","Yes"
"tipthecircusfolk","q29384","Allow? I enjoy it."
"tipthecircusfolk","q1028","I enjoy both equally"
"tipthecircusfolk","q321556","A few times a week"
"tipthecircusfolk","q37146","No"
"tipthecircusfolk","q1401","Yes, and I enjoyed myself."
