"d_username","field","value"
"ursula-","d_age","21"
"ursula-","d_city","Binghamton"
"ursula-","d_city","United States"
"ursula-","d_orientation","Bisexual"
"ursula-","d_gender","Woman"
"ursula-","d_relationship","Single"
"ursula-","d_bodytype","Thin"
"ursula-","d_ethnicity","White"
"ursula-","d_languages","English"
"ursula-","d_education_phase","Working on"
"ursula-","d_education_type","University"
"ursula-","d_smokes","Sometimes"
"ursula-","d_drinks","Socially"
"ursula-","d_drugs","Sometimes"
"ursula-","d_offspring_current","No kids"
"ursula-","lf_min_age","18"
"ursula-","lf_max_age","24"
"ursula-","lf_for","new friends"
"ursula-","p_oldfash","68"
"ursula-","p_drug","38"
"ursula-","p_sprit","-16"
"ursula-","p_wholesome","-40"
"ursula-","p_trusting","-52"
"ursula-","q154","Yes, it would."
"ursula-","q29829","Whenever possible"
"ursula-","q175","No"
"ursula-","q838","Yes"
"ursula-","q612","No, creationism has no place in schools"
"ursula-","q70","No"
"ursula-","q359387","Relative"
"ursula-","q24125","No"
"ursula-","q27921","Less safe"
"ursula-","q12964","No"
"ursula-","q1597","No"
"ursula-","q24375","6 or more dates"
"ursula-","q35","Love"
"ursula-","q12605","Every day"
"ursula-","q18530","Yes"
"ursula-","q24125","No"
"ursula-","q60100","Yes"
"ursula-","q41","Not at all important"
"ursula-","q612","No, creationism has no place in schools"
"ursula-","q80","I do drugs occasionally."
"ursula-","q325","No"
"ursula-","q501","Yes"
"ursula-","q403","Yes"
"ursula-","q9688","Yes, but only soft stuff like marijuana"
"ursula-","q23834","Yes"
"ursula-","q18834","Expression"
"ursula-","q79","I smoke occasionally."
"ursula-","q553","Yes"
"ursula-","q44639","Yes"
"ursula-","q358077","No"
"ursula-","q48","Weird"
"ursula-","q49","Carefree"
"ursula-","q997","Both"
"ursula-","q212813","Other"
"ursula-","q77","Sometimes"
"ursula-","q179268","No"
"ursula-","q123","Yes"
"ursula-","q1815","No"
"ursula-","q1440","Yes"
"ursula-","q41953","Several years"
"ursula-","q149","Passion"
"ursula-","q16053","Hesitant, but I'd certainly consider it."
"ursula-","q23543","Yes, unless otherwise specified"
"ursula-","q358014","Yes"
"ursula-","q358080","Discovering your shared interests"
"ursula-","q12964","No"
"ursula-","q325","No"
"ursula-","q403","Yes"
"ursula-","q28903","A promising first date"
"ursula-","q416236","Okay"
"ursula-","q46","Interesting"
"ursula-","q20930","Average"
"ursula-","q35660","Usually"
"ursula-","q4018","Yes"
"ursula-","q358084","Yes"
