"d_username","field","value"
"wrenbow","d_age","26"
"wrenbow","d_city","Chicago"
"wrenbow","d_city","United States"
"wrenbow","d_orientation","Queer"
"wrenbow","d_gender","Woman"
"wrenbow","d_relationship","Single"
"wrenbow","d_bodytype","Jacked"
"wrenbow","d_ethnicity","White"
"wrenbow","d_languages","English"
"wrenbow","d_education_phase","Attended"
"wrenbow","d_education_type","University"
"wrenbow","d_religion_seriosity","laughing about it"
"wrenbow","d_smokes","Never"
"wrenbow","d_drinks","Socially"
"wrenbow","d_drugs","Sometimes"
"wrenbow","d_offspring_current","No kids"
"wrenbow","d_offspring_desires","wants kids"
"wrenbow","lf_single","single"
"wrenbow","lf_location","near me"
"wrenbow","lf_min_age","23"
"wrenbow","lf_max_age","35"
"wrenbow","lf_for","long-term dating and new friends"
"wrenbow","p_thrift","88"
"wrenbow","p_trusting","82"
"wrenbow","p_drug","64"
"wrenbow","p_sexperienced","48"
"wrenbow","p_kinky","38"
"wrenbow","p_adven","34"
"wrenbow","p_comp","28"
"wrenbow","p_lovedri","16"
"wrenbow","p_friendly","10"
"wrenbow","p_conf","10"
"wrenbow","p_oldfash","-12"
"wrenbow","p_wholesome","-20"
"wrenbow","p_conservative","-38"
"wrenbow","q61786","Yes"
"wrenbow","q41","Not very important"
"wrenbow","q156917","No"
"wrenbow","q210","No"
"wrenbow","q48372","No"
"wrenbow","q35281","Myself"
"wrenbow","q156913","No"
"wrenbow","q39210","Maybe, but there is no way to really know."
"wrenbow","q15889","Science"
"wrenbow","q156914","No"
"wrenbow","q411","Yes"
"wrenbow","q44","False"
"wrenbow","q60100","No"
"wrenbow","q612","No, creationism has no place in schools"
"wrenbow","q15876","Yes"
"wrenbow","q9688","Yes"
"wrenbow","q80","I do drugs occasionally."
"wrenbow","q221105","I never use it."
"wrenbow","q1309","20-100 people."
"wrenbow","q12750","Yes"
"wrenbow","q442","Good"
"wrenbow","q997","Cats"
"wrenbow","q18538","It wasn't a 'phase'!"
"wrenbow","q35906","I never borrow money."
"wrenbow","q44639","No"
"wrenbow","q14853","I think it's dumb"
"wrenbow","q501","Yes"
"wrenbow","q31055","No"
"wrenbow","q47635","No."
"wrenbow","q553","No"
"wrenbow","q1112","No"
"wrenbow","q40441","No."
"wrenbow","q20418","Yes"
"wrenbow","q53910","Rarely."
"wrenbow","q158","No"
"wrenbow","q441","Yes"
"wrenbow","q23834","No"
"wrenbow","q47005","I would rather be one of the biological parents."
"wrenbow","q13106","I'm partially there already."
"wrenbow","q45835","Rain"
"wrenbow","q531","Dancing"
"wrenbow","q1062","Usually daily. I skip some."
