"d_username","field","value"
"AbashedtheDevil","d_age","26"
"AbashedtheDevil","d_city","Katy"
"AbashedtheDevil","d_city","United States"
"AbashedtheDevil","d_orientation","Straight"
"AbashedtheDevil","d_orientation","Questioning"
"AbashedtheDevil","d_gender","Woman"
"AbashedtheDevil","d_relationship","Single"
"AbashedtheDevil","d_bodytype","Fit"
"AbashedtheDevil","d_ethnicity","White"
"AbashedtheDevil","d_languages","English and some French"
"AbashedtheDevil","d_education_phase","Attended"
"AbashedtheDevil","d_education_type","University"
"AbashedtheDevil","d_religion_seriosity","laughing about it"
"AbashedtheDevil","d_smokes","Never"
"AbashedtheDevil","d_drugs","No"
"AbashedtheDevil","d_offspring_current","No kids"
"AbashedtheDevil","lf_single","single"
"AbashedtheDevil","lf_location","near me"
"AbashedtheDevil","lf_min_age","24"
"AbashedtheDevil","lf_max_age","32"
"AbashedtheDevil","lf_for","short & long term dating and new friends"
"AbashedtheDevil","p_inde","90"
"AbashedtheDevil","p_lit","50"
"AbashedtheDevil","p_suave","44"
"AbashedtheDevil","p_wholesome","40"
"AbashedtheDevil","p_artsy","22"
"AbashedtheDevil","p_playful","16"
"AbashedtheDevil","p_rational","16"
"AbashedtheDevil","p_thrift","16"
"AbashedtheDevil","p_dominant","14"
"AbashedtheDevil","p_greed","-12"
"AbashedtheDevil","p_aggressive","-16"
"AbashedtheDevil","p_exp","-24"
"AbashedtheDevil","p_sexdrive","-26"
"AbashedtheDevil","p_giving","-60"
"AbashedtheDevil","p_roman","-92"
"AbashedtheDevil","q53312","Condoms."
"AbashedtheDevil","q154","Yes, it would."
"AbashedtheDevil","q838","No"
"AbashedtheDevil","q18843","Yes"
"AbashedtheDevil","q359387","Universal"
"AbashedtheDevil","q31821","Maybe"
"AbashedtheDevil","q39","No"
"AbashedtheDevil","q1446","It depends on the kind of suffering"
"AbashedtheDevil","q18153","No, I'm ineligible"
"AbashedtheDevil","q594","No, some subjects should not be joked about."
"AbashedtheDevil","q53965","Kill it."
"AbashedtheDevil","q61443","Fourteen years old or older."
"AbashedtheDevil","q9379","No"
"AbashedtheDevil","q34113","No problem"
"AbashedtheDevil","q37604","No."
"AbashedtheDevil","q136","Yes"
"AbashedtheDevil","q17","No"
"AbashedtheDevil","q65","Yes"
"AbashedtheDevil","q175","No"
"AbashedtheDevil","q612","No, creationism has no place in schools"
"AbashedtheDevil","q49467","I might approve under special circumtances."
"AbashedtheDevil","q55355","Yes."
"AbashedtheDevil","q66548","It's ok as long as it isn't every other word."
"AbashedtheDevil","q142","Yes"
"AbashedtheDevil","q487","No"
"AbashedtheDevil","q18125","No"
"AbashedtheDevil","q48947","No."
"AbashedtheDevil","q18797","No, I'd trust them and that would be invasive."
"AbashedtheDevil","q29829","Whenever possible"
"AbashedtheDevil","q42329","Only as a last resort for survival"
"AbashedtheDevil","q44384","It's all fine by me."
"AbashedtheDevil","q14","No"
"AbashedtheDevil","q70","No"
"AbashedtheDevil","q395","Yes"
"AbashedtheDevil","q15752","Very important"
"AbashedtheDevil","q18979","No, I'd confront them."
"AbashedtheDevil","q19215","As long as it's non-violent."
"AbashedtheDevil","q20818","Maybe. It depends on the issue."
"AbashedtheDevil","q27921","Less safe"
"AbashedtheDevil","q31877","Unnecessary but appreciated."
"AbashedtheDevil","q39185","book burning"
"AbashedtheDevil","q40570","Truthful"
"AbashedtheDevil","q226","the right to bear arms"
"AbashedtheDevil","q412","Yes"
"AbashedtheDevil","q17017","Never"
"AbashedtheDevil","q18763","Yes, I always try to do the right thing."
"AbashedtheDevil","q36790","Yes, unless I am otherwise in a hurry."
