"d_username","field","value"
"Anchor9269","d_age","23"
"Anchor9269","d_city","Baldwin Park"
"Anchor9269","d_city","United States"
"Anchor9269","d_orientation","Bisexual"
"Anchor9269","d_gender","Woman"
"Anchor9269","d_relationship","Single"
"Anchor9269","d_bodytype","Fit"
"Anchor9269","d_ethnicity","White"
"Anchor9269","d_languages","English"
"Anchor9269","d_religion_type","Other religion"
"Anchor9269","d_drinks","Socially"
"Anchor9269","d_offspring_current","has kid(s)"
"Anchor9269","lf_location","near me"
"Anchor9269","lf_min_age","18"
"Anchor9269","lf_max_age","30"
"Anchor9269","lf_for","casual sex and new friends"
"Anchor9269","q35","Sex"
"Anchor9269","q12964","Yes"
"Anchor9269","q62455","Yes."
"Anchor9269","q553","No"
"Anchor9269","q76","Yes"
"Anchor9269","q49","Carefree"
"Anchor9269","q1112","Yes"
"Anchor9269","q77","Sometimes"
"Anchor9269","q23834","Yes"
"Anchor9269","q358077","No"
"Anchor9269","q87","No"
"Anchor9269","q48328","No."
"Anchor9269","q44639","Yes"
"Anchor9269","q48","Weird"
"Anchor9269","q94","Yes"
"Anchor9269","q1766","Yes"
"Anchor9269","q179268","No"
"Anchor9269","q123","No"
"Anchor9269","q1815","Yes"
"Anchor9269","q16053","Totally willing!"
"Anchor9269","q80041","No"
"Anchor9269","q12964","Yes"
"Anchor9269","q46","Good"
"Anchor9269","q57","No"
"Anchor9269","q60892","Yes."
"Anchor9269","q4018","Yes"
"Anchor9269","q358084","Yes"
