"d_username","field","value"
"DancingDusk","d_age","34"
"DancingDusk","d_city","Warrington"
"DancingDusk","d_city","United States"
"DancingDusk","d_orientation","Bisexual"
"DancingDusk","d_gender","Woman"
"DancingDusk","d_relationship","Single"
"DancingDusk","d_bodytype","Curvy"
"DancingDusk","d_ethnicity","White"
"DancingDusk","d_languages","English"
"DancingDusk","d_smokes","Sometimes"
"DancingDusk","d_drinks","Socially"
"DancingDusk","d_drugs","No"
"DancingDusk","d_offspring_current","has kid(s)"
"DancingDusk","lf_single","single"
"DancingDusk","lf_location","near me"
"DancingDusk","lf_min_age","26"
"DancingDusk","lf_max_age","36"
"DancingDusk","lf_for","short & long term datin"
"DancingDusk","p_sexperienced","86"
"DancingDusk","p_inde","84"
"DancingDusk","p_nerdy","80"
"DancingDusk","p_good-natured","80"
"DancingDusk","p_playful","80"
"DancingDusk","p_lit","64"
"DancingDusk","p_polite","64"
"DancingDusk","p_trusting","60"
"DancingDusk","p_scien","50"
"DancingDusk","p_exp","34"
"DancingDusk","p_conf","28"
"DancingDusk","p_kinky","24"
"DancingDusk","p_organized","18"
"DancingDusk","p_opti","-14"
"DancingDusk","p_conservative","-36"
"DancingDusk","p_roman","-52"
"DancingDusk","p_oldfash","-58"
"DancingDusk","q39373","Never."
"DancingDusk","q594","No, some subjects should not be joked about."
"DancingDusk","q18979","No, I'd dump them on the spot."
"DancingDusk","q29829","Always"
"DancingDusk","q393","No"
"DancingDusk","q53965","Kill it."
"DancingDusk","q838","Yes"
"DancingDusk","q48947","No."
"DancingDusk","q65","Yes"
"DancingDusk","q612","No, creationism has no place in schools"
"DancingDusk","q66548","It's ok as long as it isn't every other word."
"DancingDusk","q455","No"
"DancingDusk","q15752","Extremely important"
"DancingDusk","q18843","No"
"DancingDusk","q36790","Yes.  Always."
"DancingDusk","q18125","No"
"DancingDusk","q70","No"
"DancingDusk","q341","Yes"
"DancingDusk","q18797","No, I'd trust them and that would be invasive."
"DancingDusk","q27921","Less safe"
"DancingDusk","q44854","Yes."
"DancingDusk","q46927","No."
"DancingDusk","q57694","No."
"DancingDusk","q218","Yes, only if it were regulated"
"DancingDusk","q24125","No"
"DancingDusk","q31877","Unnecessary but appreciated."
"DancingDusk","q46563","No."
"DancingDusk","q168","False"
"DancingDusk","q17017","Never"
"DancingDusk","q25421","Abortion"
"DancingDusk","q48770","No."
"DancingDusk","q14","No"
"DancingDusk","q71","No"
"DancingDusk","q395","Yes"
"DancingDusk","q26144","No"
"DancingDusk","q37708","Acceptable."
"DancingDusk","q13","No"
"DancingDusk","q26684","No"
"DancingDusk","q47764","Yes."
"DancingDusk","q20298","A sign of strength"
"DancingDusk","q1446","Yes, solidarity is important"
"DancingDusk","q9628","Let's break skin"
"DancingDusk","q321556","A few times a year or less"
"DancingDusk","q26525","Always"
"DancingDusk","q56606","Not interested."
"DancingDusk","q1387","No"
"DancingDusk","q35276","A lot! It's all about the talk."
"DancingDusk","q38320","No."
"DancingDusk","q18530","No"
"DancingDusk","q20976","No, that's nothing."
"DancingDusk","q323","Super confident"
"DancingDusk","q20976","No, that's nothing."
"DancingDusk","q45006","No."
"DancingDusk","q72086","Yes."
"DancingDusk","q1028","Rough"
"DancingDusk","q54127","No, never."
"DancingDusk","q12605","Every day"
"DancingDusk","q15478","No"
"DancingDusk","q23993","Very experienced"
"DancingDusk","q35355","I'm open, but I don't get too crazy."
"DancingDusk","q35","Love"
"DancingDusk","q1597","Yes"
"DancingDusk","q17768","Intercourse"
"DancingDusk","q20662","Yes"
"DancingDusk","q24375","3-5 dates"
"DancingDusk","q30903","Yes"
"DancingDusk","q20212","Never"
"DancingDusk","q31374","Yes, on occasion. I have to be in the mood."
"DancingDusk","q83480","It doesn't matter."
"DancingDusk","q467","Yes, I'm louder"
"DancingDusk","q29384","Allow? I enjoy it."
"DancingDusk","q18966","Hard!"
"DancingDusk","q28545","Yes, and hard!"
"DancingDusk","q32","I have tried it."
"DancingDusk","q665","Bring out the toys!"
"DancingDusk","q30169","Love it!"
"DancingDusk","q63114","My sex drive is higher than average."
"DancingDusk","q12","No"
"DancingDusk","q1040","I like it / I think I might like it"
"DancingDusk","q1401","Yes, and I enjoyed myself."
"DancingDusk","q86366","Yes."
"DancingDusk","q14913","No"
"DancingDusk","q20889","It refers to a very specific kind of sex."
"DancingDusk","q20981","No opinion."
"DancingDusk","q35203","Yes"
"DancingDusk","q39714","No."
"DancingDusk","q57717","No."
"DancingDusk","q86417","More than a day, less than a week."
"DancingDusk","q19854","No"
"DancingDusk","q963","Yes"
"DancingDusk","q1436","Yes"
"DancingDusk","q21527","No"
"DancingDusk","q26405","Yes, with skill and sometimes patience"
"DancingDusk","q29","be tied up during sex"
"DancingDusk","q12964","Yes"
"DancingDusk","q463","They take control"
"DancingDusk","q637","Yes"
"DancingDusk","q13095","Under the right circumstance, Yes"
"DancingDusk","q275","No"
"DancingDusk","q6040","Yes"
"DancingDusk","q393","No"
"DancingDusk","q14","No"
"DancingDusk","q395","Yes"
"DancingDusk","q13","No"
"DancingDusk","q24125","No"
"DancingDusk","q156913","Yes"
"DancingDusk","q41","Somewhat important"
"DancingDusk","q15889","Science"
"DancingDusk","q13032","Yes"
"DancingDusk","q60100","No"
"DancingDusk","q35137","Yes"
"DancingDusk","q18708","A method one can follow to make predictions."
"DancingDusk","q156918","No"
"DancingDusk","q156914","No"
"DancingDusk","q156915","No"
"DancingDusk","q612","No, creationism has no place in schools"
"DancingDusk","q47764","Yes."
"DancingDusk","q38230","No."
"DancingDusk","q28478","Negative. That's tacky/cheap."
"DancingDusk","q19481","I don't have that many friends"
"DancingDusk","q234","Not at all"
"DancingDusk","q9688","No"
"DancingDusk","q69912","Scientist"
"DancingDusk","q33170","Morning? Curse that AM light! (afternoon or dark)"
"DancingDusk","q44639","No"
"DancingDusk","q221106","Rarely"
"DancingDusk","q6537","Yes"
"DancingDusk","q501","Yes"
"DancingDusk","q221106","Rarely"
"DancingDusk","q20418","Yes"
"DancingDusk","q21488","Always."
"DancingDusk","q158","No"
"DancingDusk","q23834","No"
"DancingDusk","q62254","No."
"DancingDusk","q13006","Yes"
"DancingDusk","q18609","Yes, I'm a culinary genius."
"DancingDusk","q71315","No, but I can deal with it if my partner does."
"DancingDusk","q86544","Reason, Observation, Empiricism, Trial-And-Error."
"DancingDusk","q77","Rarely"
"DancingDusk","q12796","No"
"DancingDusk","q42918","Somewhere in the middle."
"DancingDusk","q50379","This is something I would like."
"DancingDusk","q1112","No"
"DancingDusk","q1712","Not really shy"
"DancingDusk","q25114","Sci-Fi Convention"
"DancingDusk","q38173","Yes, often."
"DancingDusk","q49","Intense"
"DancingDusk","q63","Private"
"DancingDusk","q79","I smoked in the past, but no longer."
"DancingDusk","q445","Work"
"DancingDusk","q19815","Somewhat, but it's their life."
"DancingDusk","q54695","Very clear."
"DancingDusk","q67651","Some combination of the above."
"DancingDusk","q83646","No."
"DancingDusk","q1062","Usually daily. I skip some."
"DancingDusk","q18644","Yes"
"DancingDusk","q18711","Yes"
"DancingDusk","q27164","No"
"DancingDusk","q43261","I am my own person."
"DancingDusk","q358077","No"
"DancingDusk","q55","No"
"DancingDusk","q80","I never do drugs."
"DancingDusk","q88","I'm mostly organized"
"DancingDusk","q338","I'm more mature"
"DancingDusk","q33602","Yes, almost always"
"DancingDusk","q56","No"
"DancingDusk","q325","Yes"
"DancingDusk","q531","Scrabble"
"DancingDusk","q12970","Twice or more a day"
"DancingDusk","q21986","Yes, almost always."
"DancingDusk","q37693","Yes, I'd be playing with them."
"DancingDusk","q40319","Yes."
"DancingDusk","q46780","Rarely or never - That would be wasteful."
"DancingDusk","q53611","Rarely."
"DancingDusk","q318","Not important at all"
"DancingDusk","q2717","Yes"
"DancingDusk","q13100","Yes"
"DancingDusk","q18834","Knowledge"
"DancingDusk","q19011","No"
"DancingDusk","q87","No"
"DancingDusk","q403","No"
"DancingDusk","q8155","Seldom or never."
"DancingDusk","q9446","Yes"
"DancingDusk","q16269","Very Often"
"DancingDusk","q26052","Yes"
"DancingDusk","q35862","A cool room"
"DancingDusk","q212813","Liberal / Left-wing"
"DancingDusk","q76","No"
"DancingDusk","q553","Yes"
"DancingDusk","q997","Both"
"DancingDusk","q1588","Yes, I would love (or do own) a cat."
"DancingDusk","q18212","15-20%"
"DancingDusk","q27672","Critically important."
"DancingDusk","q30384","Daily."
"DancingDusk","q38912","Careful: I wash my hands and cover my sneezes."
"DancingDusk","q40441","Maybe a little bit."
"DancingDusk","q42640","No."
"DancingDusk","q46403","Yes."
"DancingDusk","q220","No"
"DancingDusk","q401","Yes"
"DancingDusk","q6867","Yes"
