"d_username","field","value"
"ForgottenDoom","d_age","25"
"ForgottenDoom","d_city","Abie"
"ForgottenDoom","d_city","United States"
"ForgottenDoom","d_orientation","Bisexual"
"ForgottenDoom","d_gender","Woman"
"ForgottenDoom","d_relationship","Single"
"ForgottenDoom","d_bodytype","Average build"
"ForgottenDoom","d_ethnicity","White"
"ForgottenDoom","d_languages","English"
"ForgottenDoom","d_education_phase","Working on"
"ForgottenDoom","d_education_type","Two-year college"
"ForgottenDoom","d_religion_seriosity","laughing about it"
"ForgottenDoom","d_smokes","Never"
"ForgottenDoom","d_drinks","Socially"
"ForgottenDoom","d_drugs","No"
"ForgottenDoom","d_offspring_current","No kids"
"ForgottenDoom","d_offspring_desires","might want kids"
"ForgottenDoom","lf_single","single"
"ForgottenDoom","lf_location","near me"
"ForgottenDoom","lf_min_age","19"
"ForgottenDoom","lf_max_age","36"
"ForgottenDoom","lf_for","new friends"
"ForgottenDoom","p_lovedri","52"
"ForgottenDoom","p_oldfash","-22"
"ForgottenDoom","p_wholesome","-26"
"ForgottenDoom","p_conservative","-44"
"ForgottenDoom","q154","Yes, it would."
"ForgottenDoom","q27921","Neither / unsure"
"ForgottenDoom","q24375","1-2 dates"
"ForgottenDoom","q1597","Yes"
"ForgottenDoom","q35","Love"
"ForgottenDoom","q41","Not at all important"
"ForgottenDoom","q60100","No"
"ForgottenDoom","q9688","Yes"
"ForgottenDoom","q87","Yes"
"ForgottenDoom","q553","No"
"ForgottenDoom","q501","No"
"ForgottenDoom","q997","Dogs"
"ForgottenDoom","q358077","Yes"
"ForgottenDoom","q49","Carefree"
"ForgottenDoom","q325","Yes"
"ForgottenDoom","q403","No"
"ForgottenDoom","q76","No"
"ForgottenDoom","q44639","Yes"
"ForgottenDoom","q48","Weird"
"ForgottenDoom","q41953","The rest of my life"
"ForgottenDoom","q149","Passion"
"ForgottenDoom","q1440","No"
"ForgottenDoom","q16053","Totally willing!"
"ForgottenDoom","q123","No"
"ForgottenDoom","q358080","Discovering your shared interests"
"ForgottenDoom","q325","Yes"
"ForgottenDoom","q403","No"
"ForgottenDoom","q358084","No"
"ForgottenDoom","q20930","Very, very high"
"ForgottenDoom","q14835","On my left hand"
"ForgottenDoom","q46","Interesting"
"ForgottenDoom","q4018","Yes"
