"d_username","field","value"
"Funkayybabayy","d_age","26"
"Funkayybabayy","d_city","Astoria"
"Funkayybabayy","d_city","United States"
"Funkayybabayy","d_orientation","Bisexual"
"Funkayybabayy","d_orientation","Pansexual"
"Funkayybabayy","d_gender","Woman"
"Funkayybabayy","d_relationship","Single"
"Funkayybabayy","d_bodytype","Curvy"
"Funkayybabayy","d_languages","English"
"Funkayybabayy","d_education_phase","Attended"
"Funkayybabayy","d_education_type","Post grad"
"Funkayybabayy","d_smokes","Never"
"Funkayybabayy","d_drinks","Often"
"Funkayybabayy","d_drugs","No"
"Funkayybabayy","d_offspring_current","No kids"
"Funkayybabayy","d_offspring_desires","might want kids"
"Funkayybabayy","lf_location","near me"
"Funkayybabayy","lf_min_age","23"
"Funkayybabayy","lf_max_age","50"
"Funkayybabayy","lf_for","short & long term dating and new friends"
"Funkayybabayy","p_outgoing","76"
"Funkayybabayy","p_sexperienced","72"
"Funkayybabayy","p_kinky","68"
"Funkayybabayy","p_aggressive","62"
"Funkayybabayy","p_conf","52"
"Funkayybabayy","p_sexdrive","44"
"Funkayybabayy","p_trusting","20"
"Funkayybabayy","p_roman","-22"
"Funkayybabayy","q65","No"
"Funkayybabayy","q85315","No."
"Funkayybabayy","q85835","Starving children."
"Funkayybabayy","q48947","Yes."
"Funkayybabayy","q594","No, some subjects should not be joked about."
"Funkayybabayy","q9379","No"
"Funkayybabayy","q612","Yes, students should hear both sides"
"Funkayybabayy","q29829","Always"
"Funkayybabayy","q359387","Relative"
"Funkayybabayy","q175","No"
"Funkayybabayy","q39185","book burning"
"Funkayybabayy","q66548","It doesn't bother me at all."
"Funkayybabayy","q70","No"
"Funkayybabayy","q838","Yes"
"Funkayybabayy","q18843","No"
"Funkayybabayy","q213","No"
"Funkayybabayy","q15037","No"
"Funkayybabayy","q37708","Acceptable."
"Funkayybabayy","q1446","Yes, solidarity is important"
"Funkayybabayy","q13054","I support the laws"
"Funkayybabayy","q226","the right to bear arms"
"Funkayybabayy","q24125","No"
"Funkayybabayy","q27921","Less safe"
"Funkayybabayy","q39373","Rarely."
"Funkayybabayy","q486","Welfare is mostly good"
"Funkayybabayy","q46563","No."
"Funkayybabayy","q154","No, it wouldn't."
"Funkayybabayy","q14","No"
"Funkayybabayy","q71","No"
"Funkayybabayy","q46927","No."
"Funkayybabayy","q341","Yes"
"Funkayybabayy","q21527","Yes"
"Funkayybabayy","q63114","I'm insatiable."
"Funkayybabayy","q26525","Always"
"Funkayybabayy","q1028","Rough"
"Funkayybabayy","q1040","I don't like it / I don't think I would like it"
"Funkayybabayy","q18530","Not possible"
"Funkayybabayy","q23993","Very experienced"
"Funkayybabayy","q21","Yes"
"Funkayybabayy","q12605","Every day"
"Funkayybabayy","q16317","I don't know"
"Funkayybabayy","q35355","Very open. I'll try anything once."
"Funkayybabayy","q12964","Yes"
"Funkayybabayy","q20212","Never"
"Funkayybabayy","q29384","Yes."
"Funkayybabayy","q35","Love"
"Funkayybabayy","q665","Bring out the toys!"
"Funkayybabayy","q17768","Oral sex"
"Funkayybabayy","q30169","Love it!"
"Funkayybabayy","q30","Yes, some"
"Funkayybabayy","q72086","No."
"Funkayybabayy","q35203","Yes"
"Funkayybabayy","q463","They take control"
"Funkayybabayy","q20889","It refers to a very specific kind of sex."
"Funkayybabayy","q24375","3-5 dates"
"Funkayybabayy","q38320","Yes."
"Funkayybabayy","q29","be tied up during sex"
"Funkayybabayy","q79635","Positive."
"Funkayybabayy","q9628","Yes"
"Funkayybabayy","q86366","Yes."
"Funkayybabayy","q324","I disagree."
"Funkayybabayy","q1401","Yes, and I enjoyed myself."
"Funkayybabayy","q24125","No"
"Funkayybabayy","q14","No"
"Funkayybabayy","q60100","Yes"
"Funkayybabayy","q15889","Equally in both"
"Funkayybabayy","q41","Not very important"
"Funkayybabayy","q48372","No"
"Funkayybabayy","q612","Yes, students should hear both sides"
"Funkayybabayy","q1766","No"
"Funkayybabayy","q55","Yes"
"Funkayybabayy","q77","Very often"
"Funkayybabayy","q179268","Yes"
"Funkayybabayy","q426","No"
"Funkayybabayy","q16713","No"
"Funkayybabayy","q87","Yes"
"Funkayybabayy","q24282","Somewhat inclined"
"Funkayybabayy","q458565","Yes"
"Funkayybabayy","q62455","Yes."
"Funkayybabayy","q26582","Maybe (if it's still good)"
"Funkayybabayy","q501","No"
"Funkayybabayy","q403","Yes"
"Funkayybabayy","q40441","No."
"Funkayybabayy","q1119","No"
"Funkayybabayy","q1730","Yes"
"Funkayybabayy","q158","No"
"Funkayybabayy","q9688","Yes, but only soft stuff like marijuana"
"Funkayybabayy","q13006","Yes, but only an occasional/social smoker"
"Funkayybabayy","q15030","Music"
"Funkayybabayy","q19815","Somewhat, but it's their life."
"Funkayybabayy","q23834","No"
"Funkayybabayy","q26573","Yes"
"Funkayybabayy","q8155","Once every month or three."
"Funkayybabayy","q79","I smoke occasionally."
"Funkayybabayy","q20418","Sometimes"
"Funkayybabayy","q212814","Very important"
"Funkayybabayy","q358077","Yes"
"Funkayybabayy","q553","Yes"
"Funkayybabayy","q325","Yes"
"Funkayybabayy","q1112","Yes"
"Funkayybabayy","q48328","No."
"Funkayybabayy","q80","I never do drugs."
"Funkayybabayy","q442","Bad"
"Funkayybabayy","q5417","Yes"
"Funkayybabayy","q15414","No, I have not used them and I would not try them."
"Funkayybabayy","q33602","Yes, almost always"
"Funkayybabayy","q62254","Yes."
"Funkayybabayy","q21411","Sometimes."
"Funkayybabayy","q43261","I consider their opinion but go my own way."
"Funkayybabayy","q67641","Very important."
"Funkayybabayy","q212813","Liberal / Left-wing"
"Funkayybabayy","q94","Yes"
"Funkayybabayy","q18834","Knowledge"
"Funkayybabayy","q21488","Yeah, when I have the time."
"Funkayybabayy","q221105","I'm a somewhat active user."
"Funkayybabayy","q78","Yes"
"Funkayybabayy","q997","Both"
"Funkayybabayy","q15744","Yes"
"Funkayybabayy","q18955","Yes"
"Funkayybabayy","q27672","Critically important."
"Funkayybabayy","q354","No"
"Funkayybabayy","q1062","At least once a day."
"Funkayybabayy","q12970","Twice or more a day"
"Funkayybabayy","q35778","Yes."
"Funkayybabayy","q48","Weird"
"Funkayybabayy","q28831","It varies"
"Funkayybabayy","q44639","Yes"
"Funkayybabayy","q221106","Never"
"Funkayybabayy","q52682","No, in fact I prefer overweight people."
"Funkayybabayy","q27239","Sweet"
"Funkayybabayy","q20135","I'm indifferent / not sure"
"Funkayybabayy","q80041","Yes"
"Funkayybabayy","q1128","No, but I don't think it's inherently wrong."
"Funkayybabayy","q13086","No"
"Funkayybabayy","q1815","No"
"Funkayybabayy","q48753","Sometimes - It depends."
"Funkayybabayy","q146","Kissing in Paris"
"Funkayybabayy","q149","Dedication"
"Funkayybabayy","q25228","Yes"
"Funkayybabayy","q41953","The rest of my life"
"Funkayybabayy","q36045","Get married no, settle down yes."
"Funkayybabayy","q9668","Dominant"
"Funkayybabayy","q460831","Yes"
"Funkayybabayy","q5764","Okay, sometimes"
"Funkayybabayy","q31920","I prefer someone older"
"Funkayybabayy","q294","Having good sex"
"Funkayybabayy","q7079","Yes"
"Funkayybabayy","q40194","Somewhat important."
"Funkayybabayy","q60843","I would want them to make their own decision."
"Funkayybabayy","q979","1-2"
"Funkayybabayy","q19378","Actions: Do something nice (like a date or errand)"
"Funkayybabayy","q20021","Someone to go out with"
"Funkayybabayy","q31581","Not thrilled, but go ahead."
"Funkayybabayy","q41393","I'm neutral / it depends on their other traits."
"Funkayybabayy","q41850","Very important."
"Funkayybabayy","q577","Less than five"
"Funkayybabayy","q20519","Sure. I'm interested in sharing our beliefs."
"Funkayybabayy","q23543","Yes, unless otherwise specified"
"Funkayybabayy","q34094","Yes"
"Funkayybabayy","q1440","No"
