"d_username","field","value"
"JaneD_","d_age","54"
"JaneD_","d_city","Brooklyn"
"JaneD_","d_city","United States"
"JaneD_","d_orientation","Bisexual"
"JaneD_","d_gender","Woman"
"JaneD_","d_relationship","Single"
"JaneD_","d_bodytype","Fit"
"JaneD_","d_ethnicity","White"
"JaneD_","d_languages","English and some Spanish"
"JaneD_","d_education_phase","Attended"
"JaneD_","d_education_type","Post grad"
"JaneD_","d_religion_type","Other religion"
"JaneD_","d_drinks","Socially"
"JaneD_","lf_location","near me"
"JaneD_","lf_min_age","49"
"JaneD_","lf_max_age","59"
"JaneD_","lf_for","short & long term dating"
"JaneD_","p_adven","88"
"JaneD_","p_energetic","80"
"JaneD_","p_spon","74"
"JaneD_","p_polit","66"
"JaneD_","p_exp","62"
"JaneD_","p_kinky","58"
"JaneD_","p_ambi","50"
"JaneD_","p_inde","46"
"JaneD_","p_sexperienced","46"
"JaneD_","p_conf","18"
"JaneD_","p_polite","14"
"JaneD_","p_thrift","-16"
"JaneD_","p_playful","-18"
"JaneD_","p_conservative","-72"
"JaneD_","p_wholesome","-78"
"JaneD_","q20818","Maybe, but it would take a lot."
"JaneD_","q39373","Never."
"JaneD_","q136","No"
"JaneD_","q9447","This question upsets me"
"JaneD_","q46092","No."
"JaneD_","q29829","Whenever possible"
"JaneD_","q34113","No problem"
"JaneD_","q218","Yes, absolutely"
"JaneD_","q19776","Before 10"
"JaneD_","q46536","Very important."
"JaneD_","q81866","It wouldn't matter to me at all."
"JaneD_","q612","No, creationism has no place in schools"
"JaneD_","q27921","Less safe"
"JaneD_","q36790","Yes.  Always."
"JaneD_","q15752","Extremely important"
"JaneD_","q44384","It's all fine by me."
"JaneD_","q17","No"
"JaneD_","q169","Yes"
"JaneD_","q393","No"
"JaneD_","q9379","Yes, but only with my friend's permission"
"JaneD_","q18843","No"
"JaneD_","q18153","Yes, and I still do"
"JaneD_","q63409","Yes."
"JaneD_","q18763","Yes, I always try to do the right thing."
"JaneD_","q18858","Completely free"
"JaneD_","q70","No"
"JaneD_","q1497","Peace on Earth"
"JaneD_","q37708","Acceptable."
"JaneD_","q39147","Yes."
"JaneD_","q46563","No."
"JaneD_","q168","False"
"JaneD_","q8218","No"
"JaneD_","q25809","Only with probable cause."
"JaneD_","q15876","Yes"
"JaneD_","q26684","No"
"JaneD_","q31877","Unnecessary but appreciated."
"JaneD_","q46927","No."
"JaneD_","q84366","No."
"JaneD_","q71","No"
"JaneD_","q412","Yes"
"JaneD_","q1081","I'll stick with my principles, thanks."
"JaneD_","q20298","A sign of strength"
"JaneD_","q25421","Abortion"
"JaneD_","q51998","Positive."
"JaneD_","q1447","No"
"JaneD_","q13","No"
"JaneD_","q15751","Yes"
"JaneD_","q18797","No, I'd trust them and that would be invasive."
"JaneD_","q14","No"
"JaneD_","q395","Yes"
"JaneD_","q8142","Yes"
"JaneD_","q19681","No"
"JaneD_","q47764","Yes."
"JaneD_","q19748","I have no problem with them. You go girls!"
"JaneD_","q210","Yes"
"JaneD_","q6542","Yes"
"JaneD_","q20408","Yes, but I don't practice any of these."
"JaneD_","q54128","Yes."
"JaneD_","q156913","No"
"JaneD_","q763","Yes"
"JaneD_","q411","Yes"
"JaneD_","q115","Yes"
"JaneD_","q70135","The altar."
"JaneD_","q612","No, creationism has no place in schools"
"JaneD_","q15876","Yes"
"JaneD_","q47764","Yes."
"JaneD_","q16752","Yes"
"JaneD_","q35564","A friend, relative, or spouse does it."
"JaneD_","q85143","Definitely yes."
"JaneD_","q28831","Get up and do something"
"JaneD_","q187","Yes"
"JaneD_","q42209","I do not usually use an alarm clock to wake up."
"JaneD_","q47005","I would rather adopt."
"JaneD_","q160","A life of leisure"
"JaneD_","q16713","No"
"JaneD_","q126","Great"
"JaneD_","q59279","Exercise."
"JaneD_","q44639","No"
"JaneD_","q24153","Never"
"JaneD_","q158","No"
"JaneD_","q441","Yes"
"JaneD_","q369","A fast sports car"
"JaneD_","q82585","Yes, completely."
"JaneD_","q24496","Ugh. Nasty."
"JaneD_","q76","Yes"
"JaneD_","q1112","No"
"JaneD_","q23954","Never"
"JaneD_","q36524","Yes, all the time"
"JaneD_","q417","Yes"
"JaneD_","q15414","Yes, I have used psychedelic drugs."
"JaneD_","q17457","No."
"JaneD_","q32973","Yes, if it's not too strange."
"JaneD_","q307","Yes"
"JaneD_","q404","Yes"
"JaneD_","q39436","No."
"JaneD_","q81","Sometimes"
"JaneD_","q273","Yes"
"JaneD_","q43874","I'm living it now."
"JaneD_","q375","Yes"
"JaneD_","q531","Dancing"
"JaneD_","q19695","Sometimes / rarely"
"JaneD_","q33949","Yes, as much as possible"
"JaneD_","q35862","A cool room"
"JaneD_","q71542","Below 70F (21C)"
"JaneD_","q83841","No."
"JaneD_","q553","Yes"
"JaneD_","q33170","Pretty Early (6:00ish - 9:30ish AM)"
"JaneD_","q212814","Very important"
"JaneD_","q278","Crappy"
"JaneD_","q445","Work"
"JaneD_","q1730","Some"
"JaneD_","q12796","Yes"
"JaneD_","q12950","No"
"JaneD_","q18212","Over 20%"
"JaneD_","q18834","Expression"
"JaneD_","q44255","Yes."
"JaneD_","q48328","No."
"JaneD_","q48508","Very important."
"JaneD_","q50006","Better."
"JaneD_","q49","Carefree"
"JaneD_","q2717","Yes"
"JaneD_","q23618","Sort of - I need friends outside of my partner"
"JaneD_","q38196","I am an urban or city person."
"JaneD_","q62455","No."
"JaneD_","q376","No"
"JaneD_","q426","Yes"
"JaneD_","q442","Bad"
"JaneD_","q30622","Yes"
"JaneD_","q33043","It depends"
"JaneD_","q40441","Maybe a little bit."
"JaneD_","q62821","I prefer to be left alone."
"JaneD_","q77","Sometimes"
"JaneD_","q1712","Kind of shy"
"JaneD_","q19449","No, but I'd like to"
"JaneD_","q35955","Very comfortable"
"JaneD_","q36357","Good transportation / fun."
"JaneD_","q86544","Emotion, Intuition, Instinct."
"JaneD_","q64022","Yes."
"JaneD_","q73","Big city"
"JaneD_","q94","Yes"
"JaneD_","q2457","No"
"JaneD_","q15744","Yes"
"JaneD_","q38230","Yes."
"JaneD_","q42282","Yes."
"JaneD_","q53910","Frequently."
"JaneD_","q60318","Yes."
"JaneD_","q434","Yes"
"JaneD_","q512","Yes"
"JaneD_","q18663","Yes"
"JaneD_","q23811","Yes, sometimes."
"JaneD_","q27672","Critically important."
"JaneD_","q50352","I would pack on the day before I leave."
"JaneD_","q67651","Public school."
"JaneD_","q76934","Porn."
"JaneD_","q212813","Liberal / Left-wing"
"JaneD_","q335","No"
"JaneD_","q602","No, but I would like to some day."
"JaneD_","q32660","Yes!"
"JaneD_","q34662","50+"
"JaneD_","q43827","Yes."
"JaneD_","q221106","Never"
"JaneD_","q170","Yes"
"JaneD_","q9411","Yes, a lot"
"JaneD_","q15622","Yes"
"JaneD_","q19652","Less than 1 hour"
"JaneD_","q35606","Heck yeah! I'll bring the hot cocoa/coffee/tea."
"JaneD_","q1782","Yes"
"JaneD_","q12584","Yes"
"JaneD_","q4346","A good idea."
"JaneD_","q7085","Yes"
"JaneD_","q57307","Yes."
"JaneD_","q42665","Yes."
"JaneD_","q15637","Yes"
"JaneD_","q54128","Yes."
"JaneD_","q57101","Sexuality."
"JaneD_","q763","Yes"
"JaneD_","q12503","Very frequently."
"JaneD_","q59487","No."
"JaneD_","q15550","5 years"
"JaneD_","q16915","Hyper"
"JaneD_","q1222","Someone who turns you on."
"JaneD_","q4043","Yes"
"JaneD_","q82128","No worries."
"JaneD_","q44040","No."
"JaneD_","q85686","No."
"JaneD_","q36465","I'll do both somehow, but keep them separated."
"JaneD_","q59426","When I was certain the relationship was ending."
"JaneD_","q18883","Yay! I'm there first thing tomorrow!"
"JaneD_","q22122","I'd meet right away if their profile were cool"
"JaneD_","q155","Yes"
"JaneD_","q308","No"
"JaneD_","q41953","The rest of my life"
"JaneD_","q54016","Yes."
"JaneD_","q82681","Someone attractive and smart."
"JaneD_","q153","A really divey bar"
"JaneD_","q6813","Yes"
"JaneD_","q889","I'd rather be pursued."
"JaneD_","q39291","No."
"JaneD_","q149","Passion"
"JaneD_","q1128","Yes, but only if everybody knew."
"JaneD_","q75677","Dependency."
"JaneD_","q460831","Yes"
"JaneD_","q68401","No."
"JaneD_","q9668","Balanced"
"JaneD_","q85813","Yes, I'd go occasionally."
"JaneD_","q1815","Yes"
"JaneD_","q31920","I prefer someone close to my own age"
"JaneD_","q49053","More than five years."
"JaneD_","q85272","I want you."
"JaneD_","q122","A lot"
"JaneD_","q6258","Yes"
"JaneD_","q16053","Totally willing!"
"JaneD_","q42895","No."
"JaneD_","q80041","No"
"JaneD_","q38210","No."
"JaneD_","q50737","It would vary depending upon their gender."
"JaneD_","q56699","Yes."
"JaneD_","q18692","No"
"JaneD_","q20021","Someone to go out with"
"JaneD_","q20568","They know a lot."
"JaneD_","q21181","It doesn't matter to me"
"JaneD_","q28754","At least 2 years"
"JaneD_","q60145","No."
"JaneD_","q67821","No."
