"d_username","field","value"
"JessaLarsen","d_age","26"
"JessaLarsen","d_city","Draper"
"JessaLarsen","d_city","United States"
"JessaLarsen","d_orientation","Bisexual"
"JessaLarsen","d_gender","Woman"
"JessaLarsen","d_relationship","Single"
"JessaLarsen","d_bodytype","Fit"
"JessaLarsen","d_ethnicity","White"
"JessaLarsen","d_languages","English"
"JessaLarsen","d_education_phase","Dropped out of"
"JessaLarsen","d_education_type","space camp"
"JessaLarsen","d_smokes","Never"
"JessaLarsen","d_drinks","Socially"
"JessaLarsen","d_drugs","Sometimes"
"JessaLarsen","d_offspring_current","has kid(s)"
"JessaLarsen","d_offspring_desires","Doesn't want kids"
"JessaLarsen","lf_location","near me"
"JessaLarsen","lf_min_age","18"
"JessaLarsen","lf_max_age","30"
"JessaLarsen","lf_for","short & long term dating"
"JessaLarsen","p_energetic","84"
"JessaLarsen","p_lit","84"
"JessaLarsen","p_exp","66"
"JessaLarsen","p_indie","18"
"JessaLarsen","p_sexperienced","14"
"JessaLarsen","p_conf","10"
"JessaLarsen","p_wholesome","-12"
"JessaLarsen","p_oldfash","-22"
"JessaLarsen","p_roman","-22"
"JessaLarsen","p_polit","-34"
"JessaLarsen","p_good-natured","-72"
"JessaLarsen","p_conservative","-72"
"JessaLarsen","p_polite","-98"
"JessaLarsen","q18797","Yes, I'd be too curious not to."
"JessaLarsen","q455","Yes"
"JessaLarsen","q65","No"
"JessaLarsen","q136","No"
"JessaLarsen","q594","Yes, anything can be funny in the right light."
"JessaLarsen","q612","No, creationism has no place in schools"
"JessaLarsen","q393","No"
"JessaLarsen","q29829","Whenever possible"
"JessaLarsen","q39185","book burning"
"JessaLarsen","q359387","Relative"
"JessaLarsen","q838","Yes"
"JessaLarsen","q29829","Whenever possible"
"JessaLarsen","q359387","Relative"
"JessaLarsen","q9447","Fewer stupid people"
"JessaLarsen","q31877","Unnecessary but appreciated."
"JessaLarsen","q37708","Acceptable."
"JessaLarsen","q85835","Neither, they are equally bad."
"JessaLarsen","q154","No, it wouldn't."
"JessaLarsen","q70","No"
"JessaLarsen","q46927","No."
"JessaLarsen","q13","No"
"JessaLarsen","q341","Yes"
"JessaLarsen","q24125","No"
"JessaLarsen","q27341","Disgusted"
"JessaLarsen","q23993","Slightly experienced"
"JessaLarsen","q2","more cool than pathetic"
"JessaLarsen","q35","Sex"
"JessaLarsen","q30","No"
"JessaLarsen","q1040","I don't like it / I don't think I would like it"
"JessaLarsen","q1597","Yes"
"JessaLarsen","q35355","I'm open, but I don't get too crazy."
"JessaLarsen","q63114","My sex drive is higher than average."
"JessaLarsen","q32","I have tried it."
"JessaLarsen","q24375","1-2 dates"
"JessaLarsen","q12","Yes"
"JessaLarsen","q18433","Sort of positive"
"JessaLarsen","q12605","About every other day"
"JessaLarsen","q58812","Yes"
"JessaLarsen","q29384","Yes."
"JessaLarsen","q12964","Yes"
"JessaLarsen","q1028","I enjoy both equally"
"JessaLarsen","q1401","Yes, and I enjoyed myself."
"JessaLarsen","q20889","It refers to a very specific kind of sex."
"JessaLarsen","q28545","Yes, and hard!"
"JessaLarsen","q30169","Love it!"
"JessaLarsen","q324","I disagree."
"JessaLarsen","q18530","Yes"
"JessaLarsen","q86366","Yes."
"JessaLarsen","q14913","No"
"JessaLarsen","q393","No"
"JessaLarsen","q24125","No"
"JessaLarsen","q13","No"
"JessaLarsen","q41","Not very important"
"JessaLarsen","q210","No"
"JessaLarsen","q48372","No"
"JessaLarsen","q61786","No"
"JessaLarsen","q156913","No"
"JessaLarsen","q15889","Science"
"JessaLarsen","q44","False"
"JessaLarsen","q763","Yes"
"JessaLarsen","q60100","No"
"JessaLarsen","q612","No, creationism has no place in schools"
"JessaLarsen","q9688","Yes"
"JessaLarsen","q1454","No"
"JessaLarsen","q20418","No"
"JessaLarsen","q8155","Weekly / Bi-Weekly"
"JessaLarsen","q87","Yes"
"JessaLarsen","q80","I've done drugs in the past, but no longer."
"JessaLarsen","q62254","No."
"JessaLarsen","q212814","A little important"
"JessaLarsen","q501","No"
"JessaLarsen","q79","I smoke occasionally."
"JessaLarsen","q325","Yes"
"JessaLarsen","q12970","Once a day"
"JessaLarsen","q19815","Somewhat, but it's their life."
"JessaLarsen","q13006","Yes, but only an occasional/social smoker"
"JessaLarsen","q43261","I am my own person."
"JessaLarsen","q1062","Usually daily. I skip some."
"JessaLarsen","q358077","Yes"
"JessaLarsen","q49","Carefree"
"JessaLarsen","q56","No"
"JessaLarsen","q403","No"
"JessaLarsen","q553","Yes"
"JessaLarsen","q23834","Yes"
"JessaLarsen","q53611","Never."
"JessaLarsen","q55","No"
"JessaLarsen","q18834","Knowledge"
"JessaLarsen","q22021","No, it's not very important."
"JessaLarsen","q62455","No."
"JessaLarsen","q76","No"
"JessaLarsen","q77","Sometimes"
"JessaLarsen","q442","Bad"
"JessaLarsen","q997","Both"
"JessaLarsen","q158","Yes"
