"d_username","field","value"
"Leannedoesit","d_age","19"
"Leannedoesit","d_city","Tonbridge"
"Leannedoesit","d_city","United Kingdom"
"Leannedoesit","d_orientation","Pansexual"
"Leannedoesit","d_orientation","Queer"
"Leannedoesit","d_orientation","Questioning"
"Leannedoesit","d_gender","Woman"
"Leannedoesit","d_gender","Woman"
"Leannedoesit","d_relationship","Single"
"Leannedoesit","d_bodytype","Curvy"
"Leannedoesit","d_ethnicity","Multi-ethnic"
"Leannedoesit","d_languages","English"
"Leannedoesit","d_education_phase","Attended"
"Leannedoesit","d_education_type","High school"
"Leannedoesit","d_smokes","Never"
"Leannedoesit","d_drinks","Socially"
"Leannedoesit","d_drugs","No"
"Leannedoesit","d_offspring_current","No kids"
"Leannedoesit","d_offspring_desires","Doesn't want kids"
"Leannedoesit","lf_location","near me"
"Leannedoesit","lf_min_age","18"
"Leannedoesit","lf_max_age","25"
"Leannedoesit","lf_for","short & long term datin"
"Leannedoesit","p_dominant","58"
"Leannedoesit","p_outgoing","52"
"Leannedoesit","p_kinky","32"
"Leannedoesit","p_artsy","26"
"Leannedoesit","p_sloppy","26"
"Leannedoesit","p_comp","12"
"Leannedoesit","p_wholesome","-12"
"Leannedoesit","p_sprit","-22"
"Leannedoesit","p_arro","-26"
"Leannedoesit","p_trusting","-28"
"Leannedoesit","p_adven","-72"
"Leannedoesit","p_exp","-76"
"Leannedoesit","q18797","Yes, I'd be too curious not to."
"Leannedoesit","q1497","Loads of money"
"Leannedoesit","q40570","Tactful"
"Leannedoesit","q48770","Yes."
"Leannedoesit","q31821","Don't know/Don't care"
"Leannedoesit","q213","Yes"
"Leannedoesit","q17","Yes"
"Leannedoesit","q18555","No"
"Leannedoesit","q39373","Never."
"Leannedoesit","q18843","Yes"
"Leannedoesit","q53965","Kill it."
"Leannedoesit","q887","Yes, and I often try to push the boundaries!"
"Leannedoesit","q29829","Always"
"Leannedoesit","q39","Yes"
"Leannedoesit","q136","Yes"
