"d_username","field","value"
"Leila1002","d_age","26"
"Leila1002","d_city","New York"
"Leila1002","d_city","United States"
"Leila1002","d_orientation","Bisexual"
"Leila1002","d_gender","Woman"
"Leila1002","d_relationship","Single"
"Leila1002","d_bodytype","Average build"
"Leila1002","d_ethnicity","Asian"
"Leila1002","d_languages","English"
"Leila1002","d_education_phase","Attended"
"Leila1002","d_education_type","Post grad"
"Leila1002","d_smokes","Never"
"Leila1002","d_drinks","Socially"
"Leila1002","d_drugs","No"
"Leila1002","d_offspring_current","No kids"
"Leila1002","d_offspring_desires","Doesn't want kids"
"Leila1002","lf_single","single"
"Leila1002","lf_location","near me"
"Leila1002","lf_min_age","24"
"Leila1002","lf_max_age","35"
"Leila1002","lf_for","long-term dating and new friends"
"Leila1002","p_playful","84"
"Leila1002","p_polite","62"
"Leila1002","p_artsy","60"
"Leila1002","p_wholesome","48"
"Leila1002","p_lit","30"
"Leila1002","p_conservative","28"
"Leila1002","p_nerdy","16"
"Leila1002","p_kinky","10"
"Leila1002","p_giving","-20"
"Leila1002","p_conf","-26"
"Leila1002","p_exp","-30"
"Leila1002","p_dominant","-38"
"Leila1002","p_outgoing","-44"
"Leila1002","p_trusting","-46"
"Leila1002","q85315","I haven't had a past relationship."
"Leila1002","q393","Yes"
"Leila1002","q20818","Yes, life is a big gray area anyway."
"Leila1002","q1446","It depends on the kind of suffering"
"Leila1002","q18797","Only if I suspected them of something."
"Leila1002","q594","No, some subjects should not be joked about."
"Leila1002","q18979","No, I'd dump them on the spot."
"Leila1002","q31877","Admirable and desirable. Chivalry's not dead."
"Leila1002","q53965","Kill it."
"Leila1002","q612","Yes, students should hear both sides"
"Leila1002","q29829","Whenever possible"
"Leila1002","q70","No"
"Leila1002","q136","Yes"
"Leila1002","q65","Yes"
"Leila1002","q838","Yes"
"Leila1002","q37708","Acceptable."
"Leila1002","q9447","This question upsets me"
"Leila1002","q39373","Rarely."
"Leila1002","q85835","Neither, they are equally bad."
"Leila1002","q15037","No"
"Leila1002","q359387","Relative"
"Leila1002","q46927","No."
"Leila1002","q71","No"
"Leila1002","q168","False"
"Leila1002","q18125","No"
"Leila1002","q36790","Yes, unless I am otherwise in a hurry."
"Leila1002","q46563","No."
"Leila1002","q171","Your world"
"Leila1002","q218","Yes, only if it were regulated"
"Leila1002","q486","Welfare is mostly good"
"Leila1002","q13054","I support the laws"
"Leila1002","q17017","Never"
"Leila1002","q20298","A sign of strength"
"Leila1002","q24125","No"
"Leila1002","q40570","Truthful"
"Leila1002","q229","No"
"Leila1002","q395","Yes"
"Leila1002","q412","Yes"
"Leila1002","q15878","Yes"
"Leila1002","q53312","Weapons."
"Leila1002","q1081","I'll stick with my principles, thanks."
"Leila1002","q20212","I'm still a virgin."
"Leila1002","q275","Yes"
"Leila1002","q1028","I'm a virgin"
"Leila1002","q1173","I am a virgin"
"Leila1002","q29384","It depends."
"Leila1002","q18639","Yes, because I like it, too"
"Leila1002","q12605","Once or twice a week"
"Leila1002","q50178","No."
"Leila1002","q23993","Slightly experienced"
"Leila1002","q17808","Depends on how 'well' we are talking!"
"Leila1002","q1401","No, but I would like to."
"Leila1002","q20889","It's beautiful."
"Leila1002","q24375","6 or more dates"
"Leila1002","q1597","No"
"Leila1002","q20062","No way."
"Leila1002","q30169","It's okay."
"Leila1002","q54127","Yes, sometimes."
"Leila1002","q32","It seriously interests me."
"Leila1002","q309","No"
"Leila1002","q51373","Only after I have taken steps to be clean."
"Leila1002","q82263","Yes."
"Leila1002","q665","Never tried it, but I'm open-minded."
"Leila1002","q19893","No"
"Leila1002","q35355","I'm open, but I don't get too crazy."
"Leila1002","q21","No"
"Leila1002","q30903","Yes"
"Leila1002","q28545","Yes, but gently."
"Leila1002","q1040","I like it / I think I might like it"
"Leila1002","q30115","I wouldn't."
"Leila1002","q63114","My sex drive is higher than average."
"Leila1002","q72086","No."
"Leila1002","q11","Horrified"
"Leila1002","q31374","No, but it sounds interesting."
"Leila1002","q48347","No"
"Leila1002","q61278","Positively."
"Leila1002","q321556","A few times a week"
"Leila1002","q12964","Yes"
"Leila1002","q86417","More than a day, less than a week."
"Leila1002","q7077","Sleeping"
"Leila1002","q18682","Yes"
"Leila1002","q35203","Yes"
"Leila1002","q2","more pathetic than cool"
"Leila1002","q29","be tied up during sex"
"Leila1002","q963","Yes"
"Leila1002","q324","I disagree."
"Leila1002","q35276","Just enough to get things right."
"Leila1002","q83184","Either, depending upon how they sound."
"Leila1002","q30","Yes, some"
"Leila1002","q28918","Yes"
"Leila1002","q60852","Yes"
"Leila1002","q21527","No"
"Leila1002","q60756","Maybe, it would depend upon the phrase."
"Leila1002","q463","They take control"
"Leila1002","q1134","Yes"
"Leila1002","q50564","Yes."
"Leila1002","q58829","Yes."
"Leila1002","q1408","Yes"
"Leila1002","q26","Yes"
"Leila1002","q65043","Yes."
"Leila1002","q393","Yes"
"Leila1002","q24125","No"
"Leila1002","q53312","Weapons."
"Leila1002","q395","Yes"
"Leila1002","q986","No"
"Leila1002","q24740","Yes"
"Leila1002","q20408","Yes, but I don't practice any of these."
"Leila1002","q156913","No"
"Leila1002","q39210","Maybe, but there is no way to really know."
"Leila1002","q61786","No"
"Leila1002","q44","False"
"Leila1002","q15889","Science"
"Leila1002","q763","Yes"
"Leila1002","q18708","A method one can follow to make predictions."
"Leila1002","q60100","No"
"Leila1002","q156915","No"
"Leila1002","q156914","No"
"Leila1002","q612","Yes, students should hear both sides"
"Leila1002","q82528","Yes, but only when alone."
"Leila1002","q17168","No"
"Leila1002","q8048","A yuppie"
"Leila1002","q42282","No."
"Leila1002","q6888","I used to be"
"Leila1002","q74","Clothes"
"Leila1002","q13100","No"
"Leila1002","q19695","Never / not really"
"Leila1002","q9688","No"
"Leila1002","q87","Yes"
"Leila1002","q24282","Somewhat inclined"
"Leila1002","q35862","A warm room"
"Leila1002","q160","A life of leisure"
"Leila1002","q234","A lot"
"Leila1002","q33170","Morning? Curse that AM light! (afternoon or dark)"
"Leila1002","q42120","No, never."
"Leila1002","q37695","I think that I might, but I do not."
"Leila1002","q250","Yes"
"Leila1002","q221105","I rarely use it."
"Leila1002","q913","Dream Job"
"Leila1002","q13006","No"
"Leila1002","q27672","Sort of important"
"Leila1002","q47635","No."
"Leila1002","q79","Never."
"Leila1002","q62254","No."
"Leila1002","q70586","No."
"Leila1002","q93","Variety"
"Leila1002","q501","No"
"Leila1002","q19815","Yes, I wouldn't be able to tolerate that."
"Leila1002","q83646","Yes."
"Leila1002","q77","Rarely"
"Leila1002","q325","No"
"Leila1002","q403","Yes"
"Leila1002","q15030","Movies"
"Leila1002","q185","Yes"
"Leila1002","q358077","No"
"Leila1002","q71315","Yes, but I don't need it to fall asleep."
"Leila1002","q365","Not at all"
"Leila1002","q1119","Yes"
"Leila1002","q28478","Positive. Very sensible."
"Leila1002","q49","Intense"
"Leila1002","q88","I'm mostly organized"
"Leila1002","q1062","Usually daily. I skip some."
"Leila1002","q23834","No"
"Leila1002","q32973","Yes, if it's not too strange."
"Leila1002","q80","I never do drugs."
"Leila1002","q81","Never"
"Leila1002","q20418","Sometimes"
"Leila1002","q38423","Pajamas."
"Leila1002","q86544","Reason, Observation, Empiricism, Trial-And-Error."
"Leila1002","q63","Private"
"Leila1002","q78","No"
"Leila1002","q445","Work"
"Leila1002","q6537","No"
"Leila1002","q18711","No, but it sounds cool"
"Leila1002","q31898","Those poor, locked-up animals!"
"Leila1002","q37693","Yes, but I would not play that much."
"Leila1002","q42918","Loud or louder."
"Leila1002","q212814","Somewhat important"
"Leila1002","q56","Yes"
"Leila1002","q334","Yes"
"Leila1002","q18834","Expression"
"Leila1002","q30830","Maybe, depends on what and who with."
"Leila1002","q33949","I would, but it's too expensive"
"Leila1002","q38223","No, I do not like to go clubbing."
"Leila1002","q59597","Play a musical instrument."
"Leila1002","q158","Yes"
"Leila1002","q1640","Order"
"Leila1002","q17342","By 1am"
"Leila1002","q21755","It's interesting, but not really"
"Leila1002","q27164","No"
"Leila1002","q46780","Rarely or never - That would be wasteful."
"Leila1002","q50379","This is something I would like."
"Leila1002","q67641","Somewhat important."
"Leila1002","q69912","Artist"
"Leila1002","q55","No"
"Leila1002","q76","No"
"Leila1002","q1309","Just a few close friends."
"Leila1002","q13136","Somewhat Important"
"Leila1002","q26317","Yes"
"Leila1002","q28777","Yes"
"Leila1002","q43261","I consider their opinion but go my own way."
"Leila1002","q215","art"
"Leila1002","q338","I'm more mature"
"Leila1002","q442","Bad"
"Leila1002","q512","Yes"
"Leila1002","q553","Yes"
"Leila1002","q1712","Kind of shy"
"Leila1002","q12970","Twice or more a day"
"Leila1002","q18609","Yes, with a cook book."
"Leila1002","q20838","Given a good combing."
"Leila1002","q29815","I dislike it."
"Leila1002","q30384","Daily."
"Leila1002","q38196","I am an urban or city person."
"Leila1002","q54695","Somewhat clear."
"Leila1002","q86515","Yes."
