"d_username","field","value"
"MiaMinstrel","d_age","25"
"MiaMinstrel","d_city","Los Angeles"
"MiaMinstrel","d_city","United States"
"MiaMinstrel","d_orientation","Bisexual"
"MiaMinstrel","d_gender","Woman"
"MiaMinstrel","d_relationship","Single"
"MiaMinstrel","d_bodytype","A little"
"MiaMinstrel","d_ethnicity","White"
"MiaMinstrel","d_languages","English"
"MiaMinstrel","d_education_phase","Attended"
"MiaMinstrel","d_education_type","University"
"MiaMinstrel","d_religion_seriosity","laughing about it"
"MiaMinstrel","d_smokes","Never"
"MiaMinstrel","d_drinks","Socially"
"MiaMinstrel","d_drugs","No"
"MiaMinstrel","d_offspring_current","No kids"
"MiaMinstrel","d_offspring_desires","Doesn't want kids"
"MiaMinstrel","lf_single","single"
"MiaMinstrel","lf_location","near me"
"MiaMinstrel","lf_min_age","21"
"MiaMinstrel","lf_max_age","32"
"MiaMinstrel","lf_for","short & long term dating and new friends"
"MiaMinstrel","p_organized","86"
"MiaMinstrel","p_playful","54"
"MiaMinstrel","p_indie","44"
"MiaMinstrel","p_sprit","-16"
"MiaMinstrel","p_sloppy","-24"
"MiaMinstrel","p_conservative","-44"
"MiaMinstrel","p_trusting","-56"
"MiaMinstrel","p_oldfash","-64"
"MiaMinstrel","q65","Yes"
"MiaMinstrel","q136","Yes"
"MiaMinstrel","q838","Yes"
"MiaMinstrel","q70","No"
"MiaMinstrel","q154","No, it wouldn't."
"MiaMinstrel","q393","No"
"MiaMinstrel","q612","No, creationism has no place in schools"
"MiaMinstrel","q29829","Whenever possible"
"MiaMinstrel","q27921","Less safe"
"MiaMinstrel","q39185","book burning"
"MiaMinstrel","q44384","It's all fine by me."
"MiaMinstrel","q175","No"
"MiaMinstrel","q24125","No"
"MiaMinstrel","q37708","Acceptable."
"MiaMinstrel","q46927","No."
"MiaMinstrel","q24375","6 or more dates"
"MiaMinstrel","q321556","Once a day or more"
"MiaMinstrel","q1597","No"
"MiaMinstrel","q56607","Yes."
"MiaMinstrel","q35355","I'm open, but I don't get too crazy."
"MiaMinstrel","q12605","About every other day"
"MiaMinstrel","q35","Love"
"MiaMinstrel","q1401","Yes, and I enjoyed myself."
"MiaMinstrel","q12964","Yes"
"MiaMinstrel","q1028","I enjoy both equally"
"MiaMinstrel","q18530","Yes"
"MiaMinstrel","q393","No"
"MiaMinstrel","q24125","No"
"MiaMinstrel","q41","Not at all important"
"MiaMinstrel","q156913","No"
"MiaMinstrel","q15889","Science"
"MiaMinstrel","q60100","No"
"MiaMinstrel","q612","No, creationism has no place in schools"
"MiaMinstrel","q221106","Sometimes"
"MiaMinstrel","q40441","Yes."
"MiaMinstrel","q325","No"
"MiaMinstrel","q20418","Yes"
"MiaMinstrel","q358077","No"
"MiaMinstrel","q501","No"
"MiaMinstrel","q212814","Somewhat important"
"MiaMinstrel","q79","I smoked in the past, but no longer."
"MiaMinstrel","q403","Yes"
"MiaMinstrel","q553","Yes"
"MiaMinstrel","q997","Dogs"
"MiaMinstrel","q23834","No"
"MiaMinstrel","q55","No"
"MiaMinstrel","q27164","No"
"MiaMinstrel","q9688","Yes, but only soft stuff like marijuana"
"MiaMinstrel","q12970","Twice or more a day"
"MiaMinstrel","q43261","I am my own person."
"MiaMinstrel","q49","Carefree"
"MiaMinstrel","q13006","Yes"
"MiaMinstrel","q221105","I'm a very active user."
"MiaMinstrel","q8155","Once every month or three."
"MiaMinstrel","q18834","Knowledge"
"MiaMinstrel","q80","I never do drugs."
"MiaMinstrel","q87","No"
"MiaMinstrel","q158","Yes"
"MiaMinstrel","q442","Bad"
"MiaMinstrel","q1062","At least once a day."
"MiaMinstrel","q16713","Yes"
"MiaMinstrel","q53611","Rarely."
