"d_username","field","value"
"NIKKIBROEEE","d_age","20"
"NIKKIBROEEE","d_city","Round Rock"
"NIKKIBROEEE","d_city","United States"
"NIKKIBROEEE","d_orientation","Bisexual"
"NIKKIBROEEE","d_gender","Woman"
"NIKKIBROEEE","d_relationship","Single"
"NIKKIBROEEE","d_bodytype","Curvy"
"NIKKIBROEEE","d_ethnicity","Multi-ethnic"
"NIKKIBROEEE","d_languages","English"
"NIKKIBROEEE","d_smokes","Never"
"NIKKIBROEEE","d_drinks","Socially"
"NIKKIBROEEE","d_drugs","No"
"NIKKIBROEEE","d_offspring_current","No kids"
"NIKKIBROEEE","d_offspring_desires","might want kids"
"NIKKIBROEEE","lf_single","single"
"NIKKIBROEEE","lf_location","near me"
"NIKKIBROEEE","lf_min_age","18"
"NIKKIBROEEE","lf_max_age","26"
"NIKKIBROEEE","lf_for","new friends"
"NIKKIBROEEE","p_conservative","22"
"NIKKIBROEEE","p_sexdrive","-58"
"NIKKIBROEEE","q27921","Less safe"
"NIKKIBROEEE","q154","No, it wouldn't."
"NIKKIBROEEE","q24375","6 or more dates"
"NIKKIBROEEE","q1597","No"
"NIKKIBROEEE","q35","Love"
"NIKKIBROEEE","q41","Somewhat important"
"NIKKIBROEEE","q60100","No"
"NIKKIBROEEE","q48","Normal"
"NIKKIBROEEE","q80","I've done drugs in the past, but no longer."
"NIKKIBROEEE","q553","No"
"NIKKIBROEEE","q358077","No"
"NIKKIBROEEE","q403","Yes"
"NIKKIBROEEE","q501","No"
"NIKKIBROEEE","q9688","Yes, but only soft stuff like marijuana"
"NIKKIBROEEE","q79","I smoke occasionally."
"NIKKIBROEEE","q77","Sometimes"
"NIKKIBROEEE","q44639","Yes"
"NIKKIBROEEE","q325","Yes"
"NIKKIBROEEE","q997","Both"
"NIKKIBROEEE","q49","Carefree"
"NIKKIBROEEE","q179268","No"
"NIKKIBROEEE","q123","Yes"
"NIKKIBROEEE","q149","Dedication"
"NIKKIBROEEE","q41953","Several years"
"NIKKIBROEEE","q1440","Yes"
"NIKKIBROEEE","q16053","Hesitant, but I'd certainly consider it."
"NIKKIBROEEE","q460831","Yes"
"NIKKIBROEEE","q358080","Discovering your shared interests"
"NIKKIBROEEE","q403","Yes"
"NIKKIBROEEE","q325","Yes"
"NIKKIBROEEE","q14835","On my left hand"
"NIKKIBROEEE","q255","89754"
"NIKKIBROEEE","q46","Good"
"NIKKIBROEEE","q4018","Yes"
"NIKKIBROEEE","q20930","Average"
"NIKKIBROEEE","q358084","Yes"
"NIKKIBROEEE","q8672","Where"
