"d_username","field","value"
"Piffany7x","d_age","26"
"Piffany7x","d_city","Seattle"
"Piffany7x","d_city","United States"
"Piffany7x","d_orientation","Bisexual"
"Piffany7x","d_gender","Woman"
"Piffany7x","d_relationship","Single"
"Piffany7x","d_bodytype","Average build"
"Piffany7x","d_ethnicity","Native American"
"Piffany7x","d_ethnicity","White"
"Piffany7x","d_languages","English"
"Piffany7x","d_education_phase","Working on"
"Piffany7x","d_education_type","Two-year college"
"Piffany7x","d_religion_seriosity","laughing about it"
"Piffany7x","d_smokes","Never"
"Piffany7x","d_drinks","Socially"
"Piffany7x","d_drugs","No"
"Piffany7x","lf_single","single"
"Piffany7x","lf_location","near me"
"Piffany7x","lf_min_age","18"
"Piffany7x","lf_max_age","23"
"Piffany7x","lf_for","short & long term dating and new friends"
"Piffany7x","p_kinky","28"
"Piffany7x","p_inde","20"
"Piffany7x","p_playful","-38"
"Piffany7x","p_outgoing","-44"
"Piffany7x","p_conf","-62"
"Piffany7x","p_dominant","-64"
"Piffany7x","p_law-abiding","-66"
"Piffany7x","p_good-natured","-90"
"Piffany7x","q154","Yes, it would."
"Piffany7x","q51774","I approve of hunting for food and sport."
"Piffany7x","q678","I don't know"
"Piffany7x","q18797","Only if I suspected them of something."
"Piffany7x","q393","Yes"
"Piffany7x","q165","No"
"Piffany7x","q594","Yes, anything can be funny in the right light."
"Piffany7x","q838","Yes"
"Piffany7x","q29829","Whenever possible"
"Piffany7x","q39","Yes"
"Piffany7x","q612","Yes, students should hear both sides"
"Piffany7x","q27921","Less safe"
"Piffany7x","q42329","Only as a last resort for survival"
"Piffany7x","q70","No"
"Piffany7x","q868","Sometimes"
"Piffany7x","q29211","No, it's not as bad."
"Piffany7x","q85835","Neither, they are equally bad."
"Piffany7x","q226","the right to bear arms"
"Piffany7x","q455","No"
"Piffany7x","q33349","No"
"Piffany7x","q81866","It wouldn't matter to me at all."
"Piffany7x","q218","Yes, only if it were regulated"
"Piffany7x","q13054","I support the laws"
"Piffany7x","q44384","It's all fine by me."
"Piffany7x","q24125","No"
"Piffany7x","q47589","I don't . I'm as friendly (or not) as always."
"Piffany7x","q19748","I have no problem with them. You go girls!"
"Piffany7x","q23472","No"
"Piffany7x","q20889","It's no better or worse than any other."
"Piffany7x","q58812","No"
"Piffany7x","q17732","No"
"Piffany7x","q35355","I'm open, but I don't get too crazy."
"Piffany7x","q70508","No."
"Piffany7x","q32","I have tried it."
"Piffany7x","q20976","That seems like an average number."
"Piffany7x","q12964","Yes"
"Piffany7x","q29384","Yes."
"Piffany7x","q29","be tied up during sex"
"Piffany7x","q1028","I enjoy both equally"
"Piffany7x","q1401","Yes, and I enjoyed myself."
"Piffany7x","q69714","Some is - Some isn't."
"Piffany7x","q9628","Yes"
"Piffany7x","q14913","No"
"Piffany7x","q28742","Yes"
"Piffany7x","q51360","Yes."
"Piffany7x","q61903","No"
"Piffany7x","q6040","Yes"
"Piffany7x","q393","Yes"
"Piffany7x","q24125","No"
"Piffany7x","q13032","Hesistant, but willing"
"Piffany7x","q21729","I don't know/care."
"Piffany7x","q156913","No"
"Piffany7x","q41","Not at all important"
"Piffany7x","q42","No"
"Piffany7x","q44","False"
"Piffany7x","q763","Yes"
"Piffany7x","q60100","No"
"Piffany7x","q612","Yes, students should hear both sides"
"Piffany7x","q35778","Maybe."
"Piffany7x","q221106","Sometimes"
"Piffany7x","q42120","No, never."
"Piffany7x","q44639","No"
"Piffany7x","q76","Yes"
"Piffany7x","q403","Yes"
"Piffany7x","q9688","Yes, but only soft stuff like marijuana"
"Piffany7x","q501","No"
"Piffany7x","q13106","I'm partially there already."
"Piffany7x","q1112","No"
"Piffany7x","q325","Yes"
"Piffany7x","q23834","Yes"
"Piffany7x","q44354","I love long camping trips."
"Piffany7x","q47005","Either would be equally fine."
"Piffany7x","q23618","Very - I need some me time to be happy"
"Piffany7x","q23954","Rarely"
"Piffany7x","q50379","This is something I would like."
"Piffany7x","q43261","I consider their opinion but go my own way."
"Piffany7x","q80","I never do drugs."
"Piffany7x","q87","No"
"Piffany7x","q553","Yes"
"Piffany7x","q158","Yes"
"Piffany7x","q442","Bad"
"Piffany7x","q77","Sometimes"
"Piffany7x","q997","Both"
"Piffany7x","q21754","I do not really have an opinion/never been to one."
"Piffany7x","q434","Yes"
"Piffany7x","q22683","Yes"
"Piffany7x","q12970","Twice or more a day"
"Piffany7x","q40441","Maybe a little bit."
"Piffany7x","q48","Weird"
"Piffany7x","q179268","No"
"Piffany7x","q58763","Yes."
"Piffany7x","q763","Yes"
"Piffany7x","q25294","Depends on the person."
"Piffany7x","q36","No"
"Piffany7x","q19874","0-6 months"
"Piffany7x","q24345","A bit."
"Piffany7x","q41953","A few months to a year"
"Piffany7x","q9668","Dominant"
"Piffany7x","q16053","Hesitant, but I'd certainly consider it."
"Piffany7x","q19236","Yes"
"Piffany7x","q20519","Sometimes. It depends."
"Piffany7x","q36045","No way."
"Piffany7x","q149","Passion"
"Piffany7x","q23543","No, it's not necessary"
"Piffany7x","q784","Yes"
"Piffany7x","q146","Kissing in a tent, in the woods"
"Piffany7x","q15550","15 years"
"Piffany7x","q20021","Someone to go out with"
"Piffany7x","q40650","Yes! That's a personality trait we have to share."
"Piffany7x","q44540","No - This would not bother me."
"Piffany7x","q16295","Foolish"
"Piffany7x","q16371","Accept / Are open to non-monogamous relationships."
"Piffany7x","q31581","Not thrilled, but go ahead."
"Piffany7x","q31840","Touching my partner"
"Piffany7x","q979","1-2"
"Piffany7x","q20135","I like to just let it happen"
"Piffany7x","q1222","Someone you feel like you've known forever."
"Piffany7x","q6258","Yes"
"Piffany7x","q80041","No"
"Piffany7x","q106","No"
"Piffany7x","q605","No"
"Piffany7x","q15280","No"
"Piffany7x","q48753","Yes."
"Piffany7x","q527","No"
"Piffany7x","q55744","This would not be an important factor to me."
"Piffany7x","q165644","Nothing to talk about"
"Piffany7x","q24333","No"
"Piffany7x","q34094","Yes"
"Piffany7x","q27239","Scary"
"Piffany7x","q403","Yes"
"Piffany7x","q325","Yes"
"Piffany7x","q23618","Very - I need some me time to be happy"
"Piffany7x","q12964","Yes"
"Piffany7x","q44384","It's all fine by me."
"Piffany7x","q6350","Athletic"
"Piffany7x","q165651","Yes"
"Piffany7x","q134","Yes"
"Piffany7x","q28903","A promising first date"
"Piffany7x","q15698","They're okay, but keep the unruly ones at bay."
"Piffany7x","q267","No"
"Piffany7x","q28820","Have great friends"
"Piffany7x","q274","High School"
"Piffany7x","q7239","Arrogance"
"Piffany7x","q57","No"
"Piffany7x","q128","I have no tattoos"
"Piffany7x","q8672","Why"
"Piffany7x","q25561","Why would it?"
"Piffany7x","q46","Interesting"
"Piffany7x","q19898","I'm an information sponge"
"Piffany7x","q20725","All the time"
"Piffany7x","q35520","Some of the time - It depends."
"Piffany7x","q20530","Yes"
"Piffany7x","q256","Not touching anything else at the same time"
"Piffany7x","q255","89547"
"Piffany7x","q358084","Yes"
"Piffany7x","q178","The Sun"
"Piffany7x","q382","No"
