"d_username","field","value"
"Smart-n-Stuff","d_age","31"
"Smart-n-Stuff","d_city","Las Vegas"
"Smart-n-Stuff","d_city","United States"
"Smart-n-Stuff","d_orientation","Bisexual"
"Smart-n-Stuff","d_gender","Woman"
"Smart-n-Stuff","d_relationship","Single"
"Smart-n-Stuff","d_bodytype","Fit"
"Smart-n-Stuff","d_languages","English and Spanish"
"Smart-n-Stuff","d_education_phase","Attended"
"Smart-n-Stuff","d_education_type","Post grad"
"Smart-n-Stuff","d_religion_seriosity","laughing about it"
"Smart-n-Stuff","d_smokes","Never"
"Smart-n-Stuff","d_drinks","Socially"
"Smart-n-Stuff","d_drugs","No"
"Smart-n-Stuff","d_offspring_current","No kids"
"Smart-n-Stuff","lf_min_age","26"
"Smart-n-Stuff","lf_max_age","40"
"Smart-n-Stuff","lf_for","short & long term datin"
"Smart-n-Stuff","p_oldfash","-14"
"Smart-n-Stuff","q154","Yes, it would."
"Smart-n-Stuff","q35","Sex"
"Smart-n-Stuff","q1597","Yes"
"Smart-n-Stuff","q24375","3-5 dates"
"Smart-n-Stuff","q41","Not very important"
"Smart-n-Stuff","q60100","No"
"Smart-n-Stuff","q501","No"
"Smart-n-Stuff","q9688","Yes, but only soft stuff like marijuana"
"Smart-n-Stuff","q79","I smoked in the past, but no longer."
"Smart-n-Stuff","q358077","No"
"Smart-n-Stuff","q49","Carefree"
"Smart-n-Stuff","q997","Dogs"
"Smart-n-Stuff","q325","Yes"
"Smart-n-Stuff","q403","No"
"Smart-n-Stuff","q553","Yes"
"Smart-n-Stuff","q77","Sometimes"
"Smart-n-Stuff","q28777","Yes"
"Smart-n-Stuff","q48","Weird"
"Smart-n-Stuff","q358080","Discovering their body"
"Smart-n-Stuff","q149","Passion"
"Smart-n-Stuff","q1440","No"
"Smart-n-Stuff","q16053","Totally willing!"
"Smart-n-Stuff","q325","Yes"
"Smart-n-Stuff","q403","No"
"Smart-n-Stuff","q20930","Very, very high"
"Smart-n-Stuff","q46","Interesting"
"Smart-n-Stuff","q4018","Yes"
"Smart-n-Stuff","q14835","On my right hand"
"Smart-n-Stuff","q358084","Yes"
