"d_username","field","value"
"SoozeOr","d_age","31"
"SoozeOr","d_city","Willesden"
"SoozeOr","d_city","United Kingdom"
"SoozeOr","d_orientation","Bisexual"
"SoozeOr","d_gender","Woman"
"SoozeOr","d_relationship","Single"
"SoozeOr","d_languages","English and Hebrew"
"SoozeOr","d_education_phase","Attended"
"SoozeOr","d_education_type","University"
"SoozeOr","d_drinks","Socially"
"SoozeOr","d_offspring_current","No kids"
"SoozeOr","lf_single","single"
"SoozeOr","lf_location","near me"
"SoozeOr","lf_min_age","29"
"SoozeOr","lf_max_age","38"
"SoozeOr","lf_for","short & long term dating"
"SoozeOr","p_kinky","32"
"SoozeOr","p_suave","30"
"SoozeOr","p_sexperienced","14"
"SoozeOr","p_dominant","-34"
"SoozeOr","p_conservative","-36"
"SoozeOr","p_trusting","-40"
"SoozeOr","p_polit","-42"
"SoozeOr","p_friendly","-56"
"SoozeOr","q46894","No."
"SoozeOr","q156917","Yes"
"SoozeOr","q18714","Emotion/Instinct"
"SoozeOr","q41","Not at all important"
"SoozeOr","q60100","No"
"SoozeOr","q21200","Yes, it is their child after all"
"SoozeOr","q15876","Yes"
"SoozeOr","q70135","Neither would bother me at all."
"SoozeOr","q35606","I could take it or leave it."
"SoozeOr","q501","Yes"
"SoozeOr","q997","Dogs"
"SoozeOr","q19566","Yes"
"SoozeOr","q85143","Probably not."
"SoozeOr","q48508","Somewhat important."
"SoozeOr","q20290","Not really"
"SoozeOr","q44639","Yes"
"SoozeOr","q212813","Liberal / Left-wing"
"SoozeOr","q18185","Save Fluffy--to hell with the expense!"
"SoozeOr","q25114","Music Festival"
"SoozeOr","q179268","No"
"SoozeOr","q1212","Yes, I would love (or do own) a dog."
"SoozeOr","q288","Laziness"
"SoozeOr","q26723","Give them a kiss on the cheek"
"SoozeOr","q12949","I'm Not Sure"
"SoozeOr","q18633","I never feel entirely complete"
"SoozeOr","q1121","No."
"SoozeOr","q16053","Hesitant, but I'd certainly consider it."
"SoozeOr","q20773","I'm unimpressed, but will give them a chance..."
"SoozeOr","q56151","I'd laugh about it/wouldn't really care."
"SoozeOr","q34929","As long as it's not extreme and they ask nicely"
"SoozeOr","q41352","Not Important"
"SoozeOr","q46301","Yes."
"SoozeOr","q22991","No"
"SoozeOr","q18692","No"
"SoozeOr","q53832","Yes."
"SoozeOr","q62890","No."
"SoozeOr","q8054","Yes"
"SoozeOr","q85143","Probably not."
"SoozeOr","q6988","No"
"SoozeOr","q18821","Yes, but I couldn't care less."
"SoozeOr","q445141","Invisibility"
"SoozeOr","q28537","No Preference"
"SoozeOr","q46","Interesting"
"SoozeOr","q946","Yes"
"SoozeOr","q37545","It's vacuous. Who else can I be?"
"SoozeOr","q46287","No."
"SoozeOr","q18738","No"
"SoozeOr","q4018","Yes"
"SoozeOr","q21709","Constant chatter, to you, others, or a cell phone"
"SoozeOr","q24013","A good topic for debate; my answer is too long."
"SoozeOr","q18714","Emotion/Instinct"
